Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
IKAWOH,97.03,201.99,1.7,8.13,10.43,31.1,20.8,13.7,630.74,-3.743,-2.8673,1.91,1.93,1.86,-0.0554,-0.0758,0.1082,0.0816,2.1514,3.0992,2.053,2.0694,28.9697,7.2835,8.5016,8.4073,0.8805,0.5365,0.4009,3.0275,3.8053,1.2892,1.2953,6.3814,12.4893,4.1378,4.1858,4.1657,10.1843,1.9895,2.0491,2.0806,2.0605,2.0046,1.5292,0.0784,0.017,0.0175,0.0153,0.0132,1.4416,1.5412,0.0765,0.0181,0.0179,0.0141,0.0122,14.6
IKEGAH,76.95,170.3,1.71,6.2,8.04,27.8,17,9.2,461.55,-4.2347,-1.0625,2.34,1.93,1.84,-0.1067,-0.1233,-0.06,0.122,1.718,3.0254,2.9564,2.106,29.0356,7.3283,7.4446,8.462,0.9369,0.2009,0.4886,3.0144,3.8649,1.3634,1.1701,6.4482,12.4482,4.1586,4.1574,4.1322,10.21,1.996,2.0463,2.0246,2.0631,2.08,1.1067,0.1908,0.0518,0.0293,0.0234,0.0489,1.4496,1.5035,0.0791,0.0106,0.0173,0.0193,0.0126,19.2
IKIZOT,91.86,192.5,1.61,6.17,7.48,30.1,19.1,10.5,478.73,-3.823,-1.6502,1.95,2,1.86,-0.169,-0.1168,0.1407,0.054,1.8504,3.007,2.1127,1.9898,29.0095,7.3631,8.415,8.4432,0.9125,0.3774,0.374,3.0161,3.8576,1.2714,1.414,6.4012,12.4915,4.1535,4.1868,4.1512,10.2759,2.0514,2.0258,2.038,2.0686,2.0921,1.5452,0.0804,0.0232,0.0143,0.0095,0.0241,1.4545,1.5652,0.0713,0.0176,0.0152,0.0139,0.0126,17
IKOMAY,69.87,158,2.45,9.09,14.1,26.5,18.8,12.7,787.86,-4.4356,-0.6397,3.21,1.85,1.82,0.0222,-0.1291,0.0566,0.1492,1.8703,3.0453,2.1375,3.5345,29.251,7.2613,8.3977,7.0413,0.9608,0,0.79,3.0141,3.8732,1.2796,1.2985,6.5057,12.4011,4.1127,4.2044,4.084,10.0706,1.9865,2.0306,2.0326,2.0264,1.9945,1.4694,0.0665,0.018,0.0007,0.0164,0.0084,1.1677,1.296,0.2655,0.0592,0.0352,0.0544,0.057,29.7
IKUPAI,82.12,218.7,2.2,10.81,9.86,36.2,27.1,17.1,751.63,-4.2607,-2.4316,1.97,2.05,1.83,-0.1267,-0.105,0.155,0.1406,2.0911,3.0927,3.0621,2.0499,29.135,7.298,7.1435,8.4448,0.9725,0.5694,0.3336,3.0146,3.844,1.226,1.3942,6.3948,12.5007,4.1382,4.2009,4.1616,10.2308,1.9996,2.0576,2.0487,2.0407,2.0841,1.1577,0.2817,0.0476,0.0457,0.071,0.0427,1.4059,1.4762,0.0741,0.0187,0.0084,0.0168,0.0102,16.3
ILAKAJ,74.49,165.31,2.15,9.51,7.85,27.4,19.4,13.4,565.69,-4.538,-1.7306,2.84,1.82,1.8,0.0256,-0.1228,0.1263,0.0812,1.9792,3.0854,2.1206,3.4642,29.1981,7.2507,8.3539,6.8655,0.9925,0,0.7899,3.0135,3.8641,1.2983,1.1756,6.4902,12.4284,4.1696,4.1926,4.0661,10.0553,1.9761,2.026,2.0167,2.0192,2.0172,1.4504,0.0675,0.0214,0.0067,0.0151,0.009,1.1985,1.1999,0.3361,0.0529,0.059,0.0907,0.0479,31.4
ILAZAX,85.15,249.9,2.21,9.42,8.08,44,31.6,20.4,682.48,-5.3756,-2.2761,2.07,2.02,2.05,-0.1043,0.0803,0.1622,0.0871,1.7196,3.2592,2.0799,3.0023,28.9495,7.2054,8.4126,6.9441,0.5398,0.2908,0.5247,2.9609,3.7059,1.2676,1.2399,6.3585,12.3982,4.0645,4.1767,4.157,10.3474,2.0418,2.0412,2.0952,2.0357,2.1337,1.4907,0.0744,0.0181,0.0157,0.0134,0.0141,1.1685,1.3231,0.3017,0.0314,0.0608,0.0938,0.0408,52.9
ILICOX,89.56,190.05,1.56,7.84,10.07,29.9,20.6,13.2,596.25,-4.1614,-2.8865,2,1.96,1.85,-0.1009,-0.1009,0.1639,0.1698,1.8941,3.082,2.1389,2.112,28.9838,7.3266,8.37,8.3974,0.9605,0.3748,0.3546,3.0167,3.839,1.3119,1.1669,6.389,12.4717,4.1343,4.1931,4.1443,10.2399,2.0192,2.031,2.0511,2.0498,2.0888,1.5028,0.0762,0.0187,0.0158,0.0148,0.0145,1.4341,1.5171,0.0805,0.0232,0.0165,0.0103,0.0198,14.9
IMENIN10,84.57,196.01,2.58,7.62,10.62,32.5,23.2,16.6,700.44,-4.4253,-2.8759,1.97,1.94,1.8,-0.0303,-0.0585,0.2155,0.125,2.413,3.2101,3.2811,2.0816,29.0874,7.2175,7.1036,8.4588,1.001,0.6412,0.5041,3.0153,3.787,1.3117,1.159,6.3697,12.5441,4.18,4.1933,4.1708,10.116,2.0324,2.0155,2.0542,1.9649,2.049,1.1326,0.2623,0.0536,0.0386,0.062,0.0362,1.391,1.5561,0.0784,0.0143,0.0179,0.0176,0.0117,19.8
IMITOO01,86.01,186.47,1.55,7.67,9.8,31.1,21.9,14.7,656.4,-3.703,-1.5183,1.94,2.02,1.87,-0.1221,-0.1238,0.1078,0.0376,1.8733,2.9944,2.0423,1.9545,29.0098,7.3617,8.4568,8.5172,0.8944,0.446,0.3457,3.0232,3.8604,1.2807,1.2676,6.414,12.4418,4.2002,4.1186,4.123,10.266,2.0206,2.11,2.0498,2.06,2.0256,1.5177,0.077,0.0152,0.0105,0.0222,0.0105,1.4392,1.5075,0.0712,0.0143,0.0122,0.018,0.0095,16.8
IMUFEC,84.96,222.33,1.75,10.23,7.5,36.4,25.5,15.6,615.35,-3.8885,-1.9397,1.94,2.01,1.85,-0.1468,-0.1123,0.2419,0.0213,2.2287,3.0704,3.3408,2.0198,29.1646,7.3081,7.091,8.5055,0.932,0.6225,0.4186,3.0185,3.8492,1.3322,1.1421,6.3934,12.5226,4.1741,4.1868,4.1617,10.2305,1.9979,2.0763,2.0538,2.0505,2.052,1.2557,0.2576,0.0372,0.057,0.061,0.0416,1.4523,1.4932,0.0718,0.0216,0.0128,0.01,0.0151,20.1
INACUW,80.92,247.3,2.94,6.34,8.16,55.1,40.7,22.7,601.41,-4.2548,-1.9499,2.08,1.9,1.96,-0.1985,-0.0951,0.101,0.2301,2.9605,2.9052,2.6685,3.4077,29.2353,7.4192,7.2354,6.9725,0.7454,0.3793,0.6883,3.0439,3.8211,1.3347,1.1834,6.2934,12.6455,4.2302,4.1869,4.2284,10.2591,2.1012,1.9884,1.9927,2.0991,2.0778,1.0612,0.2725,0.0676,0.033,0.061,0.0558,1.2055,1.1463,0.2687,0.0718,0.0491,0.0394,0.0676,23.4
INIDAM,87.19,189.07,1.55,7.32,7.64,34.2,25,15.4,552.54,-4.2506,-2.1498,1.89,2.04,1.84,-0.021,-0.1126,0.1363,0.1955,2.1216,3.0587,2.0811,2.1026,28.9868,7.343,8.3637,8.3529,0.956,0.5356,0.293,3.0235,3.8474,1.1935,1.3896,6.3843,12.4324,4.187,4.1097,4.1357,10.2039,1.9812,2.0909,2.047,2.0507,2.0341,1.4907,0.0834,0.0135,0.0121,0.0245,0.011,1.3274,1.5263,0.0793,0.0113,0.0147,0.0221,0.0083,16
IPUHEG,81.96,179.99,1.55,6.01,5.63,31.1,23.5,12,482.17,-4.1216,-1.2217,1.99,2.04,1.83,-0.064,-0.113,0.1645,0.1628,1.8572,3.0572,2.1057,2.0785,28.9698,7.3437,8.3811,8.387,0.9736,0.3804,0.2988,3.016,3.8532,1.2964,1.2999,6.4087,12.4119,4.1686,4.1357,4.1076,10.2431,2.0255,2.0782,2.0521,2.0558,2.0314,1.531,0.0788,0.0112,0.0107,0.0258,0.0095,1.3388,1.5393,0.0777,0.0098,0.0128,0.025,0.0095,14
IPUMUC,78.74,171.56,1.55,5.17,5.53,30.4,19.6,8.5,429.67,-4.1774,0.6604,1.95,2.29,1.87,-0.1248,-0.125,0.0604,0.0684,1.7145,3.0197,2.0385,1.9171,29.0554,7.3357,8.4188,8.4679,0.901,0.5228,0.16,3.0192,3.8656,1.3701,1.251,6.4653,12.4146,4.1381,4.1618,4.1147,10.2447,1.9728,2.0565,2.0762,2.0755,2.0637,1.4935,0.0747,0.0129,0.0177,0.0154,0.0123,1.4779,1.4971,0.0729,0.0143,0.0123,0.0159,0.0264,25.5
IPUWAS,81.84,214.16,2.49,7.73,10.23,39.5,29.4,19.5,717.5,-4.2736,-2.0944,2.06,2,1.85,-0.0961,-0.1093,0.1487,0.0777,2.1183,3.08,2.1097,3.0785,29.0917,7.2998,8.4265,7.1816,0.9854,0.3513,0.5065,3.0166,3.8501,1.204,1.4304,6.3902,12.4754,4.1654,4.17,4.1399,10.2303,2.0059,2.0583,2.0547,2.0541,2.0572,1.5036,0.0761,0.0247,0.0113,0.0116,0.0151,1.2125,1.2056,0.293,0.0513,0.0739,0.0446,0.0612,16
IPUWIA,82.13,234.13,2.8,9.1,7.55,37.8,28.9,20.8,720.96,-4.3219,-2.5958,2.06,1.99,1.86,-0.0999,-0.098,0.1531,0.1336,2.2019,3.1066,2.1069,3.2346,29.1331,7.3078,8.4061,6.9868,0.973,0.348,0.5941,3.0202,3.8368,1.1965,1.2888,6.3917,12.4798,4.2319,4.0922,4.1557,10.2282,1.9944,2.1062,2.032,2.0466,2.0489,1.3858,0.077,0.0155,0.0243,0.0037,0.0292,1.2249,1.1614,0.2982,0.0314,0.1028,0.0692,0.048,11.9
IQENEY,82.05,195.05,1.6,5.04,10.04,32,20.4,11.1,513.12,-4.0094,-1.7483,2.04,2.01,1.87,-0.175,-0.12,0.1028,0.1398,1.9221,3.0062,2.9815,2.1231,29.1346,7.3453,7.2444,8.3795,0.8962,0.5338,0.3323,3.0199,3.859,1.3363,1.1472,6.4189,12.4995,4.1732,4.1731,4.1531,10.2562,1.9906,2.0567,2.0405,2.0789,2.0895,1.2512,0.2248,0.0181,0.0645,0.0511,0.0354,1.4141,1.4106,0.0757,0.0233,0.0136,0.0083,0.0196,22.1
IQICOB,87.61,186.91,1.55,8.22,7.92,30.2,20.8,13,579.66,-4.0475,-2.6159,2.04,1.95,1.85,-0.0933,-0.108,0.1507,0.1601,1.8397,3.0518,2.1145,2.1004,28.9751,7.339,8.384,8.4032,0.9526,0.3327,0.3576,3.0167,3.8486,1.3298,1.2104,6.3977,12.4413,4.1142,4.1861,4.141,10.254,2.0187,2.0255,2.0375,2.0493,2.1229,1.5219,0.0738,0.019,0.0168,0.0089,0.0202,1.4478,1.5496,0.0805,0.0231,0.0183,0.0078,0.0231,14.5
IQIYEN,50.13,177.42,2.3,10.42,10.18,33.9,33.3,24.5,756.65,-4.3164,-0.9167,2.94,1.92,1.87,-0.0335,-0.1242,0.0333,0.1195,1.8441,3.052,2.0698,3.0261,29.2869,7.2686,8.4443,7.2296,0.9724,0,0.7211,3.021,3.8664,1.1813,1.3637,6.5109,12.3736,4.1765,4.1053,4.0918,10.1486,1.9842,2.0441,2.0314,2.0577,2.0312,1.6033,0.0645,0.0132,0.0188,0.0094,0.0156,1.245,1.2137,0.2241,0.0491,0.0356,0.0473,0.0387,28.3
IRABIO,63.9,160.44,3.43,5.96,10.74,23.9,16.3,13.3,637.58,-4.1995,-2.6036,2.04,2.04,1.81,-0.0969,-0.1155,-0.0616,-0.0488,1.8861,3.0805,1.7683,1.7803,29.0159,7.3387,8.4514,8.4411,0.933,0.4057,0.3918,3.014,3.8506,1.2937,1.1565,6.4482,12.4496,4.1704,4.1675,4.1117,10.1987,2.0022,2.0633,2.0378,2.0357,2.0596,1.6512,0.0968,0.0067,0.0295,0.017,0.0144,1.5431,1.3555,0.097,0.0169,0.0154,0.0312,0.0143,24.2
IROMIN,82.1,183.7,1.76,7.63,8.65,32.2,22.7,13.1,557.18,-4.2443,-1.6229,2.05,1.96,1.85,-0.0874,-0.1066,0.1041,0.1136,2.2369,3.0825,3.0971,3.1853,29.1398,7.3138,7.0627,7.0489,0.9732,0.4073,0.6008,3.0226,3.8428,1.2033,1.4289,6.3946,12.5233,4.1575,4.2059,4.1599,10.1692,2.0046,2.0492,2.0386,2.0297,2.0471,1.0666,0.315,0.0609,0.0381,0.1111,0.037,1.2676,1.1388,0.2897,0.0483,0.0506,0.0718,0.0384,23.1
ISAYUX,82.85,206.66,3.72,11.83,7.72,46.4,37.8,21.8,773.94,-3.9193,-1.4068,2,2.06,1.9,-0.1528,-0.1192,0.149,0.1444,2.0223,3.0001,2.988,2.0399,29.1673,7.3438,7.1906,8.4013,0.9098,0.5708,0.2358,3.0269,3.858,1.224,1.4537,6.4072,12.4482,4.1216,4.188,4.1387,10.2971,2.0178,2.0635,2.0952,2.0612,2.0594,1.2716,0.2215,0.0692,0.0322,0.025,0.0663,1.4259,1.556,0.0756,0.0157,0.0236,0.0032,0.03,26.7
ISOXAQ,91.38,198.09,1.55,11.29,7.84,32.3,23,15.5,651.62,-4.2356,-2.7322,1.89,1.89,1.84,0.0496,-0.0469,0.1086,0.0275,2.4131,3.1565,2.0259,2.0244,28.9353,7.2023,8.4556,8.498,0.9159,0.495,0.6406,3.0285,3.7723,1.2111,1.3302,6.3719,12.4887,4.1859,4.1209,4.1819,10.0893,2.0553,1.9707,1.9926,2.0729,1.9978,1.4741,0.0832,0.0214,0.0078,0.0246,0.0094,1.4745,1.4562,0.0738,0.0167,0.0097,0.0169,0.0105,25.9
ISUMUG,81.08,178.18,1.77,5.7,6.79,29.2,19.5,10.5,453.41,-4.0386,-0.5532,2.03,2.03,1.88,-0.1564,-0.1286,0.1579,-0.0059,1.8053,3.0013,2.1211,1.9561,29.0557,7.374,8.3448,8.5576,0.9104,0.2787,0.4786,3.026,3.8631,1.3196,1.1927,6.4302,12.4465,4.145,4.1527,4.1488,10.2794,2.0074,2.0588,2.0358,2.0777,2.0997,1.3875,0.0769,0.0195,0.0192,0.0053,0.0266,1.4701,1.5979,0.0697,0.011,0.0238,0.0098,0.0127,23.9
ITAJEU,81.13,211.14,2.05,9.11,10,34,25.6,18.4,758.41,-4.3737,-2.4997,1.96,2.09,1.81,-0.0936,-0.0971,0.1872,0.1577,2.1473,3.1222,3.1983,2.0928,29.1343,7.2715,7.1183,8.4396,0.9921,0.6199,0.3422,3.0113,3.8346,1.288,1.1681,6.4022,12.514,4.182,4.2054,4.1267,10.177,1.9981,2.0623,2.0317,2.022,2.0628,1.2932,0.2899,0.0427,0.0685,0.0606,0.0472,1.4194,1.4476,0.0742,0.0233,0.0093,0.0125,0.0129,18.7
ITIWIT,79.48,194.93,1.84,4.21,6.1,33.6,21.8,9.2,431.29,-4.1857,-1.251,2.03,2.05,1.85,-0.1306,-0.1023,0.055,0.0568,2.1327,3.063,3.0679,3.0589,29.1158,7.3022,7.0829,7.0843,0.9635,0.4811,0.4628,3.0126,3.846,1.3794,1.2132,6.4047,12.5168,4.1555,4.1819,4.1794,10.2087,2.019,2.04,2.0241,2.0422,2.0834,1.0556,0.3054,0.0591,0.0406,0.0795,0.0502,1.2169,1.2313,0.3047,0.0412,0.0594,0.0952,0.0412,22.9
IVUNOE,88.99,216.72,1.62,6.67,9.66,39.2,29.7,16.7,572.07,-3.6354,-1.2885,2.03,1.94,1.88,-0.1584,-0.099,0.1099,0.0646,2.0674,2.9861,3.1035,2.0039,29.0881,7.3502,7.2239,8.5022,0.8752,0.4962,0.4772,3.0145,3.8446,1.2551,1.4099,6.3971,12.4882,4.107,4.1904,4.1907,10.2727,2.0065,2.0048,2.077,2.05,2.1344,1.1271,0.2333,0.0517,0.0376,0.0483,0.0535,1.4243,1.4679,0.0766,0.0208,0.016,0.0076,0.0225,29.2
IXAKAV,94.02,237.81,4.55,7.59,10.35,46.7,39.4,27.8,809.97,-3.9791,-1.852,1.92,1.97,1.88,-0.0852,-0.0883,0.1444,0.0968,2.3423,3.0221,2.042,3.1222,29.1461,7.266,8.4267,7.2025,0.8437,0.4432,0.6729,3.022,3.8288,1.2852,1.2731,6.3895,12.4894,4.2278,4.1074,4.1541,10.206,2.0798,2.0405,2.0176,2.0146,2.0535,1.5003,0.0866,0.022,0.0136,0.0216,0.014,1.3053,1.1877,0.2214,0.0457,0.0466,0.0392,0.0532,22.7
IXEWOY,79.49,227.68,2.93,8.22,10.32,38,30.2,20.7,700.73,-4.2161,-2.2568,2.05,2.01,1.83,-0.1203,-0.1,0.1791,0.2097,2.2584,3.1048,3.1141,3.2546,29.2309,7.2773,7.1173,7.1034,0.9936,0.4802,0.5143,3.0112,3.8416,1.3666,1.1538,6.3935,12.5307,4.1785,4.189,4.1632,10.1958,2.0195,2.04,2.0259,2.0316,2.0787,1.3172,0.2808,0.0387,0.0684,0.0605,0.0427,1.2469,1.1165,0.2506,0.0598,0.0386,0.0525,0.041,20
IXIMEI,96.28,194.65,3.28,6.48,8.22,39.7,33.3,24.9,620.21,-3.9178,-0.3983,2.07,1.95,1.88,-0.1642,-0.1189,0.1431,-0.0854,1.9914,3.0214,1.9825,1.7264,29.1176,7.3185,8.4207,8.7013,0.9364,0.2634,0.5987,3.0221,3.8565,1.451,1.1623,6.4277,12.4453,4.1592,4.1441,4.142,10.2909,2.0774,2.0038,2.0687,2.0811,2.0599,1.4751,0.0795,0.0146,0.0152,0.0212,0.0105,1.6393,1.4458,0.0709,0.0159,0.0075,0.0186,0.0091,20.1
IYAYAK,96.6,214.19,2.61,5.58,8.49,41.7,29.7,15.5,525.36,-5.1195,-2.4829,1.81,1.91,1.81,0.0971,-0.0145,-0.0727,-0.0598,2.8569,3.2397,2.0336,3.0091,28.9545,7.1372,8.501,7.0448,1.028,0.8038,0.6552,3.0302,3.7322,1.2944,1.2166,6.3683,12.5275,4.2118,4.1909,4.1247,10.0065,1.8934,2.0809,1.9935,2.0199,2.0189,1.5341,0.0797,0.0131,0.0183,0.016,0.013,1.2185,1.0567,0.3764,0.0788,0.0754,0.0916,0.0459,-24.5
IZARAC,64.21,150.24,1.88,4.84,13.29,20.8,14.3,8.6,562.62,-4.5607,-2.7878,1.73,3.62,1.76,0.061,-0.1286,0.1491,0.0399,1.8361,3.0998,2.2964,2.1114,29.0501,7.2737,8.3623,8.4157,0.9879,0.7358,0,3.0127,3.8631,1.2135,1.2954,6.5038,12.4089,4.1515,4.1295,4.1279,10.0256,1.974,2.0099,1.9754,2.0259,2.0405,1.6292,0.0979,0.0162,0.0248,0.0182,0.0215,1.4892,1.4799,0.0663,0.0178,0.0007,0.0171,0.0081,23.2
IZCEPL,89.96,214.61,1.55,8.34,6.17,43.8,34.3,25.2,645.66,-3.886,-1.7093,2.04,2.01,1.85,-0.1633,-0.1099,0.1653,0.1831,1.9973,3.0334,2.1059,2.1017,28.9795,7.3645,8.366,8.3605,0.9453,0.2789,0.3713,3.02,3.8478,1.1873,1.3866,6.3519,12.4617,4.1944,4.1176,4.1498,10.3493,2.0661,2.081,2.0733,2.0664,2.0625,1.4732,0.0771,0.0054,0.0171,0.0255,0.009,1.3526,1.5174,0.0784,0.0119,0.0135,0.0223,0.0142,10.1
IZOMEP,95.9,198.25,1.66,8.54,8.92,34.5,24.4,17.2,687.55,-4.0744,-2.9763,2.37,1.9,1.83,-0.195,-0.0739,0.3481,0.1273,2.2191,3.1255,2.2488,2.0903,28.9753,7.2813,16.4149,8.4426,0.9157,0.5095,0.5159,3.0226,3.8034,1.3035,1.1976,6.4087,12.5309,4.2244,4.1588,4.1478,10.255,2.021,2.0881,2.079,2.0777,1.9891,3.355,0.1872,0.0458,0.0372,0.0468,0.0263,1.3927,1.5692,0.0803,0.0137,0.0179,0.0183,0.0147,14.2
JABCUN,84.39,182.86,4.19,8.24,12.04,28.8,22.7,20.3,861.5,-4.3932,-2.9575,1.88,2.17,1.79,-0.0605,-0.0897,0.154,0.139,2.0055,3.1466,2.1264,2.0993,29.0378,7.2687,8.4452,8.4146,0.99,0.5856,0.2667,3.0118,3.8217,1.2694,1.2037,6.4102,12.4804,4.1565,4.1919,4.132,10.1694,1.9846,2.0532,2.0418,2.0281,2.0618,1.5352,0.0832,0.0134,0.0204,0.0162,0.0148,1.4071,1.4484,0.0709,0.0206,0.0064,0.0144,0.0098,18.1
JABPIP,91.36,197.57,1.55,11.4,8.47,32.3,22.1,14.8,674.91,-4.3529,-2.9128,1.91,1.9,1.83,0.0699,-0.0296,0.0927,0.0344,2.4254,3.1928,1.9684,2.032,28.9131,7.1804,8.509,8.4946,0.9339,0.4923,0.6403,3.0275,3.7539,1.2188,1.3079,6.3648,12.4885,4.1839,4.1313,4.1732,10.0763,2.059,1.9623,2.0217,2.0706,1.9626,1.4813,0.0816,0.02,0.0083,0.0243,0.0091,1.4684,1.4735,0.0743,0.0157,0.0106,0.0177,0.0105,27.1
JACCAU,83.27,225.61,1.69,8.08,9.94,37.1,26.5,16.9,597.89,-4.3208,-2.5047,1.96,2.25,1.86,-0.0809,-0.1118,0.222,0.1584,2.0425,3.0789,3.3694,2.125,29.1702,7.2952,7.0928,8.3469,0.9692,0.6518,0.1842,3.0164,3.8548,1.2337,1.4332,6.4146,12.4391,4.1122,4.1958,4.1311,10.2268,2.0011,2.0669,2.0584,2.037,2.0634,1.2674,0.2565,0.0475,0.0399,0.058,0.0414,1.4232,1.4867,0.0699,0.02,0.0062,0.0149,0.0095,22
JADJAA,81.14,179.37,1.55,4.68,5.47,30.2,19.8,8.8,423.76,-4.2832,-1.6509,1.97,2.06,1.83,-0.0331,-0.1186,0.1777,0.1745,1.8668,3.05,2.1631,2.098,28.9443,7.3609,8.328,8.3403,0.9589,0.4159,0.2632,3.0196,3.8556,1.2355,1.4339,6.4096,12.4036,4.0853,4.1361,4.1823,10.2195,1.9897,2.0293,2.0379,2.0472,2.1154,1.4453,0.0787,0.019,0.0215,0.0068,0.0257,1.4597,1.5326,0.0778,0.0154,0.022,0.0035,0.0307,13.2
JALQAR,91.65,193.6,1.56,7.08,10.55,30.7,19.2,10.8,548.17,-3.7514,-2.149,1.96,1.95,1.88,-0.1482,-0.1217,0.1333,0.054,1.9288,2.9985,2.0835,2.0286,29.0267,7.3612,8.4029,8.4199,0.8874,0.319,0.4989,3.0274,3.8561,1.2158,1.3617,6.4074,12.467,4.1913,4.18,4.0957,10.2735,2.0156,2.0684,2.0563,2.0874,2.0458,1.5433,0.0794,0.0141,0.0153,0.0217,0.014,1.4434,1.5227,0.0721,0.0184,0.0169,0.0102,0.0159,17.8
JARCOX,82.11,182.53,2.06,6.07,7.69,31.4,23.1,13.5,536.39,-4.5414,-2.1836,2.16,1.88,1.81,-0.0519,-0.0983,0.1323,0.1602,2.2069,3.1256,2.0865,3.4278,29.1315,7.2777,8.4077,6.927,0.9994,0.2725,0.7249,3.0146,3.8337,1.2503,1.306,6.4122,12.518,4.152,4.2219,4.144,10.1212,1.9791,2.0595,2.0064,2.0255,2.0507,1.4845,0.0707,0.0187,0.0064,0.0161,0.0095,1.1429,1.2118,0.3277,0.0757,0.0406,0.074,0.0604,24.9
JATBIQ,63.44,158.98,2.71,9.47,13.44,24.6,20.1,18.4,781.15,-4.0317,-2.2174,2.1,2.03,1.83,-0.1061,-0.1317,0.0873,0.0557,1.8187,3.0351,1.9297,1.9885,29.1482,7.3384,8.5072,8.5033,0.9438,0.3277,0.482,3.0191,3.8663,1.2256,1.4356,6.4573,12.4101,4.1334,4.1607,4.1161,10.2383,1.9886,2.0619,2.0581,2.0668,2.0629,1.4396,0.0686,0.0144,0.0054,0.0191,0.0097,1.4424,1.606,0.0692,0.0113,0.0212,0.0122,0.0124,21.8
JATGIU,92.18,194.63,2.57,8.45,7.87,37.6,31.4,22.8,670.75,-3.6933,-0.5653,1.97,1.93,1.89,-0.171,-0.1184,0.1629,-0.082,2.0607,3.0012,2.0365,1.8204,29.1578,7.292,8.4037,8.6733,0.8807,0.3139,0.695,3.0239,3.858,1.4293,1.2236,6.4414,12.4744,4.1467,4.1603,4.1674,10.2548,2.0587,2.0097,2.035,2.0657,2.0858,1.4351,0.0848,0.016,0.0071,0.0271,0.0096,1.5285,1.486,0.068,0.0202,0.0107,0.011,0.0118,20.2
JATTOO,84.09,184.01,1.55,7.6,9.96,31.7,23.7,15.6,626.7,-3.9089,-1.1982,1.93,2.06,1.88,-0.1196,-0.1302,0.0548,0.1178,1.8009,2.9703,1.9856,2.0341,29.0394,7.3727,8.5182,8.4279,0.8765,0.5357,0.2477,3.0273,3.8658,1.2739,1.4613,6.4367,12.4276,4.0618,4.2056,4.1602,10.255,2.0323,2.0308,2.0746,2.0204,2.097,1.5147,0.0745,0.02,0.0147,0.0092,0.0207,1.4782,1.5697,0.0748,0.022,0.0165,0.0065,0.0218,20.2
JAWJEZ,86.89,198.05,3.18,9.98,9.39,40.6,36.6,26.7,835.09,-4.301,-1.3378,2.04,2.02,1.84,-0.1503,-0.1072,0.1868,0.1962,1.8523,3.0518,2.1202,2.1307,28.9944,7.332,8.376,8.3684,0.9777,0.313,0.3209,3.0115,3.8495,1.2199,1.2112,6.3839,12.4742,4.1421,4.1774,4.1547,10.2919,2.0404,2.0374,2.0263,2.0811,2.1067,1.5234,0.0772,0.0196,0.0177,0.0087,0.0223,1.4113,1.4308,0.078,0.0246,0.0158,0.0086,0.0192,14.7
JAYMOM,88.69,193.76,1.55,7.64,7.73,32.5,23.8,16,584.23,-3.9805,-2.482,1.92,1.91,1.84,-0.01,-0.0749,0.1111,0.0364,2.244,3.1034,2.0177,1.9859,28.9622,7.2506,8.4589,8.5179,0.9008,0.4423,0.5775,3.0239,3.8068,1.276,1.2913,6.3871,12.4775,4.1849,4.1403,4.1523,10.145,2.0598,2.007,2.0172,2.0556,2.0054,1.4688,0.0809,0.0189,0.007,0.0253,0.0085,1.4728,1.4705,0.0737,0.0156,0.0092,0.0186,0.0106,19.3
JECPUF01,64.19,166.42,1.99,10.54,7.93,32.5,26.5,17,684.76,-4.2293,-0.5774,3.33,1.85,1.85,-0.1216,-0.1362,0.0768,-0.069,1.7645,2.9895,2.1348,1.931,29.178,7.3422,8.375,8.592,0.8658,0,0.7814,3.0227,3.8722,1.2814,1.2526,6.5416,12.3884,4.12,4.1735,4.0949,10.1912,1.9962,2.0311,2.0453,2.0827,2.036,1.4914,0.0657,0.0141,0.0008,0.0196,0.0078,1.4032,1.6323,0.0712,0.0168,0.0173,0.0068,0.0238,30.9
