Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
LIBLEP,0,-30.6,-10.9,2.1,-61.4,19.7,32.7,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LIBMIU,0,-21.8,-0.7,21.2,-61.4,21.2,43,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIBNUH,0,-19.5,-15.2,9.1,-61.4,4.3,28.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIBVEY,0,-17.3,8.6,26.2,-61.4,25.9,43.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIBXUQ,0,-19.7,0,19.7,-61.4,19.6,39.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICCUX,0,133.4,2.7,21.1,-61.4,2.7,21.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LICJAJ,0,-21.2,-0.7,20,-61.4,20.4,41.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LICJIT,0,-11.6,-2.7,12.8,-61.4,8.9,24.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICJUF,0,-0.1,6.6,15.1,-61.4,6.6,15.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LICKIR,0,-19.9,-1.9,18.3,-61.4,18,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICKIS,0,-20.1,-0.9,20.5,-61.4,19.3,40.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICKOY,0,-19.2,6.5,26.5,-61.4,25.8,45.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LICKUE,0,-18.3,8.2,20.2,-61.4,26.4,38.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LICLAK,0,-30.5,-5.3,14.4,-61.4,25.2,44.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICLOZ,0,-17.4,-7.2,19.5,-61.4,10.2,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICVIE,0,-11.9,7.8,13.5,-61.4,19.7,25.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LICWOM,0,-17,-1.1,19.5,-61.4,15.9,36.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LICZUS,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIDBOP,0,-33.3,-23.4,6.5,-61.4,9.9,39.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIDJEP,0,-14.3,14,33.2,-61.4,28.4,47.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIDNOE,0,-20.4,1.7,17.6,-61.4,22,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIDPUK,0,-15.2,8.3,8.3,-61.4,23.5,23.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIDQAR,0,-15.1,6.2,8.7,-61.4,21.2,23.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIDQEV,0,-15.1,6.1,8.7,-61.4,21.2,23.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIDQIZ,0,151.6,14.6,8,-61.4,14.6,8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIDQOF,0,-536.8,-516,-513.2,-61.4,20.7,23.5,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LIFXIK,0,-20.9,3.9,16,-61.4,24.7,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIFYEH,0,-372.8,-352.6,-334.4,-61.4,20.2,38.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIGHEQ,0,-20.4,-1.5,10.7,-61.4,18.9,31.1,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIGKIX,0,-19.4,2.4,24.9,-61.4,21.8,44.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIGMIA,0,-24.4,3,22,-61.4,27.5,46.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIGMOG,0,-15,3.5,31.1,-61.4,18.5,46.1,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LIGTUR,0,-11.6,11.8,23.1,-61.4,23.4,34.6,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIGVUU,0,-24.4,-9.7,9.2,-61.4,14.7,33.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIGXEG,0,-11.4,0.5,16.3,-61.4,11.9,27.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIGZEI,0,-20.5,-1.2,24.5,-61.4,19.3,45,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIHHIU,0,-15.4,6.7,11,-61.4,22.1,26.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIHJOB,0,-109.5,-89.3,-65.4,-61.4,20.2,44.1,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIHJOC,0,-18.6,-2.6,19.1,-61.4,16.1,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIJFOC,0,-20.8,8.9,18,-61.4,29.7,38.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIJJAQ,0,-34.7,-20.3,12.2,-61.4,14.4,46.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIJMEX,0,-20.2,-4.4,18.7,-61.4,15.8,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIJSOP,0,-16.7,4.5,20.2,-61.4,21.2,36.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIKCEN,0,-16.2,5.2,27.6,-61.4,21.4,43.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIKDEO,0,-20.5,-0.3,17.8,-61.4,20.2,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIKFAP,0,-17.2,10.9,19.2,-61.4,28,36.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LIKNEB,0,-19.7,-5,18.3,-61.4,14.7,38,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LIKQUT,0,-32.5,-29.4,7.6,-61.4,3.1,40.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIKYEL01,0,-29.3,4.8,16,-61.4,34.1,45.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIKYOV,0,-13.6,10,13,-61.4,23.5,26.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LILBIR,0,-18.9,2.6,19.6,-61.4,21.5,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LILDUF,0,-17.6,10.3,29.5,-61.4,27.9,47.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LILJOG,0,-17.7,14.3,28.8,-61.4,32,46.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LILMEZ,0,-20,6.6,20.8,-61.4,26.6,40.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LILRIJ02,0,-23.7,-4.9,14.5,-61.4,18.8,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LILTAE,0,-19.9,0.5,16.7,-61.4,20.4,36.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LILVAG,0,-18.8,7.7,17.2,-61.4,26.4,36,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIMJEW,0,-13.4,8.6,23.8,-61.4,22,37.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIMKIB,0,-19.8,-4.2,19.1,-61.4,15.6,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIMMUQ,0,-16,-1.8,14.8,-61.4,14.3,30.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIMNED,0,-22.8,13.8,24.9,-61.4,36.6,47.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIMWOW,0,-18.3,3.6,13.3,-61.4,21.8,31.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIMZUC,0,-21.4,1.9,19.5,-61.4,23.2,40.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LINBES,0,-20.7,4,17.3,-61.4,24.7,38,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LINDUK,0,-24,-10.7,9.6,-61.4,13.3,33.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LINFOD,0,-23.8,-5.7,13.4,-61.4,18.1,37.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LINJIB,0,-18.6,3.2,26,-61.4,21.8,44.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LINJIE,0,-21.8,11.6,21.2,-61.4,33.4,43,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LINJUQ,0,-20.3,-4.6,18.3,-61.4,15.7,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LINLOJ,0,-21.1,-6.2,22.4,-61.4,15,43.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LINPUT,0,-19.8,-4.5,19.1,-61.4,15.3,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIPBIW,0,-13,9,29.2,-61.4,22,42.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIPBUI,0,-19.9,7.8,24.9,-61.4,27.6,44.8,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIPCIZ,0,-21.2,-4.1,19.6,-61.4,17.1,40.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIPFIB,0,-18,-3.3,20.8,-61.4,14.7,38.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIPKIG,0,-20.4,173.9,19.3,-61.4,194.3,39.8,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIPKOL,0,-13.5,4.2,104.2,-61.4,17.7,117.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIPLAY,0,-11.7,7.9,19.8,-61.4,19.6,31.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LIPPOR,0,-13.2,15.8,25.8,-61.4,29,39.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIPSUZ,0,-19.6,4.6,19.8,-61.4,24.2,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIPWEM01,0,-24.8,5.6,18.8,-61.4,30.5,43.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIPXOZ,0,-9.7,-2.2,16.2,-61.4,7.5,25.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LIPYER,0,-19.7,No Value,10.6,-61.4,No Value,30.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIPYIT,0,-18.9,-0.4,23.1,-61.4,18.6,42,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIPYUF,0,-18.6,0.5,26.1,-61.4,19.1,44.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIQFUM,0,-20.4,-2.8,19.9,-61.4,17.7,40.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIQHAU,0,-14.4,7.9,22.5,-61.4,22.3,36.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIQHOK,0,-24.2,5.6,17.7,-61.4,29.8,41.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIQMEF,0,-9.8,1.1,15.2,-61.4,10.9,25,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIQMIJ,0,-10.5,-1.4,18.5,-61.4,9.1,29,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIRFOH,0,-22.8,36.3,29.7,-61.4,59.1,52.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIRHAW,0,-18.2,-8.4,16,-61.4,9.9,34.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIRHEA,0,-20.7,4.1,13.4,-61.4,24.7,34,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIRHUQ,0,-25.1,-10.1,16.5,-61.4,15,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIRMEH,0,-22.6,2.1,19.4,-61.4,24.7,42,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIRQUY,0,-21.4,3.4,20.9,-61.4,24.9,42.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIRTEN,0,-14.7,12.8,25.2,-61.4,27.5,39.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LISHUT,0,-18.6,11.9,19.3,-61.4,30.5,38,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LISPAF,0,-35.5,16.8,18,-61.4,52.2,53.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LISSAK,0,-14,15.1,24,-61.4,29.1,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LISSUE,0,-18.4,-3.7,20.8,-61.4,14.7,39.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LISZES,0,-19,-2.4,18.1,-61.4,16.6,37.1,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LITLOS,0,-22,3.5,19.8,-61.4,25.5,41.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LITQIO,0,-9.7,-2.8,12.7,-61.4,6.9,22.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LITSEN,0,-21.1,-3.2,19.9,-61.4,17.9,41.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVDUS,0,-15.4,-33.1,12.8,-61.4,-17.6,28.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVHUU,0,-9.1,-19.5,14.1,-61.4,-10.4,23.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVPAH,0,-18.9,23.3,29.9,-61.4,42.2,48.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIVREO,0,-22.1,-4.3,18.3,-61.4,17.9,40.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIVROZ,0,-16.4,7.5,16.7,-61.4,23.9,33,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVSAL01,0,-6.4,-6.3,15.9,-61.4,0.1,22.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVSEP,0,-21.1,-4.5,14.8,-61.4,16.6,35.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVSEQ,0,-9.5,-1.2,11.3,-61.4,8.3,20.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVSIU,0,-18.3,-3.4,16.2,-61.4,14.9,34.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVVES,0,-19.3,4.5,23.2,-61.4,23.8,42.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIVWIY,0,-1708.7,-1690.9,-1671,-61.4,17.8,37.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIVYIZ,0,-19.4,-3.7,18.4,-61.4,15.8,37.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIWBIF,0,-22.2,2.2,-10.9,-61.4,24.4,11.3,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIWBUP,0,-18.3,2.2,21.6,-61.4,20.5,39.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIWHAA,0,-27.1,-0.3,17.1,-61.4,26.8,44.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIWJEI,0,-26.7,-4.7,14.4,-61.4,22,41.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIWJEI03,0,-26.4,2.5,22.2,-61.4,28.9,48.7,Not Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIWLIO,0,-13.5,24.5,41.9,-61.4,37.9,55.4,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIWLOV,0,-19.7,-5.9,13.5,-61.4,13.8,33.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIWMUB,0,-20,-5,18.9,-61.4,15,38.9,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LIWPIR,0,-19.8,-5.3,19.3,-61.4,14.5,39.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIWRIT,0,-17.9,11.9,32.7,-61.4,29.8,50.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LIWRUF,0,-15.9,9.2,28.9,-61.4,25.1,44.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIWVUK,0,-7.5,12,18.6,-61.4,19.5,26.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXCUR,0,-17.4,12.7,25.6,-61.4,30.1,43,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIXMEN,0,-18.8,1.9,20,-61.4,20.6,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXNEM,0,-26.1,-11.3,25.1,-61.4,14.8,51.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXPOX,0,-20.4,4.8,21.2,-61.4,25.1,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXQEQ,0,-19.6,3.9,17.6,-61.4,23.5,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXROA,0,-20,-4.9,18.3,-61.4,15.2,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIXVOG,0,-23.6,-16.1,10.3,-61.4,7.4,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIYNIT,0,-20.6,6.8,16,-61.4,27.4,36.6,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIYQOC,0,-20.7,-3.2,10.9,-61.4,17.5,31.7,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LIYQUI,0,-23.4,-13.3,-0.6,-61.4,10.1,22.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIYRAN,0,-21.6,-15.2,11.1,-61.4,6.4,32.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LIYRUG,0,-15.8,14.7,6.1,-61.4,30.5,21.9,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LIYZEA,0,-15.5,0.8,18.1,-61.4,16.3,33.6,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LIZBEC,0,-16.5,7.4,7.3,-61.4,24,23.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIZBUR01,0,-19.4,-1.1,18.9,-61.4,18.2,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIZCUT,0,-19.6,5,-51.6,-61.4,24.7,-32,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIZKAI,0,-19.1,3.1,21.1,-61.4,22.1,40.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LIZTAS,0,-12.7,11.3,22.8,-61.4,24,35.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LIZWAV,0,-10.2,15.2,26.8,-61.4,25.5,37,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOBBEM,0,-16.1,44.6,34.1,-61.4,60.7,50.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOBDOX,0,-19.6,-3.4,18.6,-61.4,16.3,38.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
LOBFIT,0,-740,-709.6,-698.8,-61.4,30.5,41.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LOBFUF,0,-646.4,-2050.5,-2036.9,-61.4,-1404.1,-1390.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LOBKOE,0,-21.2,1.8,19.6,-61.4,23,40.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOBNUN,0,-10.4,-16.3,12.1,-61.4,-5.8,22.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LOBPUP,0,-20,8,18.6,-61.4,28,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOBQEY,0,-19.6,7.7,19.8,-61.4,27.3,39.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOBQOK,0,-9.8,10.8,19.2,-61.4,20.6,29,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LOBRUR,0,-11.8,7.3,17.9,-61.4,19.1,29.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOBTUS,0,-316.3,-300.7,-296.9,-61.4,15.6,19.4,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
LOBXOS,0,-21.2,34,26.4,-61.4,55.3,47.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOBZAD01,0,-20.6,-2.6,19.9,-61.4,18,40.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOCCOW,0,-14.9,7.1,28.2,-61.4,22,43.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOCDOX,0,-20.4,3.1,16.8,-61.4,23.5,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOCKUK,0,-24,8.3,13.4,-61.4,32.3,37.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOCPOL,0,-19.3,-4.5,19.4,-61.4,14.8,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOCQUS,0,-118.4,-101.8,-80.7,-61.4,16.6,37.7,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOCVAB,0,-19.6,11.8,21.1,-61.4,31.4,40.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOCVEF,0,-19.9,5,20.7,-61.4,24.9,40.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOCZUB,0,-18.9,11.1,22,-61.4,30,40.9,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LODBUD,0,-25.9,6.2,19,-61.4,32,44.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LODFAN,0,-21,30,27.6,-61.4,51,48.6,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LODFOB,0,-29.1,-3.4,22.1,-61.4,25.7,51.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LODMAU,0,-20.9,12,19.1,-61.4,32.9,40,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LODPEB,0,-18.5,3.8,18.4,-61.4,22.3,36.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LODQED,0,-19.1,0.4,20,-61.4,19.6,39.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LODSEE,0,-25.1,18.7,26.6,-61.4,43.8,51.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LODTIH01,0,-19.3,2.8,18.3,-61.4,22.1,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOFDUH,0,-11.7,-39.5,17.1,-61.4,-27.8,28.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOFFIX,0,-21.3,3,16.7,-61.4,24.3,38,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LOFHAS,0,-19.4,-6.1,15.4,-61.4,13.3,34.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOFLIE,0,-21.5,6.4,123.4,-61.4,27.9,144.9,Not Minimum,Minimum,Incorrect TS,Calc Fail,,,,,,,,,
LOFQIJ,0,-22.9,12.5,25.7,-61.4,35.4,48.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOFQUV,0,-9.2,1,4.1,-61.4,10.2,13.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LOFSOO,0,-17.4,16.7,25.1,-61.4,34.1,42.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
LOFZIQ,0,-5.08E+51,-5.08E+51,-5.08E+51,0,0,0,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
LOFZOW,0,-20.5,-1.8,17.6,-61.4,18.7,38,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
LOFZUC,0,-19.7,-4.1,16.8,-61.4,15.6,36.5,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LOFZUD,0,-20.5,-19.9,12.2,-61.4,0.6,32.7,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
LOGANN,0,-221.2,-197.7,-202.3,-61.4,23.5,18.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
LOGBAL,0,-19.1,12.4,23.4,-61.4,31.6,42.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOGBEP,0,-19.1,2.5,18.9,-61.4,21.7,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOGHAT,0,-19.3,3.2,15,-61.4,22.5,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOGHUL,0,-21.7,6.7,17.9,-61.4,28.3,39.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
LOGROR,0,-13.3,9.3,17.3,-61.4,22.6,30.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
LOGTOT,0,-10.6,5.3,23.2,-61.4,15.9,33.8,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
