Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
REHCOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REHFAM,Minimum,Minimum,Correct TS,Correct TS
REHJOE,Minimum,Minimum,Correct TS,Correct TS
REHNEY,Not Minimum,Minimum,Incorrect TS,Incorrect TS
REHQUR,Minimum,Minimum,Correct TS,Correct TS
REHSII,Minimum,Minimum,Correct TS,Correct TS
REJBUG,Minimum,Minimum,Correct TS,Correct TS
REJHOD,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REJKAV,Minimum,Minimum,Correct TS,Correct TS
REJNAY,Minimum,Minimum,Incorrect TS,Correct TS
REJNIE,Minimum,Minimum,Correct TS,Correct TS
REKCOZ,Minimum,Minimum,Correct TS,Correct TS
REKCUF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
REKYUC,Minimum,Minimum,Incorrect TS,Correct TS
RELHUO,Minimum,Not Minimum,Correct TS,Correct TS
RELJOH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RELTAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RELTEK,Minimum,Minimum,Correct TS,Correct TS
RELVIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RELXAJ,Minimum,Minimum,Correct TS,Correct TS
RELXUE,Minimum,Minimum,Correct TS,Correct TS
RELZEN,Minimum,Minimum,Correct TS,Correct TS
RELZEQ,Minimum,Minimum,Correct TS,Correct TS
REMKOM,Minimum,Minimum,Correct TS,Correct TS
REMLOM,Minimum,Minimum,Incorrect TS,Correct TS
REMVEK,Minimum,Minimum,Correct TS,Correct TS
REMVUA,Minimum,Minimum,Incorrect TS,Incorrect TS
REMWOV,Minimum,Minimum,Incorrect TS,Correct TS
RENCUI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RENDET,Minimum,Minimum,Correct TS,Correct TS
RENDOD,Minimum,Minimum,Correct TS,Correct TS
RENFOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RENKEC01,Minimum,Minimum,Correct TS,Correct TS
RENPUY,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RENQIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RENWOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REPDAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REPKAB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REPPAG,Minimum,Minimum,Incorrect TS,Correct TS
REPXES,Minimum,Minimum,Correct TS,Correct TS
REPXOC,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REQDIA,Minimum,Minimum,Correct TS,Correct TS
REQNEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REQQEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REQTOY,Minimum,Minimum,Incorrect TS,Correct TS
RERKAD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RERLIL,Not Minimum,Not Minimum,Incorrect TS,Incorrect TS
RERMAF,Minimum,Minimum,Incorrect TS,Correct TS
RERMUZ,Minimum,Minimum,Correct TS,Correct TS
RERNAG,Minimum,Minimum,Correct TS,Correct TS
RERPUC,Minimum,Minimum,Correct TS,Correct TS
RESHON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RESJUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RESJUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RESKAB,Not Minimum,Not Minimum,Incorrect TS,Incorrect TS
RESLIM,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RESMOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RESMUX,Minimum,Minimum,Correct TS,Correct TS
RETJEG,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
RETLOU,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RETRUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RETZAU,Minimum,Minimum,Correct TS,Correct TS
REVFEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
REVHIL,Minimum,Minimum,Correct TS,Correct TS
REVJOS,Minimum,Minimum,Correct TS,Correct TS
REVMOX,Minimum,Minimum,Correct TS,Correct TS
REVQIV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
REVWUK,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REVXOG,Minimum,Minimum,Correct TS,Correct TS
REWHOR,Minimum,Minimum,Correct TS,Correct TS
REWLEL,Minimum,Minimum,Correct TS,Correct TS
REXGUY,Minimum,Minimum,Incorrect TS,Correct TS
REXHUZ,Minimum,Minimum,Correct TS,Correct TS
REXNIT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
REXQAO,Minimum,Minimum,Correct TS,Correct TS
REXQES,Minimum,Minimum,Correct TS,Correct TS
REXSET,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REXSOD,Minimum,Minimum,Correct TS,Correct TS
REXTOG,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
REYBUS,Not Minimum,Minimum,Incorrect TS,Calc Fail
REYHUB,Minimum,Minimum,Incorrect TS,Correct TS
REYJAJ,Minimum,Minimum,Incorrect TS,Correct TS
REYNEQ,Minimum,Minimum,Correct TS,Correct TS
REZJAK,Minimum,Minimum,Correct TS,Correct TS
REZJEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
REZJOW,Minimum,Minimum,Correct TS,Correct TS
REZLOY,Minimum,Minimum,Correct TS,Correct TS
REZMIS,Minimum,Minimum,Correct TS,Correct TS
REZSIZ01,Not Minimum,Minimum,Correct TS,Correct TS
REZSUL,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
REZTIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RFMPPM10,Not Minimum,Minimum,Correct TS,Correct TS
RFPNCX10,Minimum,Minimum,Correct TS,Correct TS
RFURPD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIBFIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIBPYM,Not Minimum,Minimum,Correct TS,Correct TS
RIBVEG,Minimum,Minimum,Correct TS,Correct TS
RIBYAD,Minimum,Minimum,Correct TS,Correct TS
RICDAJ01,Minimum,Minimum,Incorrect TS,Correct TS
RICFOZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RICGAL,Minimum,Not Minimum,Incorrect TS,Correct TS
RICGIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RICHAM,Minimum,Minimum,Correct TS,Correct TS
RICHIX,Minimum,Minimum,Correct TS,Correct TS
RICHUJ,Minimum,Minimum,Correct TS,Correct TS
RICJAO,Not Minimum,Minimum,Correct TS,Correct TS
RICNEY,Minimum,Minimum,Correct TS,Correct TS
RICNIC,Minimum,Minimum,Correct TS,Correct TS
RIDSEE,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RIDSUT,Minimum,Minimum,Correct TS,Correct TS
RIDWOT,Minimum,Minimum,Correct TS,Correct TS
RIDZIP,Minimum,Minimum,Incorrect TS,Incorrect TS
RIFHOG,Minimum,Minimum,Incorrect TS,Correct TS
RIFQIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIFROP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RIFYUB01,Minimum,Minimum,Correct TS,Correct TS
RIFZEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIFZIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RIGDAO,Minimum,Minimum,Correct TS,Correct TS
RIGDIW01,Minimum,Not Minimum,Correct TS,Correct TS
RIGGIA,Minimum,Minimum,Correct TS,Correct TS
RIGGUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIGKOI,Minimum,Minimum,Correct TS,Correct TS
RIGMEA,Minimum,Minimum,Correct TS,Correct TS
RIGNAW,Minimum,Minimum,Incorrect TS,Correct TS
RIGNEA,Minimum,Minimum,Correct TS,Incorrect TS
RIGVAE,Minimum,Minimum,Correct TS,Correct TS
RIGXOV,Not Minimum,Minimum,Correct TS,Correct TS
RIGZIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIHBUI,Minimum,Minimum,Correct TS,Correct TS
RIHCER,Not Minimum,Minimum,Correct TS,Correct TS
RIHCIV,Minimum,Minimum,Correct TS,Correct TS
RIHFAQ,Minimum,Not Minimum,Correct TS,Correct TS
RIHGIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIHHUL,Minimum,Minimum,Correct TS,Correct TS
RIHNAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIJDIX,Minimum,Minimum,Correct TS,Correct TS
RIJDOD,Minimum,Minimum,Correct TS,Correct TS
RIJGEW,Minimum,Minimum,Correct TS,Correct TS
RIJHUN01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIJJEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIJYAK,Minimum,Minimum,Correct TS,Correct TS
RIKBEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RIKCIA,Minimum,Minimum,Correct TS,Correct TS
RIKHEY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIKVEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RILVIR,Minimum,Minimum,Correct TS,Correct TS
RIMCIB,Minimum,Minimum,Correct TS,Correct TS
RIMFOK,Minimum,Minimum,Correct TS,Correct TS
RIMJAA,Not Minimum,Minimum,Correct TS,Correct TS
RIMJEE,Minimum,Minimum,Correct TS,Correct TS
RIMJII,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIMKUV,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
RIMLAC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RIMLEG,Minimum,Not Minimum,Incorrect TS,Incorrect TS
RIMLIK,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RIMLOQ,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RIMMUX01,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RIMQEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIMQUB,Not Minimum,Minimum,Correct TS,Correct TS
RINDID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RINLAB,Minimum,Minimum,Correct TS,Correct TS
RINLIJ,Minimum,Not Minimum,Correct TS,Correct TS
RINXUH,Minimum,Minimum,Correct TS,Correct TS
RIPBEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIPBUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RIPJAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIPLUX,Minimum,Minimum,Correct TS,Correct TS
RIPTUH,Minimum,Not Minimum,Correct TS,Correct TS
RIPZOF,Minimum,Minimum,Correct TS,Correct TS
RIQBEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIQBIC,Minimum,Minimum,Correct TS,Correct TS
RIQJIM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RIQMEK,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RIQWIZ,Minimum,Minimum,Correct TS,Correct TS
RIQZAS,Minimum,Minimum,Correct TS,Correct TS
RIRMAH01,Minimum,Minimum,Correct TS,Correct TS
RIRMAH,Minimum,Not Minimum,Correct TS,Correct TS
RIRRAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIRRES,Minimum,Minimum,Correct TS,Correct TS
RIRZAU,Minimum,Minimum,Correct TS,Correct TS
RIRZIC,Minimum,Minimum,Correct TS,Correct TS
RISBIE,Minimum,Minimum,Correct TS,Incorrect TS
RISFEF,Minimum,Minimum,Correct TS,Correct TS
RISHEH,Minimum,Minimum,Incorrect TS,Correct TS
RISLOX,Minimum,Minimum,Correct TS,Correct TS
RIVGAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIVGUZ,Minimum,Minimum,Correct TS,Correct TS
RIVMER,Minimum,Not Minimum,Correct TS,Correct TS
RIWBUW,Minimum,Minimum,Correct TS,Correct TS
RIWCOR,Not Minimum,Minimum,Correct TS,Correct TS
RIWDOS,Minimum,Minimum,Correct TS,Correct TS
RIWGAI13,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIWJAI,Minimum,Minimum,Correct TS,Correct TS
RIWJOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIWJUC,Minimum,Minimum,Correct TS,Correct TS
RIWNEQ,Minimum,Not Minimum,Correct TS,Correct TS
RIWPES,Minimum,Minimum,Correct TS,Correct TS
RIWPIW01,Minimum,Minimum,Correct TS,Correct TS
RIWWEA01,Minimum,Minimum,Correct TS,Correct TS
RIXGOW,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RIYPUN,Minimum,Minimum,Correct TS,Correct TS
RIYRUN,Minimum,Minimum,Correct TS,Correct TS
RIYTEZ,Minimum,Minimum,Correct TS,Correct TS
RIZCAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIZSIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RIZVUR,Not Minimum,Minimum,Correct TS,Correct TS
RIZWEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RIZYAD,Minimum,Minimum,Correct TS,Correct TS
RIZZEH,Minimum,Minimum,Correct TS,Correct TS
ROBCET,Minimum,Not Minimum,Correct TS,Correct TS
ROBRAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ROBTIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROCKUS,Minimum,Minimum,Correct TS,Correct TS
ROCMOO,Minimum,Minimum,Correct TS,Correct TS
ROCPIJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RODPAD,Minimum,Minimum,Incorrect TS,Correct TS
RODWUE,Not Minimum,Minimum,Correct TS,Calc Fail
ROFCAR,Minimum,Minimum,Correct TS,Correct TS
ROFGIC,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ROFGUP,Minimum,Minimum,Correct TS,Correct TS
ROFHEA,Minimum,Not Minimum,Correct TS,Correct TS
ROFJAY,Minimum,Minimum,Incorrect TS,Correct TS
ROFLIJ,Minimum,Minimum,Correct TS,Correct TS
ROFMEG,Minimum,Minimum,Correct TS,Correct TS
ROFMUV,Minimum,Minimum,Correct TS,Correct TS
ROFRAG,Minimum,Minimum,Correct TS,Correct TS
ROFTOW,Minimum,Minimum,Correct TS,Correct TS
ROFYAN,Minimum,Minimum,Correct TS,Correct TS
ROFZUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROGFEZ01,Minimum,Minimum,Correct TS,Correct TS
ROGFID,Minimum,Minimum,Correct TS,Correct TS
ROGHEB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROGJUT,Not Minimum,Minimum,Correct TS,Correct TS
ROGKAA,Minimum,Minimum,Correct TS,Correct TS
ROGMAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROGTAJ,Minimum,Minimum,Incorrect TS,Correct TS
ROGVAN,Minimum,Minimum,Correct TS,Correct TS
ROHBAR02,Minimum,Minimum,Correct TS,Correct TS
ROHGIF,Not Minimum,Minimum,Correct TS,Correct TS
ROHHUR,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ROHPUB,Not Minimum,Minimum,Correct TS,Correct TS
ROHXAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROJBAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROJDAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROJGIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ROJHIK,Minimum,Minimum,Correct TS,Correct TS
ROJMUA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROJNAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROJSEP,Minimum,Minimum,Correct TS,Correct TS
ROJZEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROKBUP,Minimum,Not Minimum,Incorrect TS,Correct TS
ROKKEI,Minimum,Minimum,Incorrect TS,Correct TS
ROKMOW,Minimum,Minimum,Correct TS,Correct TS
ROKNAJ,Minimum,Minimum,Correct TS,Correct TS
ROKPAK,Minimum,Minimum,Correct TS,Correct TS
ROKSER,Minimum,Minimum,Correct TS,Correct TS
ROKSIT,Minimum,Minimum,Correct TS,Correct TS
ROKTUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROKYUL,Not Minimum,Minimum,Correct TS,Correct TS
ROLCUR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROLFII,Minimum,Minimum,Correct TS,Correct TS
ROLLUZ,Minimum,Minimum,Incorrect TS,Correct TS
ROLNEL,Minimum,Minimum,Correct TS,Correct TS
ROLPUG,Minimum,Minimum,Correct TS,Correct TS
ROLSAP,Minimum,Minimum,Correct TS,Correct TS
ROLTOB,Minimum,Minimum,Correct TS,Correct TS
ROLTUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROLYIA,Minimum,Minimum,Correct TS,Correct TS
ROMKAG,Minimum,Minimum,Correct TS,Correct TS
ROMKAI,Minimum,Minimum,Correct TS,Correct TS
ROMLIQ,Minimum,Minimum,Correct TS,Correct TS
ROMNEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROMPEP,Minimum,Minimum,Correct TS,Correct TS
ROMQIW,Minimum,Minimum,Correct TS,Correct TS
ROMZIF,Minimum,Minimum,Correct TS,Correct TS
ROMZOL,Minimum,Minimum,Correct TS,Correct TS
RONBOO,Minimum,Minimum,Correct TS,Correct TS
RONCEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RONGUY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RONKAJ,Minimum,Minimum,Correct TS,Correct TS
ROPMUE,Minimum,Minimum,Correct TS,Correct TS
ROPQES,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ROPQUL,Minimum,Minimum,Correct TS,Correct TS
ROPZAZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ROPZUU,Minimum,Minimum,Correct TS,Correct TS
ROQKOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROQLOA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RORXAZ,Minimum,Minimum,Correct TS,Correct TS
ROSYIK,Minimum,Not Minimum,Correct TS,Correct TS
ROTDAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROTPIB,Minimum,Minimum,Correct TS,Correct TS
ROTREZ,Minimum,Minimum,Correct TS,Correct TS
ROTXIJ,Minimum,Not Minimum,Correct TS,Correct TS
ROVMUN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ROVNAU,Not Minimum,Not Minimum,Correct TS,Incorrect TS
ROVRAX,Minimum,Not Minimum,Correct TS,Correct TS
ROVREC01,Minimum,Minimum,Correct TS,Correct TS
ROWCEN,Minimum,Minimum,Correct TS,Correct TS
ROWHET,Minimum,Minimum,Correct TS,Correct TS
ROWJEU,Minimum,Minimum,Correct TS,Correct TS
ROWMUO,Minimum,Minimum,Correct TS,Correct TS
ROWWEI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROXBUE,Not Minimum,Not Minimum,Correct TS,Correct TS
ROXCAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROXCAL,Minimum,Minimum,Correct TS,Correct TS
ROXDEP,Minimum,Not Minimum,Correct TS,Correct TS
ROXHUK,Minimum,Minimum,Correct TS,Correct TS
ROXLAU,Minimum,Minimum,Correct TS,Correct TS
ROXLEY,Minimum,Minimum,Correct TS,Correct TS
ROXLIC,Minimum,Minimum,Correct TS,Correct TS
ROXLOI,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ROXMID,Minimum,Minimum,Correct TS,Correct TS
ROXTEG,Not Minimum,Minimum,Correct TS,Calc Fail
ROXXOU,Minimum,Minimum,Incorrect TS,Incorrect TS
ROXYAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ROXZIQ,Minimum,Minimum,Correct TS,Correct TS
ROYGET,Not Minimum,Minimum,Correct TS,Correct TS
ROYVAF,Minimum,Minimum,Correct TS,Correct TS
ROZHUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ROZRAB07,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ROZTEH,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
ROZVUZ,Minimum,Minimum,Correct TS,Correct TS
RPPYPY20,Not Minimum,Minimum,Correct TS,Correct TS
RTRSIN,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUBBEX,Minimum,Not Minimum,Incorrect TS,Correct TS
RUBFUS02,Minimum,Minimum,Correct TS,Correct TS
RUBKOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUBWAO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RUCCOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUCDAW,Minimum,Minimum,Correct TS,Correct TS
RUCDOJ,Minimum,Minimum,Correct TS,Incorrect TS
RUCJIL,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RUCPUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUCTUF,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RUCVAN,Minimum,Minimum,Correct TS,Correct TS
RUDLOT,Minimum,Minimum,Correct TS,Correct TS
RUDMOL01,Not Minimum,Not Minimum,Correct TS,Calc Fail
RUDRAJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RUDREN,Minimum,Minimum,Incorrect TS,Correct TS
RUDRIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUFCIF,Minimum,Minimum,Correct TS,Correct TS
RUFHEG,Minimum,Minimum,Correct TS,Correct TS
RUFJOS,Minimum,Minimum,Correct TS,Correct TS
RUFSUH,Minimum,Minimum,Incorrect TS,Incorrect TS
RUGBIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUGCII,Minimum,Minimum,Incorrect TS,Correct TS
RUGGIK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUGHOQ,Minimum,Minimum,Incorrect TS,Correct TS
RUGSIW06,Minimum,Minimum,Correct TS,Correct TS
RUHGEI,Minimum,Minimum,Correct TS,Correct TS
RUHVOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUJDUY,Not Minimum,Minimum,Correct TS,Calc Fail
RUJHOU,Not Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RUJHUB,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
RUJJEM,Minimum,Minimum,Correct TS,Correct TS
RUJKIT,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RUJMUH,Minimum,Minimum,Correct TS,Correct TS
RUJNAO,Minimum,Minimum,Correct TS,Correct TS
RUJPAQ,Minimum,Minimum,Correct TS,Correct TS
RUJVAT,Minimum,Not Minimum,Correct TS,Correct TS
RUJXIF,Minimum,Minimum,Correct TS,Correct TS
RUJYIG,Minimum,Minimum,Correct TS,Correct TS
RUKBOP,Minimum,Minimum,Correct TS,Correct TS
RUKCIK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
RUKDOR,Minimum,Minimum,Correct TS,Correct TS
RUKLOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUKNER,Minimum,Minimum,Incorrect TS,Correct TS
RUKQOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUKVAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RULDEH,Minimum,Minimum,Correct TS,Correct TS
RULGEK,Minimum,Minimum,Incorrect TS,Correct TS
RULGEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RULKER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RULKIS,Minimum,Minimum,Correct TS,Correct TS
RULKIV,Minimum,Minimum,Correct TS,Correct TS
RULMER,Minimum,Minimum,Correct TS,Correct TS
RULSEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RULTAU,Minimum,Minimum,Correct TS,Correct TS
RULTAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RULYEE,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUMJAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUMKIU,Not Minimum,Minimum,Incorrect TS,Incorrect TS
RUMPUM,Not Minimum,Minimum,Correct TS,Correct TS
RUMXUV,Not Minimum,Minimum,Incorrect TS,Correct TS
RUMYUU,Minimum,Minimum,Correct TS,Correct TS
RUNBIN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
RUNGAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUNJAN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUNJER,Minimum,Minimum,Correct TS,Correct TS
RUNJIV,Minimum,Minimum,Correct TS,Correct TS
RUNSUR,Minimum,Minimum,Correct TS,Correct TS
RUNZUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUPFIU,Minimum,Minimum,Correct TS,Correct TS
RUPFOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUPQEY,Minimum,Minimum,Correct TS,Correct TS
RUPQIC,Minimum,Minimum,Incorrect TS,Correct TS
RUPRAV,Minimum,Minimum,Correct TS,Correct TS
RUPXUV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUQBAI,Not Minimum,Not Minimum,Correct TS,Correct TS
RUQBEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
RUQKOG,Minimum,Minimum,Correct TS,Correct TS
RUQSOM,Minimum,Minimum,Correct TS,Correct TS
RUQSUR,Not Minimum,Not Minimum,Calc Fail,Calc Fail
RUQWIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RUQZOT,Minimum,Minimum,Correct TS,Correct TS
RURFAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
RURPIG,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
RURSUU,Minimum,Minimum,Incorrect TS,Correct TS
RURYAH,Minimum,Minimum,Correct TS,Correct TS
RUSFOD,Minimum,Minimum,Correct TS,Correct TS
RUSFUJ,Minimum,Minimum,Correct TS,Correct TS
