Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
KIMWAE,84.07,1.03,215.88,3.62,9.4,6.73,43.5,36.2,21.2,681.88,-3.8287,-2.7336,1.99,2.05,-0.01,-0.01,2.61,2.05,3.13,3.09,2.46,1.37,1.22,82.83,76.18,88.08,101.38,111.62,122.91,108.3,124.94,-0.3375,0.1587,-0.1825,0.272,0.1225,0.2098,-0.4538,0.0763,2.6683,3.0015,3.7907,3.1313,3.0435,3.9393,2.115,29.1679,7.1731,5.8385,25.2901,7.0274,7.1361,5.6777,8.3927,0.5207,0,0.576,0.5004,0.4025,0.6442,0.4929,0,1.9065,1.0106,2.7902,2.801,0.96,0.9912,0.8498,3.009,3.5796,1.16,1.2518,1.1677,3.6475,3.538,3.7446,3.6348,10.1475,2.0269,2.0453,2.0227,2.0301,2.0224,6.3685,12.5892,4.1539,4.1995,4.2358,10.3796,2.0696,2.1086,2.0728,2.0564,2.0723,1.219,1.1607,1.1289,0.3352,0.037,0.0885,0.0456,1.1939,1.1489,1.243,0.2309,0.049,0.0238,0.0661,0.0216,2.7444,2.6902,0.9684,0.9658,0.7559,3.3996,4.4523,1.4882,1.6181,1.3459,-434.75,35.1
NASWAI,85.62,-0.81,194.26,4.57,9.65,8.82,41.7,35.2,23.8,770.44,-3.3369,-2.1444,1.96,2.04,0.02,-0.05,2.56,2.12,3.24,3.1,2.41,1.35,1.23,83.44,81.21,89.18,102.61,101.16,117.51,109.74,126.69,-0.4625,0.1596,-0.1998,0.3434,-0.0336,0.2295,-0.4687,0.0316,2.4204,2.9428,3.7401,1.7255,3.1112,3.9891,2.0858,29.0637,7.3014,5.7199,25.2859,8.6706,7.1552,5.6508,8.4409,0.5772,0,0.5968,0.4118,0.3701,0.6245,0.4514,0,1.8753,1.069,2.7967,2.8134,0.8861,1.0867,0.8406,3.0077,3.583,1.2185,1.1787,1.1858,3.6089,3.5054,3.8463,3.5172,10.1595,2.0252,2.0615,2.0186,2.0312,2.0231,6.3622,12.6119,4.1973,4.1913,4.2232,10.4882,2.053,2.1717,2.0975,2.0922,2.0738,1.6011,1.5276,1.4294,0.0696,0.0107,0.0222,0.0115,1.12,1.214,1.2011,0.2564,0.0358,0.0399,0.0787,0.0245,2.7401,2.6988,0.9802,0.9561,0.7625,3.4047,4.4927,1.5773,1.5484,1.3669,-369.71,35.1
NOQTET,80.8,-0.5,216.29,2.82,7.86,8.76,38.2,30.7,21.2,732.81,-4.1143,-2.6687,2.07,2.02,0.02,-0.02,2.53,2.09,3.19,3.03,2.45,1.36,1.23,85.67,79.52,89.67,102.12,104.12,121.42,109.46,125.71,-0.4086,0.1585,-0.1755,0.3545,0.1674,0.1658,-0.458,0.0654,2.4048,2.9733,3.7671,3.0109,2.1338,4.0539,2.117,29.0473,7.2611,5.7646,25.2339,7.0931,8.4062,5.6969,8.4036,0.6406,0,0.5377,0.4357,0.402,0.4723,0.4968,0,1.914,1.0509,2.7918,2.7954,0.8936,1.097,0.8048,3.0125,3.5789,1.2358,1.158,1.1851,3.613,3.5446,3.814,3.5149,10.1416,2.0236,2.0499,2.0177,2.0294,2.021,6.3632,12.5977,4.2119,4.1604,4.2255,10.4474,2.0825,2.0958,2.124,2.0788,2.0664,1.227,1.1906,1.0886,0.3029,0.0468,0.0856,0.0353,1.4058,1.5578,1.4453,0.0785,0.0101,0.0164,0.0234,0.0103,2.7433,2.6897,0.9856,0.9513,0.7528,3.4002,4.4626,1.6024,1.5204,1.3397,-420.06,35.1
OJUGIM,93.02,-4.4,207.92,4.69,8.61,9.98,42.9,40.5,31.1,875.34,-3.6603,-2.2418,2.03,2.06,-0.05,0.02,2.58,2.11,3.14,3.02,2.4,1.35,1.23,83.52,78.31,91.12,100.73,102.4,121.07,109.72,125.89,-0.4247,0.1682,-0.2087,0.3455,0.1503,0.1592,-0.4627,0.0561,2.0589,2.9645,3.6987,1.9958,1.8999,3.9962,2.0842,28.8862,7.2539,5.6997,25.2883,8.4441,8.5337,5.6748,8.4251,0.5368,0,0.5945,0.4373,0.3953,0.3562,0.3326,0,1.858,1.0508,2.7903,2.8102,0.8628,1.109,0.8384,3.0014,3.5768,1.1749,1.1896,1.2123,3.6099,3.617,3.8394,3.4151,10.1546,2.0273,2.0439,2.0141,2.037,2.0323,6.3368,12.5403,4.1979,4.1567,4.1856,10.5475,2.1064,2.1056,2.0824,2.1379,2.1151,1.5799,1.4116,1.4297,0.0796,0.0188,0.0208,0.0094,1.4788,1.5254,1.4185,0.0758,0.0082,0.0251,0.0127,0.0154,2.7405,2.6936,0.9665,0.9387,0.7883,3.4011,4.4708,1.5651,1.5354,1.3703,-415.36,35.1
PADYEY,84.52,8.13,180.51,2.33,10.18,10.04,30.7,24.4,20.6,863.9,-4.0178,-3.0514,1.89,2.26,0.14,-0.26,2.54,1.98,3.1,2.94,2.53,1.36,1.22,89.36,75.29,87.91,99.78,109.31,126.47,108.74,124.61,-0.3159,0.1418,-0.1428,0.2473,0.2138,0.1921,-0.4585,0.0825,2.2797,3.0866,3.6917,2.1651,2.1193,3.9878,2.0957,29.0366,7.1712,5.7687,25.3097,8.3168,8.3521,5.7025,8.3986,0.5852,0,0.5234,0.5917,0.3463,0.6319,0.2004,0,1.8882,1.0656,2.7939,2.7871,0.9626,1.0053,0.8192,3.009,3.5969,1.1292,1.2737,1.194,3.6597,3.7048,3.7154,3.5218,10.1353,2.0236,2.0203,2.028,2.0395,2.0238,6.3761,12.5371,4.2084,4.1717,4.157,10.4024,2.1297,2.0666,2.0401,2.1029,2.0631,1.3374,1.6135,1.4228,0.088,0.0244,0.0248,0.0094,1.3566,1.5831,1.4317,0.0719,0.0032,0.0182,0.0199,0.0089,2.7425,2.6918,0.8406,0.9727,0.8786,3.3972,4.4479,1.4058,1.6265,1.4157,-428.9,35.1
PECZEE,79.55,-0.69,173.04,1.9,8.73,7.29,29.4,19.4,11.8,570.17,-3.9308,-2.6,2.01,2.21,-0.01,0.01,2.53,2.18,3.09,3.33,2.46,1.34,1.24,82.91,76.5,88.36,95.02,116.15,113.8,109.1,124.99,-0.4235,0.1543,-0.177,0.3639,0.1635,-0.0489,-0.4543,0.0371,1.9534,2.8724,3.7206,2.1468,2.975,4.0842,2.0168,28.9765,7.2914,5.781,25.1812,8.3843,7.3714,5.7239,8.477,0.6952,0,0.588,0.3169,0.2876,0.4689,0.3342,0,1.7249,1.1887,2.7909,2.7969,0.919,0.9041,0.9738,3.0133,3.5844,1.2951,1.1252,1.1641,3.6141,3.4823,3.696,3.684,10.1417,2.0387,2.0326,2.0246,2.0247,2.0211,6.3956,12.5661,4.1777,4.1527,4.2356,10.4616,2.0431,2.1375,2.141,2.061,2.079,1.4059,1.5785,1.4321,0.0795,0.0162,0.0252,0.009,1.2606,1.282,1.236,0.194,0.0478,0.0415,0.0442,0.0228,2.74,2.6914,0.9755,0.8907,0.8252,3.4018,4.4883,1.6201,1.4552,1.413,-425.17,35.1
PEZPOB,82.21,1.55,212.81,2.19,12.85,6.93,33,25.9,17.8,763.76,-3.9301,-2.3109,2.12,2.04,-0.07,0,2.51,3.22,3.39,2.01,2.33,1.3,1.27,62.74,88.83,89.73,77.32,62.49,163.51,111.66,127.81,-0.43,0.1701,-0.2475,0.5004,0.0907,0.1878,-0.4523,0.0743,2.2116,3.0802,3.6194,2.9773,2.1533,4.0415,2.004,28.9696,7.2077,5.678,25.118,7.2135,8.3325,5.7209,8.5059,0.7221,0,0.6041,0,0.3898,0.3697,0.4002,0.4555,1.4207,1.4647,2.7914,2.8241,0.9265,0.8209,1.0767,3.0076,3.5779,1.2708,1.1498,1.1573,3.5701,3.3024,3.8091,3.6169,10.1778,2.0354,2.0493,2.0222,2.0462,2.0246,6.3737,12.5841,4.1849,4.1602,4.239,10.472,2.0696,2.1314,2.1048,2.0588,2.1073,1.3029,1.1016,1.1363,0.2918,0.0523,0.0735,0.0416,1.4084,1.5754,1.4107,0.0784,0.0065,0.0249,0.0171,0.0113,2.7289,2.7018,0.8592,0.9051,0.9375,3.3519,4.4944,1.4811,1.5259,1.4874,-343.26,35.1
POVFUD,81.89,-0.97,203.94,2.01,6.22,10.34,35.4,25.2,15.2,668.01,-3.9248,-2.5274,2.03,2.02,-0.01,0.02,2.57,2.05,3.12,3.02,2.47,1.36,1.22,85.69,76.62,89.58,100.93,108.68,123.1,108.71,125.25,-0.3898,0.1554,-0.176,0.2921,0.234,0.2329,-0.4535,0.0754,2.5425,2.9914,3.7292,3.2966,3.3072,4.0768,2.0878,29.1475,7.2108,5.7561,25.2763,7.0952,7.0635,5.7398,8.4011,0.558,0,0.5437,0.4635,0.3735,0.5736,0.5776,0,1.8663,1.0705,2.7907,2.7972,0.9044,1.0864,0.8064,3.0091,3.5813,1.197,1.2111,1.1731,3.6353,3.4629,3.8531,3.597,10.1431,2.0217,2.0561,2.016,2.0315,2.0178,6.3519,12.6502,4.2151,4.1908,4.2443,10.3874,2.0471,2.0719,2.1051,2.0751,2.0881,1.0619,1.2523,1.2182,0.2577,0.0391,0.0799,0.0209,1.0602,1.1726,1.3004,0.259,0.0515,0.026,0.085,0.0219,2.7438,2.6864,0.9792,0.9542,0.7529,3.3984,4.4539,1.5241,1.594,1.3358,-435.71,35.1
ROHBAR02,79.59,1.19,213.23,2.13,9.27,8.77,37.7,27.5,16.9,692.29,-4.3042,-3.5303,2.06,2.07,-0.05,0,2.55,2.02,3.12,2.99,2.49,1.37,1.22,87.13,76.29,88.55,100.84,109.14,125.01,108.87,124.55,-0.3566,0.1495,-0.1592,0.2952,0.1937,0.1405,-0.4519,0.0888,2.5012,3.0576,3.7696,2.1741,3.1215,4.0522,2.1332,29.0721,7.1825,5.8135,25.2628,8.3643,7.0108,5.7354,8.3706,0.5844,0,0.5307,0.5464,0.3955,0.4053,0.5584,0,1.9418,1.0286,2.791,2.7901,0.9616,1.0373,0.7912,3.011,3.5882,1.157,1.2609,1.1702,3.6488,3.5536,3.7529,3.5977,10.136,2.0245,2.0476,2.0216,2.025,2.0172,6.3628,12.5888,4.1886,4.1722,4.2281,10.4048,2.0703,2.0761,2.1044,2.0773,2.0767,1.3783,1.561,1.44,0.0779,0.0142,0.025,0.0094,1.1717,1.2633,1.0871,0.3039,0.0604,0.0445,0.0847,0.0372,2.7435,2.6871,0.9685,0.9659,0.7526,3.3967,4.4419,1.4867,1.6297,1.3255,-439.02,35.1
TABQEU,83.09,-1.25,202.6,3.18,7.43,12.46,35.3,25.2,15.7,816,-3.9704,-2.6695,2.02,2.03,0.03,0,2.56,2.04,3.11,3.01,2.47,1.36,1.22,86,76.24,89.54,100.56,109.15,123.64,108.65,125.15,-0.3902,0.1552,-0.1743,0.2877,0.2351,0.2352,-0.4533,0.0776,2.5505,2.9993,3.735,3.3072,3.2935,4.0816,2.0871,29.1458,7.2043,5.7661,25.2788,7.0784,7.1037,5.7457,8.3991,0.5535,0,0.5444,0.4709,0.3728,0.5835,0.5866,0,1.8641,1.0735,2.7905,2.7965,0.9474,1.0368,0.8124,3.0089,3.5814,1.1484,1.2347,1.1983,3.6369,3.5547,3.8116,3.5493,10.1431,2.0245,2.0505,2.0176,2.0286,2.0219,6.3501,12.6538,4.2191,4.1966,4.2381,10.3861,2.0789,2.0749,2.0794,2.0818,2.071,1.0758,1.1587,1.2965,0.2589,0.035,0.0745,0.0349,1.0965,1.2162,1.2192,0.2555,0.0377,0.0419,0.0737,0.0284,2.7438,2.6862,0.9499,0.9614,0.7749,3.398,4.4521,1.4783,1.6195,1.3543,-439.41,35.1
TIGMUU,81.95,-0.94,227.82,1.88,11.27,7.39,35.7,27.5,17,728.88,-4.5239,-3.3449,2.05,1.93,-0.04,0.04,2.53,2.03,3.03,3.12,2.49,1.37,1.22,86.69,74.3,87.77,96.77,113.38,122.22,109.04,124.75,-0.3616,0.1538,-0.1582,0.352,0.1655,0.1189,-0.4592,0.0821,2.8632,3.0592,3.6721,3.1079,3.219,3.9167,2.1069,29.1914,7.2783,5.7729,25.2066,7.0812,6.9178,5.6666,8.3917,0.6418,0,0.5103,0.5659,0.3845,0.5537,0.6797,0,1.8908,0.9932,2.7903,2.7885,0.92,1.0266,0.8419,3.0116,3.5843,1.1778,1.2488,1.1577,3.618,3.4595,3.7676,3.6426,10.1437,2.0223,2.0406,2.022,2.038,2.0208,6.3705,12.6498,4.1812,4.213,4.2555,10.3411,2.0647,2.1,2.039,2.0566,2.0808,1.2014,1.2418,1.0704,0.2832,0.0439,0.0786,0.0252,1.2091,1.0903,1.2052,0.3308,0.076,0.0286,0.0978,0.0379,2.7442,2.6917,0.9702,0.9656,0.7559,3.3979,4.4471,1.4883,1.6272,1.3316,-439.95,35.1
TOYFIY,81.92,-1.15,203.96,2.97,8.2,16.28,35.5,25.3,15.2,940.71,-3.9353,-2.8654,2.03,2.01,-0.01,0.03,2.56,2.05,3.12,3.01,2.47,1.36,1.22,85.82,76.53,89.52,100.79,108.66,123.37,108.69,125.21,-0.3929,0.1553,-0.1749,0.2949,0.235,0.2329,-0.4536,0.0764,2.5566,2.9915,3.7299,3.2914,3.312,4.0862,2.0911,29.1499,7.209,5.7581,25.2727,7.0967,7.0622,5.7446,8.3988,0.565,0,0.5394,0.4622,0.3746,0.5695,0.5883,0,1.8723,1.0724,2.7907,2.7966,0.9097,1.0812,0.8056,3.0093,3.5812,1.1876,1.2199,1.1737,3.6334,3.4713,3.8462,3.5944,10.1432,2.0219,2.0555,2.0164,2.0314,2.0179,6.3518,12.6525,4.2164,4.1912,4.2448,10.3883,2.0497,2.0742,2.0988,2.0765,2.0892,1.0698,1.2484,1.2134,0.2579,0.0404,0.0788,0.0219,1.0643,1.167,1.3019,0.2593,0.0506,0.0284,0.0823,0.0253,2.7438,2.6866,0.9758,0.9561,0.7547,3.3984,4.4529,1.5139,1.6029,1.3362,-435.95,35.1
XAJDOC,86.73,-0.98,195.69,3.78,7.57,10.1,36.1,27.3,19.3,738.57,-3.2469,-2.261,1.94,2.03,0.05,-0.06,2.5,2.21,3.27,3.16,2.45,1.34,1.23,84.39,82.85,89.15,100.34,105.52,119.3,109.57,126.72,-0.4818,0.1551,-0.1809,0.3538,-0.0306,0.225,-0.4806,0.0267,2.444,2.8857,3.7787,1.8978,3.1949,4.09,2.0838,29.0962,7.3105,5.7532,25.2501,8.5949,7.2042,5.7091,8.4459,0.656,0,0.552,0.3099,0.3856,0.6934,0.4882,0,1.8927,1.1286,2.7979,2.8058,0.899,1.0855,0.8213,3.0185,3.5824,1.2306,1.2047,1.147,3.5974,3.4156,3.842,3.61,10.1606,2.02,2.0599,2.0267,2.034,2.0201,6.3795,12.6289,4.2002,4.1832,4.2455,10.4731,2.0591,2.1965,2.1006,2.0347,2.0822,1.5475,1.5844,1.4459,0.0709,0.019,0.0169,0.0114,1.053,1.2447,1.2376,0.2578,0.038,0.0359,0.0813,0.0223,2.7448,2.7075,0.9674,0.9612,0.7789,3.4075,4.4951,1.5437,1.5768,1.3746,-383.53,35.1
ZEQREV,83.28,-1.01,202.53,3.98,7.14,12.4,35.3,25.6,17.6,854.57,-3.849,-2.3863,2.02,2.03,0,0.01,2.58,2.08,3.13,3.07,2.43,1.36,1.23,83.96,77.26,90.15,101.05,107.33,120.62,109.06,125.86,-0.3806,0.1585,-0.194,0.3073,0.2284,0.2308,-0.4551,0.0643,2.4928,2.9731,3.7088,3.3012,3.3038,4.0492,2.0883,29.1391,7.2337,5.7276,25.2661,7.1243,7.1078,5.7129,8.4106,0.5442,0,0.573,0.4394,0.3762,0.5953,0.5776,0,1.8658,1.0669,2.79,2.8038,0.9029,1.0822,0.8187,3.0061,3.5814,1.1826,1.2095,1.1893,3.6318,3.4889,3.8566,3.5504,10.148,2.0249,2.0572,2.0147,2.0303,2.0209,6.3514,12.638,4.2074,4.1961,4.2345,10.391,2.0563,2.0755,2.1007,2.0832,2.0753,1.0687,1.2435,1.2246,0.2588,0.038,0.08,0.0214,1.0637,1.1727,1.2983,0.2602,0.0538,0.0254,0.0844,0.0229,2.7434,2.6884,0.9797,0.9543,0.7545,3.4008,4.4629,1.5316,1.5897,1.3417,-429.48,35.1
AGOSUM,82.29,-1.01,202.9,2.35,6.21,9.39,35.3,25.2,15.1,628.98,-3.9158,-2.4877,2.03,2.02,0,0.02,2.57,2.06,3.11,3.03,2.46,1.36,1.22,85.33,76.53,89.77,100.68,108.92,122.57,108.74,125.34,-0.3897,0.1563,-0.1798,0.2959,0.2323,0.2342,-0.4536,0.0738,2.5342,2.9884,3.721,3.2939,3.2939,4.0791,2.089,29.1487,7.2113,5.7501,25.2727,7.1056,7.0786,5.7391,8.402,0.5583,0,0.5456,0.4566,0.3757,0.5888,0.5749,0,1.8695,1.0726,2.7903,2.7983,0.9064,1.0828,0.8092,3.0086,3.5808,1.1916,1.2136,1.1756,3.6334,3.4651,3.8519,3.5927,10.1443,2.0223,2.0563,2.0161,2.0315,2.0181,6.3526,12.6485,4.2134,4.1936,4.2415,10.3884,2.0489,2.0779,2.1,2.0759,2.0857,1.0652,1.2474,1.2218,0.2572,0.0373,0.0803,0.021,1.0617,1.1748,1.2965,0.2581,0.0507,0.0263,0.0841,0.0232,2.7438,2.6868,0.9785,0.955,0.7533,3.399,4.455,1.5218,1.5969,1.3364,-435.57,35.2
BOZLEH,88.07,-1.48,188.61,1.77,4.65,6.6,31.9,17.9,7.5,492.61,-3.6219,-2.3852,2.28,2.03,0.03,0,2.52,2.06,3.05,3.13,2.48,1.36,1.23,87.37,75.18,89.26,96.66,111.28,121.46,109.1,125.82,-0.696,0.152,-0.169,0.2934,0.3519,0.1434,-0.4638,0.056,2.3614,2.9808,3.6696,2.3097,2.1139,4.0978,2.1019,29.046,7.2327,5.7585,25.2829,16.3971,8.3764,5.7327,8.4037,0.596,0,0.531,0.4366,0.3754,0.7305,0.3639,0,1.9084,1.0969,2.7925,2.7951,0.8989,1.061,0.8352,3.0124,3.5845,1.2051,1.1997,1.1796,3.621,3.4475,3.8558,3.6108,10.1531,2.0257,2.0568,2.0176,2.0334,2.0195,6.4157,12.6911,4.2216,4.1854,4.2841,10.589,2.0712,2.1691,2.1349,2.0975,2.1162,3.4063,3.286,3.4342,0.1991,0.0287,0.0593,0.0248,1.3974,1.588,1.4404,0.0775,0.0047,0.0177,0.021,0.0093,2.7453,2.6964,0.9851,0.9552,0.7561,3.4032,4.4689,1.5405,1.5847,1.3437,-433.35,35.2
BUDNAQ,84.97,-1.74,187.34,1.72,6.34,9.29,31,19.2,10.5,592.86,-4.248,-3.1901,2.07,2.04,0.09,-0.05,2.52,2.02,3.1,3,2.5,1.37,1.22,87.58,76.31,87.82,100.05,109.55,124.63,108.93,124.76,-0.3565,0.1492,-0.1552,0.3169,0.1611,0.1139,-0.4536,0.0824,2.4645,3.0282,3.6913,2.1439,3.117,4.0598,2.1286,29.0151,7.2063,5.7627,25.2597,8.3525,7.0362,5.7374,8.3764,0.5988,0,0.5132,0.5266,0.3878,0.407,0.6624,0,1.95,1.0363,2.7918,2.7895,0.9363,1.0624,0.7908,3.0115,3.5882,1.1637,1.2454,1.1791,3.6329,3.521,3.8107,3.5611,10.1406,2.022,2.0535,2.0162,2.0293,2.0196,6.3687,12.6027,4.2154,4.1786,4.2087,10.3849,2.0522,2.0668,2.0915,2.0908,2.0835,1.4101,1.5437,1.4493,0.0756,0.0119,0.0274,0.0086,1.1128,0.9815,1.3594,0.3354,0.0707,0.0393,0.0852,0.0322,2.7436,2.6887,0.9674,0.9598,0.7615,3.3977,4.4475,1.4889,1.6221,1.3365,-436.33,35.2
DUNBUK,94.99,0.75,206.28,1.7,10.27,8.42,35,25.5,16.6,687.55,-3.4541,-2.1355,2.01,1.95,-0.06,0.05,2.58,2.13,3.17,3.18,2.41,1.34,1.23,83,78.84,89.67,99.7,105.02,115.59,110.04,126.82,-0.4152,0.1575,-0.2005,0.3161,0.083,0.0543,-0.4707,0.0249,2.3967,2.9179,3.7139,3.0992,2.0296,4.0278,2.0825,29.0638,7.3043,5.7212,25.2746,7.1202,8.5131,5.6699,8.4432,0.5859,0,0.5763,0.4011,0.3521,0.4881,0.6067,0,1.8864,1.0814,2.7941,2.809,0.9496,0.95,0.9094,3.005,3.5871,1.163,1.2284,1.1957,3.627,3.4662,3.8024,3.6117,10.1582,2.0244,2.0556,2.0208,2.0312,2.0262,6.3483,12.604,4.197,4.1806,4.2263,10.4626,2.0747,2.1401,2.123,2.0682,2.0566,1.1633,1.2365,1.152,0.3005,0.0563,0.0778,0.0421,1.534,1.5879,1.3942,0.0746,0.0034,0.0176,0.024,0.008,2.7412,2.7008,0.9535,0.9685,0.7788,3.408,4.4964,1.4809,1.6374,1.3781,-385.85,35.2
GLUGLY,61.43,0.54,152.81,2.05,6.87,9.76,24.1,17.1,12.4,604.8,-3.4093,-2.3316,2.05,2.23,0.05,-0.09,2.5,2.07,3.2,2.93,2.47,1.35,1.23,87.9,80.28,88.99,101.61,99.98,122.04,109.48,125.58,-0.403,0.1494,-0.1704,0.3226,0.0789,0.0533,-0.4702,0.0361,2.0736,2.946,3.6548,2.0009,1.9661,4.0566,2.0858,29.0251,7.3112,5.6928,25.2798,8.4577,8.4838,5.6995,8.4351,0.6724,0,0.5092,0.4409,0.3675,0.5015,0.2976,0,1.8859,1.0626,2.7976,2.8007,0.9136,1.0908,0.7963,3.0125,3.5891,1.2905,1.1458,1.1527,3.6156,3.4875,3.8117,3.5926,10.1504,2.0215,2.058,2.0224,2.0272,2.0212,6.3921,12.5394,4.1909,4.1247,4.2238,10.4713,2.0814,2.1531,2.0965,2.0369,2.1034,1.4472,1.4688,1.5622,0.0718,0.0035,0.0202,0.0086,1.4311,1.5892,1.4679,0.0674,0.0059,0.0093,0.0241,0.0083,2.7417,2.6967,0.9699,0.9485,0.7783,3.4033,4.4897,1.606,1.4955,1.3882,-393.77,35.2
GUQTAO,79.1,1.19,208.9,2.54,6.75,6.34,40.6,31.9,17.3,604.84,-4.219,-2.5737,2.17,1.96,-0.07,0.03,2.56,2.04,3.16,2.81,2.49,1.36,1.22,86.58,77.52,89.03,102.3,103.94,129.22,108.43,124.34,-0.4145,0.1536,-0.1642,0.3166,0.1469,0.2229,-0.4568,0.0926,2.5172,2.9828,3.7551,2.9519,3.3797,4.1538,2.0976,29.0964,7.2119,5.7935,25.2639,7.1204,6.9977,5.7891,8.3762,0.5889,0,0.5211,0.458,0.3807,0.3631,0.6505,0,1.8996,1.0786,2.7914,2.7929,0.8899,1.094,0.809,3.0125,3.5805,1.2014,1.1832,1.1959,3.6263,3.525,3.828,3.5464,10.1412,2.024,2.053,2.0149,2.0282,2.0211,6.361,12.6193,4.2205,4.1509,4.2479,10.434,2.077,2.0892,2.1138,2.0907,2.0633,1.2835,1.0698,1.1622,0.3064,0.046,0.0818,0.0375,1.0808,1.1571,1.3055,0.2607,0.052,0.0329,0.0757,0.0303,2.7429,2.6874,0.95,0.9482,0.7892,3.3945,4.4404,1.5125,1.5661,1.3619,-437.47,35.2
IPAJIU,83.87,-1.85,219.83,2.6,16.48,13.13,36.7,26.1,16.8,950.12,-4.2976,-3.2837,2.07,1.9,-0.01,0.07,2.54,1.96,3.01,2.98,2.52,1.36,1.22,89.52,73.02,88.15,97.2,112.29,125.4,109.01,124.48,-0.3661,0.1507,-0.1428,0.2972,0.1355,0.2547,-0.4581,0.0801,2.7296,3.0522,3.6388,2.082,3.3858,4.1628,2.0975,29.1271,7.1314,5.7566,25.2615,8.4365,7.0066,5.8024,8.3893,0.5955,0,0.4973,0.5418,0.3303,0.3823,0.7821,0,1.8747,1.1111,2.7909,2.7828,0.8934,1.038,0.8515,3.0029,3.5883,1.1741,1.1778,1.2364,3.6447,3.5187,3.8447,3.5459,10.133,2.0279,2.0454,2.0138,2.0285,2.0173,6.3486,12.6399,4.2424,4.1516,4.2459,10.3773,2.0942,1.9904,2.0848,2.1234,2.0845,1.4515,1.5514,1.4296,0.0744,0.0164,0.02,0.0085,1.0664,1.1277,1.3088,0.2702,0.0558,0.0337,0.0768,0.0271,2.7422,2.69,0.9331,0.9447,0.8121,3.3973,4.4499,1.4831,1.5627,1.4041,-436.91,35.2
