Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
WIXLEW,79.98,0.37,173.41,1.63,6.85,8.79,30,21,14.2,632.67,-3.7836,-1.9568,2.23,2.01,0.01,-0.08,2.59,2.24,1.97,1.32,1.24,55.26,71.2,117.05,128.68,111.38,53.54,125.36,-0.3824,-0.3034,0.0843,0.5715,0.1753,0.1218,-0.5218,-0.0223,2.7261,3.5648,2.9391,1.4073,2.1051,3.1151,4.1466,2.0097,29.2086,5.5782,7.3275,25.1121,8.354,6.9405,5.7497,8.5231,0.5902,0.2104,0.6944,0.6225,0.2512,0.495,0,1.7938,1.276,2.7749,0.9516,0.9475,1.0534,2.9967,1.2764,1.2307,1.1706,3.5584,3.3219,3.6932,3.6601,10.1691,2.0506,2.0401,2.0214,2.0408,2.0162,6.3423,12.5826,4.2576,4.1917,4.1333,10.4573,2.1503,2.1092,2.0762,2.0716,2.0501,1.3703,1.4415,0.072,0.0172,0.0201,0.0084,1.1377,1.3052,1.0773,0.3142,0.0267,0.069,0.0934,0.0268,2.7397,2.727,0.9648,0.8285,0.9337,1.593,1.4444,1.5095,-116.69,16
XEDJAU,80.02,0.05,175.16,2.35,8.31,7.79,29.6,22.3,16.4,660.1,-3.6244,-1.6153,2.23,2.01,-0.05,-0.06,2.63,2.27,1.96,1.32,1.24,55.24,72.45,120.02,127.32,111.48,52.31,125.87,-0.3598,-0.3123,0.0841,0.5442,0.1182,0.0996,-0.524,-0.032,2.6989,3.6432,2.9685,1.3712,2.0312,3.0954,4.1044,2,29.2041,5.6407,7.3244,25.1242,8.4424,6.9953,5.7402,8.5325,0.5127,0.2146,0.7341,0.6772,0.2683,0.5165,0,1.7758,1.2739,2.776,0.9233,0.9583,1.0763,2.9943,1.2511,1.2381,1.1888,3.564,3.2461,3.6447,3.8031,10.1724,2.0696,2.0314,2.0127,2.0482,2.0106,6.3458,12.5772,4.251,4.1927,4.1335,10.4365,2.1095,2.0883,2.0733,2.1244,2.041,1.4564,1.4183,0.071,0.017,0.0211,0.0085,1.1599,1.3002,1.0798,0.3156,0.0287,0.0709,0.0905,0.0294,2.74,2.7304,0.9697,0.8226,0.9381,1.567,1.4532,1.5344,-117.97,16
XIVQOI,63.8,-0.23,185.45,3.75,7.33,8.32,32.3,28.2,20.8,721.7,-3.4609,-1.4996,2.16,2.01,0.02,-0.02,2.62,2.39,1.98,1.31,1.24,58.99,70.04,117.39,130.88,111.52,50.97,125.64,-0.365,-0.3102,0.0876,0.5646,0.0436,0.1596,-0.5286,-0.0366,2.5775,3.5992,2.9693,1.4167,1.8736,2.9548,4.0799,2.0044,29.201,5.6569,7.2849,25.1057,8.5408,7.2925,5.7378,8.5284,0.5086,0.1141,0.7384,0.6987,0.3101,0.5273,0,1.756,1.2606,2.7807,0.9595,0.9437,1.054,2.9956,1.2765,1.2488,1.1478,3.5574,3.4579,3.5861,3.6265,10.1804,2.0528,2.0376,2.0332,2.039,2.0179,6.3433,12.5743,4.2403,4.1974,4.1366,10.4471,2.1071,2.1178,2.0706,2.1023,2.0493,1.4754,1.4578,0.0687,0.0119,0.0236,0.0082,1.2238,1.2733,1.1443,0.2302,0.0224,0.0441,0.0659,0.0214,2.7401,2.7341,0.9654,0.8083,0.9603,1.5871,1.4547,1.5169,-72.35,16
ATUZOE01,86.5,0.25,185.6,1.52,6.43,13.8,28.9,17,9.5,690.48,-2.8884,-1.5303,2.01,1.98,-0.03,-0.03,2.57,2.46,2.01,1.31,1.24,61.68,67.02,125.8,121.82,111.27,51.3,126.65,-0.4236,-0.2978,0.0875,0.5416,-0.0006,0.0577,-0.5365,-0.0579,2.6779,3.54,2.9121,1.3973,1.9375,1.9994,4.2537,1.9961,29.1269,5.6089,7.2464,25.1637,8.5381,8.4759,5.8292,8.5262,0.5657,0.1134,0.6376,0.6377,0.4707,0.5228,0,1.8201,1.3171,2.7833,1.0112,0.9433,0.9946,3.0028,1.2961,1.2186,1.1538,3.5485,3.5944,3.6851,3.404,10.1975,2.0369,2.0456,2.0438,2.0358,2.0354,6.3394,12.6267,4.249,4.1813,4.1964,10.4571,2.1265,2.1149,2.0632,2.0931,2.0594,1.5325,1.3921,0.0698,0.0162,0.0213,0.0077,1.4669,1.4808,1.5482,0.0736,0.0116,0.0089,0.024,0.0079,2.7439,2.7408,0.976,0.8348,0.93,1.6302,1.4578,1.4879,-120.02,16.1
BUFVEF,86.9,4.33,183.68,2.45,8.41,12.14,34.3,28.8,20.1,796.03,-3.8181,-2.1671,2.07,2,-0.12,-0.04,2.6,2.1,1.98,1.32,1.24,50.78,73.51,115.71,132.42,111.56,55.71,125.21,-0.3595,-0.3054,0.0986,0.4826,0.1738,0.028,-0.527,-0.0325,3.0025,3.4949,2.933,1.3238,2.0209,1.7881,4.1073,2.0092,29.1847,5.4778,7.2804,25.18,8.394,8.5902,5.7281,8.534,0.6099,0.2779,0.717,0.5248,0.3685,0.5107,0.1021,1.7945,1.2622,2.7719,0.9778,0.9532,1.0178,2.9931,1.2831,1.2529,1.1313,3.5783,3.4675,3.7377,3.5456,10.1644,2.0398,2.0431,2.0317,2.0283,2.0214,6.3278,12.6006,4.2351,4.1987,4.1668,10.4308,2.1477,2.1406,2.092,2.0486,2.0019,1.3632,1.4419,0.0766,0.0185,0.0225,0.0084,1.6048,1.3617,1.5732,0.0699,0.0156,0.0032,0.0212,0.0085,2.739,2.7333,0.9782,0.7994,0.9558,1.6267,1.4424,1.4873,-129.55,16.1
CADFAQ,78.43,3.53,197.01,2.04,12.31,9.09,34.1,26.4,19.1,922.32,-4.4018,-2.8482,2.27,2,-0.23,0.04,2.54,1.99,1.97,1.32,1.24,47.8,71.21,118.39,129.84,111.5,60.99,125.41,-0.347,-0.2729,0.1098,0.4586,0.2476,0.2454,-0.5089,0.0041,3.161,3.3941,3.0078,1.3061,3.0444,3.19,4.2244,1.9927,29.3346,5.4165,7.1968,25.1958,7.1784,7.0362,5.7935,8.5087,0.7402,0.2825,0.6459,0.3525,0.3254,0.5271,0,1.7564,1.3376,2.7711,0.9002,0.9529,1.0736,2.9913,1.2599,1.2553,1.1428,3.6009,3.2442,3.7428,3.7861,10.1469,2.0563,2.0264,2.0129,2.0426,2.0086,6.3259,12.6357,4.2678,4.2241,4.1438,10.385,2.1458,2.1202,2.0975,2.0283,1.9933,1.054,1.2144,0.2404,0.0335,0.073,0.0238,1.0988,1.2623,1.172,0.2557,0.0227,0.0548,0.0826,0.0198,2.7357,2.7196,0.9676,0.801,0.951,1.5843,1.4459,1.4938,-126.16,16.1
GAJTIU,85.82,7.31,187.83,2.63,8.32,6.73,38.1,31.2,18.3,631.43,-3.4606,-1.7032,2.19,2.04,-0.09,-0.12,2.67,2.18,1.98,1.32,1.24,52.28,75.63,123.34,125.14,110.84,52.09,126.34,-0.3528,-0.324,0.0856,0.5227,0.1855,-0.0474,-0.5356,-0.0434,2.7494,3.5667,3.021,1.3207,2.0555,1.8626,4.2502,2.009,29.1358,5.5604,7.272,25.1188,8.3457,8.5865,5.8242,8.5131,0.4555,0.2809,0.7167,0.6804,0.2439,0.5077,0,1.8025,1.3472,2.7717,1.0296,0.9414,0.9909,2.9983,1.2771,1.2085,1.1884,3.5693,3.6477,3.6809,3.3795,10.1748,2.0282,2.0394,2.0552,2.0238,2.0282,6.3435,12.5619,4.2349,4.157,4.1701,10.4471,2.0996,2.1327,2.1148,2.0962,2.0039,1.4247,1.3925,0.0738,0.0221,0.0156,0.0129,1.5906,1.4079,1.5989,0.0705,0.019,0.0037,0.0169,0.0106,2.7427,2.7408,0.9543,0.8667,0.9199,1.6095,1.4644,1.4883,-99.33,16.1
GULCEW,87.43,1.48,209.27,1.7,6.46,8.64,37.1,25.3,14.9,624.04,-3.6035,-2.5265,2,2.15,0,-0.12,2.65,2.18,2.01,1.32,1.24,52.77,74.96,118.51,127.92,110.97,52.28,126.14,-0.364,-0.3276,0.0909,0.546,0.0928,0.1351,-0.5213,-0.0237,2.7566,3.5889,2.9341,1.3369,2.9334,2.0627,4.273,1.9956,29.1541,5.5975,7.292,25.1183,7.0455,8.3831,5.817,8.5293,0.4573,0.2579,0.6062,0.7002,0.5318,0.3047,0,1.8009,1.3666,2.7706,0.9309,0.9354,1.1014,3.0016,1.2912,1.24,1.1395,3.5621,3.3199,3.5189,3.8515,10.1759,2.0744,2.0269,2.0109,2.0448,2.0189,6.328,12.5714,4.2346,4.2036,4.1332,10.4643,2.055,2.0968,2.076,2.183,2.0535,1.1683,1.1351,0.2933,0.0585,0.0688,0.0431,1.4233,1.3959,1.6077,0.0718,0.0219,0.0082,0.0148,0.0131,2.7408,2.729,0.9751,0.8031,0.9508,1.6164,1.4392,1.4913,-85.52,16.1
JEHDEF,82.24,2.71,177.33,1.86,8.52,8.87,31.5,23.9,17.1,657.47,-3.4028,-2.0964,2.14,1.99,-0.14,-0.03,2.63,2.25,1.97,1.32,1.24,54.72,72.58,117.85,130.12,111.37,52.71,125.67,-0.3572,-0.3133,0.0912,0.4918,0.1891,-0.0696,-0.527,-0.0422,2.7745,3.604,2.9579,1.3233,2.1057,1.8056,4.1514,2.0007,29.1451,5.611,7.3201,25.1784,8.3374,8.6321,5.7648,8.5328,0.5165,0.2208,0.72,0.6173,0.3151,0.6121,0.1094,1.79,1.2871,2.7785,0.9377,0.9552,1.0636,2.9954,1.2701,1.2456,1.1544,3.57,3.34,3.6904,3.7049,10.1774,2.061,2.0387,2.0212,2.0427,2.0138,6.3449,12.5768,4.2509,4.1884,4.1375,10.4352,2.147,2.1032,2.0715,2.0789,2.0346,1.3056,1.45,0.0746,0.0133,0.0277,0.008,1.6443,1.4369,1.5249,0.0682,0.0111,0.0076,0.0239,0.0078,2.7401,2.7341,0.9719,0.804,0.9582,1.5906,1.4487,1.5246,-183.55,16.1
KIGQAS,87.31,5.07,187.96,1.7,9.26,9.78,30.6,22.7,17,738.53,-3.9593,-3.2626,1.95,2.06,-0.05,-0.16,2.61,2.12,1.97,1.32,1.24,51,72.78,116.48,131.31,111.78,56.22,125.22,-0.3206,-0.2881,0.0963,0.4871,0.1108,0.17,-0.5208,-0.0241,3.1139,3.7076,3.0283,1.3509,2.036,2.0213,4.1016,2.0033,29.1814,5.613,7.2335,25.1769,8.4193,8.3839,5.7499,8.5266,0.6199,0.312,0.7364,0.5596,0.5502,0.3661,0.1082,1.7663,1.3002,2.7754,0.9249,0.9525,1.0594,2.9941,1.1976,1.2596,1.2127,3.5913,3.3454,3.5754,3.8157,10.1627,2.0687,2.0258,2.0099,2.0383,2.02,6.3271,12.6048,4.2358,4.2129,4.1561,10.3884,2.0572,2.1228,2.0423,2.1212,2.045,1.4585,1.3941,0.0749,0.0171,0.0245,0.0082,1.3768,1.4109,1.609,0.0751,0.0204,0.0067,0.0199,0.0106,2.7378,2.7277,0.9578,0.8352,0.9347,1.5107,1.4819,1.5561,-167.89,16.1
NARXEJ,79.95,2.05,174.36,2.81,6.98,7.11,31.3,25.7,16.9,612.79,-3.231,-1.4634,2.21,1.96,-0.11,-0.02,2.62,2.38,1.97,1.31,1.24,58.78,70.05,123.44,124.68,111.51,51.18,126.42,-0.366,-0.3151,0.0867,0.5233,0.1971,-0.0559,-0.5278,-0.047,2.6771,3.6773,2.9992,1.3729,2.0962,1.7296,4.1566,1.9937,29.1459,5.6852,7.2611,25.1545,8.3169,8.6494,5.7759,8.5319,0.5019,0.1897,0.7394,0.6727,0.2469,0.6298,0,1.7964,1.2988,2.7837,0.931,0.9553,1.072,2.994,1.2765,1.256,1.1424,3.5605,3.4522,3.5392,3.7056,10.1918,2.0676,2.0341,2.0282,2.0446,2.0174,6.3634,12.575,4.2354,4.2079,4.1318,10.4272,2.1073,2.091,2.0739,2.1127,2.0423,1.3162,1.46,0.0747,0.0136,0.0274,0.0081,1.6147,1.4558,1.5288,0.0679,0.0131,0.0096,0.0193,0.0087,2.7414,2.7352,0.9487,0.834,0.9524,1.5883,1.4794,1.4988,-104.86,16.1
NIZMER,83.65,13.14,199.22,1.7,12.35,8.15,32.3,23.2,16.2,778.92,-3.6904,-2.334,2.06,1.96,-0.14,-0.05,2.6,2.13,2.01,1.32,1.24,51.66,73.78,113.87,133.85,111.3,54.56,125.24,-0.3561,-0.3137,0.0952,0.5161,0.1418,0.0886,-0.5231,-0.0286,2.9564,3.4819,2.9389,1.3325,2.0094,2.0294,4.2089,2.0094,29.1805,5.5035,7.2985,25.1603,8.4024,8.426,5.7835,8.5202,0.5579,0.2399,0.6787,0.5817,0.3772,0.5515,0.1093,1.7899,1.3235,2.7712,0.9654,0.9733,1.0182,2.9986,1.2778,1.232,1.1589,3.571,3.4115,3.753,3.5604,10.1633,2.0379,2.0468,2.0218,2.033,2.0239,6.3258,12.5868,4.2455,4.1925,4.1488,10.4431,2.1553,2.1112,2.0546,2.0763,2.0457,1.4022,1.429,0.0754,0.0213,0.0176,0.0113,1.4953,1.3917,1.5985,0.074,0.0172,0.0036,0.0242,0.0083,2.739,2.7293,0.9737,0.8187,0.937,1.5981,1.448,1.5068,-110.84,16.1
NODJUM01,86.41,7.37,183.69,3.26,6.88,13.01,30.3,27.2,21.4,811.77,-3.887,-3.2116,1.96,2.1,-0.07,-0.16,2.62,2.11,1.98,1.32,1.24,50.67,73.61,115.66,132.46,111.56,55.72,125.36,-0.3287,-0.2997,0.095,0.4662,0.1142,0.1844,-0.5211,-0.0291,3.0185,3.6415,3.0039,1.3304,2.0294,1.9033,4.1186,2.0005,29.2063,5.5802,7.2411,25.174,8.4244,8.4506,5.7571,8.5262,0.5994,0.3113,0.7465,0.5729,0.5355,0.3509,0.1228,1.7627,1.3062,2.7748,0.9021,0.9718,1.0705,2.9943,1.2254,1.2547,1.1905,3.5906,3.2779,3.6752,3.8054,10.162,2.0667,2.0294,2.0124,2.0442,2.0092,6.3281,12.598,4.2497,4.2079,4.1404,10.4023,2.0901,2.07,2.0699,2.1324,2.04,1.457,1.3959,0.0748,0.0182,0.0232,0.0086,1.4695,1.4358,1.4842,0.0763,0.0211,0.0059,0.0196,0.0114,2.7378,2.7283,0.963,0.8186,0.9466,1.539,1.4642,1.5504,-153.12,16.1
NUDYIV,78.76,3.18,193.79,2.03,9.71,7.3,34,26.2,18.6,755.29,-4.3683,-2.7606,2.25,2,-0.22,0.04,2.55,1.99,1.97,1.32,1.24,47.9,71.49,116.2,131.8,111.69,60.61,124.94,-0.353,-0.2757,0.1106,0.4623,0.2482,0.2468,-0.5098,0.0039,3.1469,3.4146,3.0071,1.3072,3.0682,3.213,4.1448,1.9837,29.3149,5.4286,7.2302,25.1938,7.1727,7.0411,5.7581,8.5159,0.7255,0.2851,0.6527,0.3682,0.3344,0.5226,0,1.7288,1.3169,2.7708,0.889,0.9531,1.086,2.9909,1.2527,1.2543,1.1499,3.5984,3.2128,3.7353,3.822,10.1484,2.0627,2.0238,2.0098,2.0447,2.0074,6.3237,12.6358,4.2722,4.2222,4.1415,10.3931,2.1419,2.1118,2.0953,2.0449,1.9992,1.0604,1.2177,0.2409,0.031,0.0747,0.0228,1.0981,1.2524,1.1798,0.2552,0.0233,0.0542,0.0825,0.0208,2.7351,2.7199,0.9728,0.789,0.958,1.5751,1.431,1.5183,-119.68,16.1
REZJOW,77.46,3.52,188,1.92,11.37,17.43,34.1,25.1,15.4,984.56,-4.3122,-2.4931,2.24,2.01,-0.21,0.03,2.55,2,1.97,1.32,1.24,48.12,71.76,115.65,132.59,111.72,60.12,124.89,-0.3541,-0.2775,0.1076,0.4615,0.2459,0.2454,-0.514,-0.004,3.136,3.4459,2.9975,1.3041,3.0656,3.2235,4.1885,2.01,29.3022,5.4424,7.2313,25.1966,7.162,7.0384,5.7742,8.5157,0.7083,0.2976,0.6461,0.3884,0.3388,0.5213,0,1.7804,1.3144,2.7712,0.8977,0.9488,1.0827,2.9905,1.2591,1.2582,1.1427,3.5981,3.2256,3.7319,3.8114,10.1505,2.0395,2.023,2.013,2.0618,2.0132,6.3242,12.6367,4.2607,4.2306,4.1454,10.3929,2.1106,2.1229,2.0983,2.0177,2.0434,1.0379,1.2292,0.242,0.035,0.0761,0.0189,1.0569,1.294,1.1795,0.2542,0.0229,0.0517,0.0847,0.0197,2.7357,2.7216,0.947,0.8161,0.9585,1.5609,1.4614,1.5093,-115.89,16.1
WABPEX,80.71,2.03,173.87,3.31,7.47,9.6,32.9,27.4,20,677.06,-3.6017,-2.1855,1.97,2.24,-0.02,-0.19,2.62,2.04,2.01,1.32,1.24,49.21,76.04,115.59,132.9,111.35,54.75,125.2,-0.3501,-0.3307,0.0907,0.4883,-0.0143,0.2353,-0.5337,-0.0326,2.9154,3.5627,2.9331,1.3223,1.8056,2.068,4.2479,2.0063,29.1991,5.5074,7.2783,25.1491,8.6278,8.2989,5.8229,8.5121,0.5258,0.2721,0.6652,0.631,0.6689,0.2179,0,1.8058,1.3306,2.7687,1.0421,0.9995,0.9217,3.0002,1.2833,1.2556,1.1315,3.5757,3.8254,3.7406,3.1746,10.1704,2.0108,2.0335,2.0591,2.0274,2.0396,6.3312,12.5866,4.1993,4.2077,4.1796,10.432,2.0541,2.1416,2.1325,2.085,2.0189,1.6259,1.4396,0.0678,0.01,0.0225,0.0082,1.259,1.4567,1.6081,0.0743,0.0142,0.0018,0.0266,0.0079,2.7408,2.7356,0.9555,0.8227,0.9574,1.6061,1.4669,1.4828,-64.79,16.1
ZENTOB,71.81,8.15,162.9,1.7,8.15,8.36,28.6,22.2,15.9,711.01,-4.4606,-3.3495,2.23,2.04,-0.26,-0.06,2.55,1.98,2.01,1.3,1.26,46.96,69.86,90.85,156.96,111.51,63.18,120.86,-0.379,-0.2356,0.1219,0.4293,0.2019,0.2138,-0.4971,0.0498,3.2399,3.6135,2.8977,1.3243,2.0728,2.0978,4.0339,1.9643,29.2097,5.5106,7.1481,25.1911,8.3112,8.303,5.7654,8.4599,0.7831,0.4074,0.5531,0.37,0.2362,0.38,0.3493,1.523,1.3536,2.7724,0.9042,0.9345,1.0639,2.9959,1.2273,1.2254,1.1897,3.6183,3.4241,3.607,3.7714,10.1321,2.0435,2.0238,2.0171,2.0354,2.0123,6.3148,12.6091,4.25,4.197,4.1622,10.4546,2.0093,2.116,2.0953,2.1889,2.0451,1.4286,1.4052,0.0746,0.0236,0.0139,0.0157,1.4195,1.3935,1.5584,0.0769,0.0256,0.0076,0.0136,0.0134,2.7267,2.7068,0.9499,0.7973,0.9596,1.4661,1.4698,1.5627,-149.5,16.1
ATEYII,61.51,1.36,162.7,2.35,7.13,9.7,25.6,23.6,19.7,653.62,-3.1716,-1.5252,2.09,2.19,0.02,-0.11,2.63,2.31,2.01,1.31,1.25,56.72,71.83,96.49,152.26,111.24,51.45,122.52,-0.3594,-0.316,0.0961,0.5412,0.0919,0.1152,-0.5201,0.0106,2.5639,3.7638,2.8985,1.391,1.9832,1.9337,4.0739,1.9478,29.1571,5.7184,7.2941,25.1174,8.4737,8.4792,5.7519,8.5042,0.5083,0.2016,0.6015,0.7136,0.4713,0.3304,0.239,1.6076,1.3358,2.7776,0.9317,0.9742,1.0556,3,1.1581,1.2398,1.2652,3.5623,3.2395,3.656,3.7963,10.1778,2.0666,2.0375,2.0124,2.0499,2.0113,6.3249,12.5263,4.2297,4.1684,4.1282,10.508,2.1135,2.0868,2.0961,2.1302,2.0815,1.4392,1.5471,0.0698,0.0038,0.0191,0.0084,1.4138,1.4676,1.5521,0.0688,0.0099,0.0093,0.0235,0.0085,2.7329,2.7225,0.9446,0.8164,0.9615,1.4564,1.4767,1.594,-119.89,16.2
AXEJAQ,83.46,9.41,205.13,1.7,10.53,7.42,31,24.3,17.6,673.3,-3.7214,-2.1438,2.09,2,-0.15,-0.06,2.6,2.14,1.99,1.32,1.24,51.96,73.25,114.66,132.52,111.54,54.8,125.01,-0.3597,-0.3083,0.0903,0.5117,0.1719,0.0982,-0.5235,-0.029,2.8596,3.5195,2.9185,1.3483,2.0716,2.0052,4.1834,2.0061,29.1564,5.5142,7.2843,25.154,8.3649,8.4354,5.7778,8.5211,0.5783,0.2461,0.6948,0.5745,0.3399,0.4783,0.1086,1.7864,1.3107,2.7725,1.0058,0.9602,0.9881,2.9972,1.2891,1.2389,1.1439,3.5734,3.5844,3.7191,3.4236,10.1632,2.0306,2.04,2.042,2.0249,2.0258,6.329,12.5848,4.2287,4.1941,4.162,10.4457,2.1231,2.1469,2.0974,2.0718,2.0065,1.3496,1.4373,0.0766,0.0187,0.0223,0.0089,1.4902,1.4048,1.582,0.0742,0.0161,0.0042,0.0245,0.0082,2.7389,2.729,0.9793,0.8063,0.9435,1.6209,1.4454,1.4874,-118.7,16.2
BUDRIC,83.67,1.36,182.36,1.52,9.51,11.54,28.8,18.6,12,731.38,-3.3431,-2.4741,1.98,2.03,-0.03,-0.05,2.57,2.29,2,1.32,1.24,56.67,69.82,121.69,124.75,111.32,53.51,125.95,-0.4015,-0.3,0.0881,0.5283,0.0496,0.1482,-0.5297,-0.0418,2.846,3.5628,2.9082,1.385,1.9861,2.0703,4.2252,2.0026,29.1673,5.582,7.2744,25.169,8.473,8.3764,5.8028,8.5241,0.6077,0.2039,0.6494,0.587,0.5626,0.42,0,1.8158,1.3081,2.7773,0.9732,0.9458,1.0287,3.0025,1.2798,1.2163,1.1749,3.5563,3.4139,3.7207,3.5707,10.1829,2.0415,2.0496,2.0277,2.0386,2.0255,6.3339,12.6195,4.2586,4.1865,4.1744,10.4477,2.1514,2.1032,2.0673,2.0681,2.0577,1.5002,1.4593,0.0732,0.0121,0.0247,0.0077,1.3723,1.4174,1.62,0.0771,0.0168,0.0031,0.0252,0.0085,2.742,2.7342,0.9635,0.844,0.9266,1.6029,1.4532,1.5072,-194.55,16.2
GIFTEW,77.87,1.24,232.31,2.88,11.55,7.81,39.7,29,17.4,737.66,-4.9835,-3.7376,2.15,2.11,-0.21,0.04,2.52,1.93,2.05,1.28,1.3,44.79,66.51,122.78,126.71,110.41,68.7,128.31,-0.4582,-0.2108,0.1787,0.3733,0.1555,0.0878,-0.3682,0.2835,3.2254,3.4445,3.145,1.2316,3.0851,1.9769,4.2293,2.1439,29.2767,5.445,7.0626,25.2195,6.8753,8.4545,5.8416,8.2541,0.8846,0.3856,0.5098,0.1632,0.3395,0.4116,0,1.2858,1.605,2.7701,0.9014,0.9526,1.0386,2.9916,1.2586,1.1445,1.1853,3.6335,3.3625,3.775,3.7279,10.1127,2.0376,2.0286,2.0149,2.0252,2.0064,6.3379,12.6449,4.2636,4.2128,4.1686,10.475,2.1039,2.1326,2.1099,2.1068,2.0217,1.1262,1.3449,0.3272,0.0241,0.0835,0.0317,1.5031,1.4433,1.5344,0.0714,0.0235,0.0072,0.0151,0.0113,2.7216,2.6786,0.953,0.8784,0.8472,1.3605,1.4518,1.515,-126.85,16.2
MOGXUD,77.42,3.59,187.24,2.19,7.34,10.44,34.1,25.2,15.3,723.36,-4.3379,-2.5096,2.24,2.01,-0.21,0.03,2.55,2,1.97,1.32,1.24,48.1,71.49,115.26,132.94,111.71,60.41,124.85,-0.3555,-0.2752,0.1087,0.462,0.2456,0.2451,-0.5134,-0.0018,3.1389,3.4438,2.9925,1.3076,3.0545,3.2133,4.1881,2.0107,29.305,5.4379,7.2282,25.1958,7.1687,7.0431,5.772,8.5138,0.7197,0.2917,0.6465,0.3795,0.3382,0.5181,0,1.7798,1.3114,2.7713,0.9043,0.952,1.0713,2.9902,1.2627,1.2575,1.139,3.5977,3.247,3.7467,3.776,10.1496,2.0514,2.0282,2.0138,2.0459,2.0102,6.3248,12.636,4.261,4.2252,4.1497,10.3944,2.1489,2.126,2.1008,2.0169,2.0018,1.0472,1.2209,0.2412,0.0354,0.0738,0.0234,1.0774,1.2765,1.1772,0.2538,0.0232,0.0518,0.0845,0.0189,2.7354,2.7211,0.9677,0.7958,0.9576,1.5882,1.4405,1.5013,-120.54,16.2
MRFBZI10,89.09,-1.05,189.53,2.76,9.59,6.85,33.3,25.8,18.2,675.93,-2.6513,-1.3064,2.01,2,0,0,2.55,2.47,2.02,1.31,1.24,62.11,66.21,126.19,122.02,111.22,51.69,127.01,-0.451,-0.2943,0.0938,0.4978,-0.0643,-0.0968,-0.5388,-0.064,2.8378,3.5518,2.9363,1.3761,1.8303,1.8196,4.2542,1.9863,29.1579,5.6551,7.2298,25.2296,8.6169,8.5937,5.835,8.5321,0.5509,0.1212,0.6305,0.5979,0.4908,0.6354,0,1.8066,1.3332,2.786,0.9467,0.9684,1.032,3.0021,1.2625,1.2373,1.1632,3.5511,3.4678,3.6655,3.5723,10.216,2.0602,2.0566,2.0326,2.0449,2.0218,6.352,12.633,4.2407,4.1929,4.1994,10.4658,2.1475,2.1103,2.0288,2.1096,2.0696,1.6333,1.3856,0.0718,0.0164,0.0215,0.0086,1.6526,1.4512,1.5256,0.0697,0.0101,0.0088,0.0238,0.008,2.7446,2.7429,0.9598,0.839,0.9441,1.5869,1.4792,1.5148,-148.96,16.2
