Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
VELTIQ,75.6,2.6,184.76,2.03,7.46,7.51,31,26.5,18.1,678.6,-5.8299,-2.8675,2.27,2.11,-0.37,0.04,2.5,1.95,1.98,1.31,1.26,45.73,66.44,93.21,155.57,111.2,67.82,120.39,-0.4283,-0.1925,0.1094,0.3831,0.2283,0.2569,-0.4986,0.0203,2.967,3.5491,2.8105,1.2245,2.1256,2.2005,4.0789,1.956,29.1186,5.415,7.2166,25.22,8.3144,8.2506,5.7354,8.4937,0.8352,0.5343,0.2332,0.161,0.3066,0.3091,1.6157,1.3328,2.7639,0.8816,0.9498,1.0461,2.9866,1.235,1.2352,1.1948,3.2817,3.7983,3.7916,10.1081,2.035,2.027,2.008,2.0316,2.0065,6.3154,12.596,4.2533,4.1967,4.146,10.5164,2.1719,2.1445,2.0652,2.0574,2.0774,1.3705,1.4407,0.0725,0.0199,0.0185,0.0095,1.3328,1.4368,1.565,0.0737,0.0164,0.0028,0.0217,0.0089,2.7272,2.6939,0.9712,0.7645,0.9583,1.4826,1.4718,1.5777,-152.44,-5
HARPOI,76.35,10.66,180.22,3.7,7.85,10.64,32.6,28.9,20.6,686.18,-5.7698,-2.2844,2.36,2.3,-0.66,0.39,2.52,1.99,1.94,1.3,1.26,46.58,66.85,92.61,155.38,111.48,66.56,120.53,-0.4055,-0.1869,0.1182,0.3965,0.2198,0.2155,-0.4887,0.032,3.0185,3.5461,2.8696,1.2605,2.0906,3.1134,3.9849,1.9072,29.1531,5.4198,7.195,25.2235,8.3367,7.2272,5.7065,8.5122,0.837,0.5699,0.263,0.1558,0.2864,0.3189,1.5126,1.336,2.7662,0.8877,0.9466,1.0392,2.9813,1.2427,1.2381,1.175,3.3219,3.7693,3.76,10.1179,2.0401,2.0298,2.0126,2.0284,2.007,6.3125,12.5948,4.2593,4.1825,4.153,10.4978,2.1492,2.151,2.0679,2.0759,2.0538,1.2907,1.4748,0.0733,0.0125,0.0256,0.0081,1.1898,1.2639,1.1621,0.2107,0.0437,0.0503,0.0498,0.0326,2.723,2.6854,0.9766,0.762,0.9468,1.4914,1.4776,1.5555,-145.37,-4.8
LIVHUU,74.24,8.39,231.55,2.34,6.21,7.06,41.8,27.5,14.1,603.85,-5.8881,-2.694,2.39,2.07,-0.55,0.21,2.53,1.93,3.23,1.32,1.24,43.84,65.03,65.21,171.34,114.65,71.13,125.87,-0.4379,-0.171,0.1934,0.3114,0.1592,0.183,-0.4057,0.1513,3.0196,3.4319,3.2134,1.1288,2.0791,3.2361,4.1648,2.0602,29.097,5.4045,7.149,25.2838,8.3657,6.7967,5.7409,8.4134,0.8572,0,0.1699,0.1749,0.4248,0.3714,1.5998,1.3892,2.7666,0.8622,0.9388,1.0715,2.9167,1.1327,1.3444,1.1698,3.3125,3.7973,3.8173,10.0968,2.0316,2.0179,2.009,2.0312,2.0071,6.3136,12.6283,4.2136,4.2426,4.1721,10.4957,2.0844,2.1905,2.0907,2.0743,2.0557,1.3849,1.4589,0.0692,0.0168,0.0177,0.0082,1.0483,1.3409,1.086,0.3433,0.0281,0.0901,0.0883,0.0439,2.7196,2.6469,0.9633,0.722,0.9617,1.4204,1.4328,1.5821,-112.36,-4.8
VINVOG,75.75,2.68,192.02,2.61,8.09,9.28,35.4,27.4,17.1,671.85,-5.7021,-2.2038,2.23,2.12,-0.44,0.26,2.54,1.97,1.99,1.32,1.25,46.37,69.27,122.67,126.61,110.56,64.37,126.31,-0.3429,-0.2338,0.0971,0.4447,0.2269,0.169,-0.4871,-0.0375,3.0266,3.5062,3.0832,1.2795,2.1086,3.0283,4.2584,1.9406,29.2317,5.4378,7.1329,25.1834,8.3185,7.1594,5.8112,8.5497,0.8139,0.663,0.3014,0.2336,0.411,0,1.6443,1.4519,2.7656,0.8968,0.9399,1.0709,2.9912,1.2842,1.1366,1.256,3.3516,3.6297,3.8118,10.1281,2.0494,2.0189,2.0126,2.034,2.0133,6.3214,12.6044,4.2746,4.2108,4.119,10.4167,2.0185,2.1141,2.08,2.1682,2.036,1.2801,1.4581,0.0738,0.0134,0.0267,0.0081,1.2107,1.3011,1.1478,0.2246,0.0195,0.037,0.0611,0.0522,2.7343,2.6941,0.9893,0.9479,0.7569,1.616,1.4697,1.4821,-132.19,-4.7
DEMPIU,80.48,6.65,175,3.43,5.72,9.08,31.6,27.2,17.6,613.55,-4.716,-2.0792,2.21,1.96,-0.26,-0.05,2.6,2.1,1.97,1.32,1.24,50.92,73.3,118.62,129.81,111.41,55.78,125.27,-0.3764,-0.2929,0.0912,0.4921,0.205,-0.0269,-0.5196,-0.0505,2.7266,3.7073,2.9486,1.2793,2.1277,1.8348,4.2153,1.9826,29.0919,5.5679,7.2642,25.1816,8.3485,8.5946,5.7908,8.5489,0.52,0.6872,0.6148,0.2337,0.6067,0,1.8172,1.3402,2.766,0.9106,0.9502,1.0797,2.989,1.2804,1.2584,1.1419,3.3198,3.6515,3.7774,10.1605,2.0673,2.0278,2.0163,2.0381,2.0109,6.3154,12.5677,4.2507,4.1991,4.1179,10.4929,2.1124,2.1071,2.0995,2.1411,2.0328,1.3213,1.4539,0.0746,0.0118,0.0274,0.0088,1.634,1.4254,1.5306,0.07,0.0125,0.0077,0.0234,0.0087,2.7372,2.7147,0.967,0.7891,0.9586,1.6003,1.4667,1.5112,-160.45,-4.5
JUJPIQ,77.32,2.36,205.13,2.87,6.81,8.5,37.6,28.8,15.5,645.04,-5.6864,-2.3074,2.27,2.01,-0.11,0.02,2.55,1.99,3.33,1.32,1.24,46.81,68.78,61.67,173.33,114.14,64.41,127.66,-0.3625,-0.2169,0.1971,0.4142,0.1941,0.1248,-0.4047,0.1461,2.9352,3.4545,3.2286,1.238,2.9741,3.0213,4.1456,2.0617,29.1753,5.4215,7.1492,25.1902,7.2567,7.0797,5.7402,8.4103,0.7405,0,0.3624,0.3192,0.5812,0.4176,1.5813,1.3992,2.7695,0.8705,0.9372,1.0949,2.9168,1.1545,1.3162,1.1739,3.2083,3.7465,3.8586,10.1205,2.0578,2.0175,2.0054,2.0336,2.0062,6.3081,12.6175,4.2395,4.2335,4.1446,10.4365,2.1235,2.1236,2.0945,2.1121,1.9828,1.1645,1.2339,0.2028,0.0286,0.0567,0.0219,1.2759,1.2204,1.0728,0.2726,0.0285,0.057,0.099,0.0234,2.719,2.6491,0.9519,0.7501,0.9471,1.4539,1.4396,1.5523,-126.32,-4.2
ZUNVUC,81.36,4.58,170.08,3.99,9.94,10.59,27.3,22.4,20,829.71,-5.3042,-2.2468,2.05,2.33,0.19,-0.52,2.57,2.03,1.96,1.32,1.24,48.92,72.84,112.82,135.42,111.62,58.23,124.21,-0.3474,-0.2793,0.0865,0.5184,0.1654,0.2325,-0.5123,-0.03,2.6623,3.6597,2.9832,1.3195,2.0885,2.1349,4.2264,1.9853,29.099,5.5209,7.2417,25.1404,8.4022,8.3264,5.7904,8.5338,0.6153,0.691,0.5664,0.4176,0.1743,0,1.8041,1.3506,2.7617,0.9,0.9464,1.0859,2.989,1.2774,1.2619,1.147,3.2474,3.6783,3.808,10.1413,2.0606,2.0239,2.0107,2.0383,2.0078,6.3121,12.5339,4.2602,4.1766,4.0972,10.501,2.113,2.1111,2.0978,2.1475,2.0316,1.4082,1.4702,0.0752,0.0103,0.0249,0.0086,1.2655,1.4687,1.5988,0.0725,0.0122,0.0022,0.0257,0.0082,2.7351,2.7075,0.9747,0.7786,0.9542,1.5857,1.458,1.5186,-85.55,-3.9
XEFMAW,77.47,6.35,168.69,4.46,7.74,9.05,28.3,27.1,23.4,719.52,-5.3946,-2.2751,2.26,2.02,-0.44,0.14,2.54,1.99,1.96,1.32,1.24,47.95,71.28,111.52,136.27,111.82,60.77,123.96,-0.3644,-0.2624,0.0899,0.4969,0.2133,0.1978,-0.513,-0.0279,2.7643,3.5578,2.9416,1.3081,2.0961,2.0801,4.2173,1.9897,29.1147,5.4379,7.2522,25.1776,8.3668,8.3927,5.7797,8.5297,0.708,0.6667,0.4279,0.195,0.4158,0.1039,1.8132,1.3333,2.7614,0.9208,0.9504,1.0475,2.9886,1.2816,1.2674,1.1345,3.3458,3.7221,3.6877,10.1358,2.0465,2.0313,2.0199,2.0289,2.0092,6.3137,12.5667,4.2514,4.192,4.1232,10.4836,2.1283,2.1361,2.1096,2.0997,2.0099,1.3183,1.443,0.0722,0.0159,0.0225,0.0084,1.3943,1.4571,1.5404,0.0768,0.0118,0.0072,0.0278,0.0087,2.7347,2.7069,0.9785,0.7669,0.9615,1.6054,1.451,1.5048,-123.94,-3.7
DOMZIQ,75.8,18.83,193.63,4.28,9.37,7.39,37.3,36,24.5,744.42,-5.6632,-1.9397,2.09,2.29,0.19,-0.53,2.53,1.97,1.96,1.32,1.24,47.06,70.45,121.7,127.16,111.06,62.49,125.83,-0.3198,-0.2477,0.0848,0.4855,0.1234,0.1417,-0.5118,0.0041,2.7907,3.4135,3.0253,1.2682,1.8403,1.9717,4.1942,1.9855,29.0402,5.337,7.2009,25.1963,8.5413,8.4512,5.7748,8.5195,0.7363,0.6857,0.3504,0.2791,0.1663,0,1.7352,1.3611,2.7617,0.9311,1.0218,0.9565,2.989,1.287,1.2548,1.147,3.4432,3.7932,3.5275,10.1318,2.0267,2.0397,2.0167,2.0265,2.0223,6.3199,12.5604,4.2534,4.163,4.1441,10.4391,2.1416,2.0733,2.0332,2.108,2.0831,1.4654,1.5001,0.0715,0.0169,0.0141,0.0137,1.5981,1.399,1.4371,0.0705,0.0108,0.0101,0.025,0.0095,2.7352,2.7044,0.9807,0.7859,0.9377,1.6208,1.4442,1.4674,-127.09,-3.6
SANRAD,74.24,2.67,173.29,1.7,7.26,8.65,32.3,25.6,18,684.52,-5.7385,-2.2963,2.27,2.08,-0.41,0.25,2.55,1.96,1.98,1.31,1.25,46.17,69.49,120.53,127.89,111.39,64.35,124.96,-0.3271,-0.2301,0.1057,0.424,0.1737,0.101,-0.4831,-0.0607,2.9704,3.4594,3.1088,1.2858,2.0513,3.2003,4.1421,1.8472,29.1863,5.434,7.1992,25.1949,8.3891,7.2885,5.7395,8.6024,0.8004,0.6904,0.3261,0.2216,0.3812,0,1.5316,1.463,2.7651,0.887,0.9449,1.0717,2.9866,1.2411,1.2132,1.2146,3.3009,3.6625,3.8487,10.1196,2.0523,2.0169,2.0071,2.0318,2.0114,6.3163,12.5993,4.2596,4.2166,4.1231,10.4112,2.0483,2.1125,2.0716,2.1462,2.0325,1.3609,1.4144,0.07,0.0189,0.0201,0.0086,1.1895,1.3694,1.2029,0.1612,0.0297,0.0398,0.0188,0.0389,2.7314,2.6899,0.9035,0.8379,0.9484,1.5499,1.4632,1.5818,-148.6,-3.6
QIKTUZ,77.11,7.08,168.14,4.42,9.26,9.73,26.5,21.8,20.4,772.77,-5.4593,-2.5897,2.04,2.24,0.01,-0.24,2.55,2.01,1.95,1.32,1.24,48.24,71.34,113.27,134.71,111.87,60.42,124.11,-0.3552,-0.256,0.085,0.4822,0.1725,0.2606,-0.5125,-0.0296,2.8019,3.6623,2.9883,1.3075,2.083,2.1482,4.2013,1.9941,29.1152,5.5058,7.2147,25.1632,8.3893,8.3155,5.7792,8.5282,0.6625,0.7193,0.4939,0.4017,0.212,0.1045,1.812,1.3263,2.764,0.9063,0.9478,1.0612,2.9877,1.2619,1.2763,1.1498,3.3814,3.6383,3.7455,10.1336,2.0475,2.024,2.0186,2.0337,2.0097,6.314,12.5662,4.2683,4.1885,4.1094,10.4747,2.0379,2.1018,2.1065,2.1832,2.0454,1.4027,1.4589,0.0758,0.0131,0.0255,0.0085,1.2608,1.4554,1.5954,0.0742,0.0131,0.0021,0.0261,0.0084,2.7348,2.7067,0.9502,0.8036,0.9529,1.5594,1.4817,1.5211,-141.54,-3.4
VIYQOL,82.17,6.07,177.16,3.31,10.79,8,34.5,29.6,21.3,811.05,-4.4143,-1.7208,2.16,1.98,-0.16,-0.1,2.61,2.29,1.99,1.32,1.24,56.29,71.45,119.93,128.53,111.46,52.26,125.81,-0.4381,-0.3015,0.0839,0.5707,0.15,-0.0648,-0.5225,-0.0588,2.4396,3.6502,2.8359,1.3261,2.0512,1.7641,4.1737,1.9845,29.0546,5.5822,7.3447,25.1459,8.4141,8.6692,5.7631,8.5516,0.4696,0.6277,0.677,0.2792,0.5474,0,1.8223,1.2931,2.7693,0.9386,0.9539,1.0593,2.9917,1.2849,1.2534,1.1465,3.3864,3.631,3.6663,10.1724,2.0568,2.0366,2.0259,2.0391,2.014,6.3197,12.5631,4.24,4.1866,4.1364,10.5551,2.146,2.1069,2.1014,2.1408,2.06,1.379,1.443,0.0733,0.0131,0.0268,0.0081,1.6341,1.4354,1.5472,0.0684,0.0118,0.0076,0.0231,0.0088,2.7389,2.7171,0.963,0.8011,0.953,1.5987,1.4774,1.5082,-193.15,-3.4
PABSOC,74.32,10.21,160.37,4.35,6.71,10.81,26.7,24.5,20.2,748.77,-5.7608,-2.0525,2.38,2.1,-0.65,0.22,2.51,1.96,2,1.3,1.26,46.63,69.09,92.05,156.54,111.4,64.27,120.98,-0.4072,-0.2267,0.1053,0.4572,0.2283,0.2522,-0.4946,0.0195,2.8328,3.6307,2.8505,1.3034,2.14,2.1345,4.1219,1.9342,29.0423,5.4638,7.1844,25.1656,8.3032,8.2826,5.7697,8.5029,0.747,0.5284,0.3966,0.1168,0.2801,0.2955,1.6002,1.3835,2.7627,0.8996,0.9403,1.056,2.9918,1.2335,1.2474,1.1843,3.4078,3.6186,3.7708,10.1231,2.0387,2.0236,2.0169,2.0342,2.0097,6.3033,12.5727,4.2595,4.1697,4.1435,10.5308,2.0224,2.1089,2.1161,2.2115,2.0718,1.2886,1.4672,0.0708,0.0144,0.0211,0.0087,1.3263,1.424,1.5936,0.0744,0.0193,0.004,0.02,0.0085,2.7258,2.6908,0.9486,0.7856,0.9566,1.4774,1.4882,1.5681,-128.18,-3.3
EWATUS,79,5.09,171.12,1.9,10.61,10.11,27.7,19.7,14.5,800.32,-5.5402,-2.6227,2.26,1.99,-0.44,0.18,2.54,1.98,1.98,1.32,1.24,47.56,71.27,120.64,127.87,111.34,61.18,125.59,-0.3477,-0.2623,0.0942,0.4885,0.1962,0.2005,-0.5045,-0.0402,2.7739,3.4551,3.0067,1.2984,2.105,2.1432,4.2275,1.901,29.1188,5.4015,7.218,25.1642,8.3413,8.3433,5.787,8.5628,0.7398,0.6253,0.3926,0.1848,0.428,0,1.6859,1.424,2.7612,0.9124,0.9497,1.0591,2.9922,1.2842,1.2268,1.1675,3.2883,3.7448,3.7271,10.1317,2.0486,2.0288,2.0152,2.0315,2.0076,6.3169,12.5721,4.2586,4.1954,4.1181,10.4583,2.1461,2.1152,2.1062,2.0888,2.0022,1.3321,1.4407,0.0716,0.016,0.0224,0.0083,1.3904,1.4521,1.545,0.0785,0.0125,0.0086,0.0275,0.0089,2.7345,2.7003,0.9704,0.8211,0.9088,1.623,1.4761,1.4776,-125.84,-3.1
SECCOV,75.93,1.42,196.44,3.16,9.64,7.05,31.8,27.1,19.6,676.28,-5.527,-2.0003,2.09,2.29,0.2,-0.4,2.55,1.99,1.96,1.32,1.24,47.69,71.09,119.17,129.17,111.65,61.21,125.02,-0.3515,-0.2572,0.0898,0.4915,0.0893,0.1877,-0.5031,-0.0538,2.837,3.5101,3.0139,1.3277,3.1758,2.0024,4.2666,1.9207,29.1598,5.4412,7.2176,25.1574,7.3101,8.4281,5.8094,8.5591,0.735,0.6811,0.437,0.3657,0.1729,0,1.7298,1.3987,2.7632,0.9018,0.9471,1.0698,2.9876,1.2796,1.2356,1.1682,3.3682,3.6153,3.7698,10.1335,2.0494,2.0217,2.0169,2.034,2.0116,6.3181,12.5818,4.271,4.2082,4.1027,10.4511,2.0427,2.1138,2.0895,2.1673,2.0378,1.223,1.3625,0.1601,0.0295,0.021,0.0266,1.3857,1.4304,1.5729,0.0697,0.0186,0.0037,0.0175,0.0085,2.7346,2.7021,0.9564,0.8201,0.9256,1.6076,1.4598,1.5151,-115.28,-3.1
BAPRAM,72.91,3.39,178.32,1.95,6.99,6.53,31.3,24.5,15.9,604.15,-5.6024,-2.0269,2.3,2.09,-0.39,0.21,2.55,1.97,1.97,1.32,1.24,47.01,70.61,120.58,127.96,111.36,62.38,125.39,-0.3248,-0.2496,0.0916,0.4697,0.1319,0.0868,-0.4975,-0.0537,2.9133,3.4795,3.0539,1.311,2.0103,3.1774,4.2691,1.9216,29.1821,5.4342,7.2017,25.1867,8.4228,7.2963,5.8087,8.558,0.7635,0.6996,0.3722,0.1849,0.3792,0,1.7133,1.4165,2.7635,0.8957,0.9472,1.0706,2.988,1.2606,1.2204,1.2009,3.3284,3.6082,3.8328,10.1329,2.0543,2.0189,2.0097,2.0344,2.0155,6.3192,12.5845,4.2606,4.2142,4.1096,10.4208,2.0324,2.1032,2.0742,2.165,2.046,1.4053,1.4158,0.0693,0.0214,0.0158,0.0096,1.2054,1.3571,1.2064,0.1605,0.0296,0.0434,0.0211,0.0334,2.7344,2.6993,0.909,0.8515,0.9389,1.561,1.4611,1.5599,-131.43,-2.3
QUCKEF,73.27,4.14,163.48,2.16,9.38,6.78,30.5,21.7,13.3,651,-5.6609,-2.1996,2.35,2.08,-0.45,0.21,2.55,1.98,1.97,1.32,1.24,47,70.27,119.69,128.68,111.39,62.73,125.35,-0.3227,-0.2435,0.0905,0.4638,0.1448,0.0893,-0.4956,-0.0515,2.908,3.4466,3.0538,1.3044,2.0297,3.1914,4.2573,1.9218,29.1908,5.4202,7.2109,25.1786,8.4065,7.3001,5.8009,8.5577,0.7742,0.6963,0.3609,0.1662,0.394,0,1.7066,1.4119,2.7645,0.9042,0.9208,1.0867,2.9887,1.2734,1.1983,1.2113,3.4321,3.5244,3.8194,10.1273,2.0433,2.0159,2.0122,2.0349,2.021,6.3211,12.5804,4.2705,4.2195,4.0905,10.4208,1.9852,2.1165,2.0897,2.184,2.0454,1.4003,1.443,0.0682,0.0194,0.0162,0.0084,1.2534,1.3351,1.1791,0.1612,0.0297,0.0469,0.0239,0.0228,2.7341,2.6978,0.9188,0.8899,0.8892,1.5908,1.4621,1.5275,-138.3,-2.2
TIQHEG,60.28,-4.8,178.43,1.85,10.65,6.67,28.9,21.9,13.5,611.03,-5.8493,-2.1272,1.97,2.34,-0.06,0.3,2.53,1.92,2.02,1.3,1.26,45.63,70.1,131.01,118.28,110.7,64.27,125.74,-0.3073,-0.2511,0.1394,0.4366,0.063,0.0743,-0.4605,-0.0386,2.7825,3.3982,3.0679,1.2576,1.889,2.0113,3.9576,1.8,29.097,5.4153,7.1813,25.1935,8.5066,8.4527,5.6377,8.6734,0.8191,0.618,0.291,0.4064,0.1934,0,1.3136,1.4997,2.7611,0.9455,0.9573,1.0126,2.9893,1.2931,1.1564,1.1864,3.443,3.7115,3.654,10.1214,2.0385,2.0254,2.0167,2.0218,2.019,6.3176,12.5746,4.2396,4.1769,4.1581,10.4147,2.1012,2.169,2.0007,2.0606,2.0831,1.4858,1.5881,0.0737,0.0054,0.0236,0.0089,1.4002,1.4676,1.6073,0.0668,0.0127,0.0017,0.0199,0.0082,2.7299,2.6845,0.9924,0.8763,0.8157,1.5994,1.4572,1.5301,-130.18,-2
LENRIF,88.54,9.55,196.44,5.01,8.7,10.69,38.6,31.7,21.1,803.86,-5.5442,-2.738,2.17,2.16,0.08,-0.36,2.54,1.97,1.98,1.32,1.24,45.9,67.61,123.85,124.94,111.02,66.48,125.21,-0.3652,-0.2064,0.1013,0.3981,0.1145,0.1989,-0.4954,-0.0397,3.072,3.4037,3.0435,1.2387,3.0713,2.0816,4.1919,1.9306,29.2533,5.3905,7.1787,25.228,7.0753,8.3585,5.7765,8.5535,0.8612,0.6484,0.2112,0.3756,0.2861,0,1.6393,1.4056,2.7669,0.9603,0.9311,0.9998,2.987,1.2778,1.2429,1.1532,3.5742,3.6587,3.6071,10.1175,2.0179,2.0363,2.0193,2.0202,2.0238,6.3261,12.621,4.2057,4.2528,4.1625,10.4177,1.9974,2.1254,2.0781,2.112,2.1049,1.1259,1.2751,0.278,0.0602,0.0501,0.0595,1.5359,1.5005,1.3341,0.0731,0.0224,0.006,0.0122,0.0133,2.7338,2.6978,0.8798,0.8834,0.9346,1.527,1.5675,1.4741,-147.9,-1.8
FAFRIN,88.83,-10.52,180.86,4.03,8.31,12,33.7,28.9,21.5,798.18,-5.3527,-2.7126,2.22,2.02,-0.36,0.17,2.54,1.99,1.99,1.32,1.24,48.16,72.03,119.46,128.8,111.59,59.81,125.17,-0.3796,-0.2733,0.0885,0.5208,0.166,0.2543,-0.5278,-0.0411,2.7298,3.5048,2.8877,1.3081,2.0827,2.1646,4.1438,1.9955,29.1142,5.4101,7.2659,25.1587,8.3947,8.3112,5.7681,8.5247,0.7034,0.6533,0.4515,0.2416,0.3898,0,1.8256,1.2682,2.7587,0.9016,0.9443,1.0796,2.9925,1.2843,1.2599,1.1403,3.2179,3.735,3.7803,10.1399,2.0515,2.0261,2.0126,2.0407,2.009,6.3102,12.5651,4.2577,4.1887,4.1188,10.5038,2.1612,2.113,2.1074,2.0974,2.0249,1.4662,1.4404,0.0712,0.0204,0.0178,0.0086,1.3725,1.4216,1.5549,0.0785,0.016,0.0058,0.0255,0.0092,2.7386,2.7178,0.9806,0.7743,0.9629,1.6161,1.4451,1.5082,-122.84,-1.7
SUCLUA,72.35,4.28,183.64,1.92,12.58,8.66,31.1,23.7,15.6,761.56,-5.669,-2.2065,2.26,2.1,-0.38,0.15,2.54,1.97,1.96,1.32,1.24,46.7,69.42,118.69,129.37,111.67,63.88,125.1,-0.3401,-0.2331,0.0916,0.4436,0.1697,0.0946,-0.4998,-0.0507,2.9659,3.449,3.0408,1.2928,1.9864,3.1896,4.2577,1.9246,29.1877,5.4349,7.1985,25.1939,8.4102,7.2833,5.8025,8.5563,0.7915,0.7055,0.3292,0.2056,0.3615,0,1.7305,1.391,2.765,0.9027,0.9365,1.0651,2.9863,1.2564,1.2387,1.1873,3.4081,3.5657,3.8226,10.1232,2.0436,2.0172,2.0125,2.0339,2.0159,6.3202,12.5941,4.2642,4.2174,4.1125,10.4255,2.0056,2.1073,2.0595,2.182,2.071,1.3489,1.4199,0.0718,0.0191,0.0212,0.0081,1.2345,1.3108,1.2165,0.1612,0.0278,0.0293,0.0306,0.0358,2.7341,2.6996,0.8776,0.8642,0.9578,1.5393,1.4761,1.5646,-147.16,-1.7
ZEFBOD,77.33,8.53,232.81,1.86,6.42,7.49,42.3,27.8,13.4,581.93,-6.1408,-3.3868,2.33,1.99,-0.46,0.01,2.53,1.94,3.24,1.32,1.24,44.73,66.1,64.45,172.33,114.59,69.18,125.83,-0.4609,-0.1851,0.1948,0.3803,0.0804,0.1761,-0.4022,0.1497,3.051,3.5328,3.2299,1.2209,2.9172,3.3185,4.1469,2.0653,29.1814,5.4483,7.1543,25.2054,7.1071,6.8085,5.7307,8.4068,0.8499,0,0.2555,0.2223,0.519,0.3869,1.5867,1.3866,2.7666,0.8575,0.9494,1.0753,2.9177,1.1403,1.3178,1.1868,3.2223,3.7936,3.8418,10.1054,2.042,2.0221,2.0059,2.0305,2.005,6.3141,12.6226,4.2402,4.2312,4.1512,10.5239,2.1189,2.1379,2.0663,2.1262,2.0745,1.1166,1.3159,0.2811,0.0277,0.0861,0.0265,1.0324,1.3103,1.1351,0.3382,0.0271,0.0802,0.0898,0.0234,2.7195,2.6445,0.9675,0.75,0.927,1.4421,1.4466,1.5508,-122.62,-1.7
CACTIL,73.69,3.02,171.89,1.93,10.94,10.32,31.2,23.2,15.5,810.95,-5.5731,-1.9833,2.33,2.07,-0.41,0.22,2.55,1.98,1.97,1.32,1.24,47.28,70.9,119.51,128.99,111.35,61.82,125.35,-0.3305,-0.2529,0.0912,0.4787,0.1369,0.0849,-0.4982,-0.0539,2.9092,3.4574,3.0499,1.3204,2.0172,3.1831,4.2636,1.9213,29.1928,5.4231,7.2135,25.1698,8.4215,7.2862,5.8053,8.5582,0.753,0.6972,0.4,0.179,0.396,0,1.7111,1.4143,2.7639,0.9053,0.9355,1.0759,2.9891,1.267,1.2152,1.1998,3.4026,3.5333,3.8255,10.1325,2.0475,2.017,2.012,2.0364,2.0197,6.3189,12.5814,4.2609,4.2205,4.1,10.4299,2.0003,2.1018,2.0815,2.191,2.0553,1.3991,1.4336,0.068,0.0194,0.0164,0.0084,1.2507,1.3202,1.1982,0.1618,0.0291,0.0381,0.0279,0.0279,2.7343,2.6997,0.8921,0.8743,0.9332,1.5622,1.4664,1.5537,-126.67,-1.5
