Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
YOXBUI,62.5,0.51,193.28,2.6,9.63,10.16,28.5,23.5,17.4,739.59,-4.9938,-1.9915,1.98,2.22,0.11,-0.13,2.47,2.07,3.15,3.09,2.54,1.35,1.23,91.68,77.83,88.76,98.13,109.55,121.66,109.2,125.94,-0.4541,0.1467,-0.1185,0.3008,0.0926,0.0525,-0.4554,0.0347,1.8719,2.9265,3.7223,1.9988,1.9418,4.065,2.0412,28.9596,7.2817,5.6865,25.3092,8.4661,8.5028,5.7037,8.463,0.6189,0,0.5085,0.4084,0.3717,0.5116,0.2543,0,1.855,1.1311,2.7899,2.7689,0.9829,1.0079,0.778,3.0085,3.6012,1.1548,1.3036,1.1428,3.6142,3.6204,3.6342,3.6829,10.1294,2.0279,2.0339,2.0319,2.0182,2.0175,6.3631,12.5418,4.1586,4.1522,4.231,10.5489,2.0854,2.1494,2.1172,2.0819,2.1151,1.4554,1.4396,1.579,0.0733,0.0157,0.0079,0.0214,1.5605,1.4687,1.4646,0.0663,0.0068,0.0215,0.0118,0.0107,2.741,2.676,0.9694,0.9544,0.7522,3.3992,4.495,1.4855,1.6264,1.3832,-388.74,45.8
ZANHOO,63.72,-0.31,190.4,2.56,10.79,7.91,31.1,23.5,18.3,763.8,-5.0688,-1.6301,2.15,2.02,0,0.01,2.51,2.12,3.23,3.01,2.44,1.34,1.23,85.37,81.34,89.41,101.96,99.6,118.68,110.14,126.3,-0.4446,0.1515,-0.1762,0.3782,0.0423,0.1628,-0.4656,0.0196,1.9097,2.8504,3.7173,1.9753,2.9661,4.0372,2.0628,28.9864,7.2736,5.638,25.2478,8.4951,7.29,5.6976,8.4643,0.5949,0,0.5931,0.3463,0.368,0.2926,0.5067,0,1.8839,1.1007,2.786,2.7908,0.8951,1.1046,0.7912,3.0013,3.6,1.2302,1.2026,1.1671,3.5986,3.4399,3.8442,3.5829,10.1378,2.0173,2.055,2.0166,2.0315,2.0173,6.3551,12.5425,4.1882,4.1191,4.2352,10.5468,2.0773,2.1877,2.1127,2.0649,2.1043,1.4787,1.5724,1.46,0.0682,0.0105,0.0252,0.0085,1.233,1.1369,1.2796,0.2275,0.0468,0.0192,0.0652,0.0228,2.7382,2.6822,0.9695,0.9551,0.7576,3.3993,4.51,1.5465,1.5648,1.3988,-387.64,45.8
AKEGAA,85.98,7.54,198.16,1.52,19.29,7.9,32.9,23.7,15.3,875.9,-4.8069,-1.5871,1.96,1.98,-0.03,-0.03,2.52,2.19,3.28,3.09,2.43,1.34,1.23,83.46,82.9,88.87,101.71,100.99,118.6,109.75,126.28,-0.4519,0.1466,-0.178,0.3792,0.0541,0.1537,-0.466,0.0176,1.924,2.8049,3.7452,1.9857,2.0399,4.0945,2.0783,28.8895,7.2945,5.6501,25.242,8.4983,8.4058,5.7063,8.458,0.5841,0,0.612,0.2988,0.3828,0.4659,0.3584,0,1.9317,1.1209,2.7867,2.7923,0.8802,1.0315,0.8807,3.0098,3.6016,1.2616,1.1911,1.1489,3.5956,3.3347,3.8381,3.6943,10.1397,2.0175,2.0405,2.0183,2.0436,2.0198,6.3466,12.551,4.159,4.1563,4.2357,10.554,2.0522,2.1538,2.1515,2.0683,2.1283,1.4712,1.6502,1.4009,0.073,0.0205,0.019,0.0102,1.4233,1.607,1.3944,0.0795,0.0102,0.0235,0.0177,0.0144,2.7394,2.6834,0.9121,0.9592,0.8122,3.4005,4.511,1.5068,1.5879,1.4162,-385.3,45.9
ASABAZ,62.48,0.52,155.2,1.84,8.07,15.28,23.9,14,8.3,753.26,-4.9926,-1.7462,2.18,2.03,-0.08,0.05,2.49,2.11,3.23,3.02,2.47,1.35,1.23,87.55,81.44,88.87,101.7,100.77,119.42,109.76,126.39,-0.4239,0.1452,-0.1565,0.3594,0.0402,0.0499,-0.4639,0.0167,1.8126,2.8558,3.7443,1.9289,1.9667,4.1011,2.0749,28.9315,7.2871,5.6631,25.2672,8.5187,8.513,5.712,8.4595,0.6137,0,0.5667,0.3574,0.3855,0.2887,0.4512,0,1.9304,1.1063,2.7886,2.7843,0.8876,1.1116,0.7851,3.007,3.6039,1.2557,1.1874,1.1608,3.6039,3.4469,3.8252,3.6094,10.1365,2.0179,2.053,2.018,2.0311,2.0165,6.361,12.5247,4.1979,4.1037,4.2231,10.538,2.0799,2.1859,2.0971,2.0615,2.1136,1.4774,1.5642,1.4681,0.0663,0.0113,0.0221,0.0081,1.4642,1.4698,1.577,0.0693,0.0187,0.0066,0.0157,0.0085,2.7397,2.6823,0.9652,0.9377,0.7795,3.4007,4.5117,1.5672,1.5233,1.4212,-384.46,45.9
BOWXUH,97.03,-1.35,200.81,2.18,9.31,10.91,31,21.6,14.6,768.35,-4.6994,-1.5547,1.93,1.93,0,0.01,2.54,2.26,3.32,3.2,2.39,1.34,1.23,80.85,84.85,89.1,101.23,101.27,115.33,110.32,126.82,-0.4552,0.1456,-0.202,0.4019,0.1238,0.0664,-0.4772,-0.0013,1.8707,2.7753,3.7243,2.0616,2.0078,4.089,2.0559,28.8896,7.2911,5.6391,25.2202,8.4617,8.5323,5.6968,8.4799,0.5679,0,0.6464,0.2394,0.3635,0.4179,0.4972,0,1.9029,1.148,2.787,2.8056,0.8946,1.0979,0.8131,3.0091,3.6039,1.2316,1.1989,1.1733,3.5908,3.4141,3.8529,3.57,10.1507,2.0201,2.0569,2.0207,2.0334,2.0195,6.3332,12.5887,4.1779,4.1839,4.2269,10.5329,2.0693,2.1861,2.1258,2.0443,2.1075,1.4053,1.6237,1.4271,0.0792,0.0156,0.0234,0.0091,1.4871,1.6095,1.4157,0.0763,0.0049,0.0178,0.0233,0.0089,2.7394,2.6911,0.9567,0.9631,0.7712,3.4032,4.5274,1.5493,1.564,1.414,-359.91,45.9
BUYGOT,100.06,-3.17,201.8,3.34,8.19,10.97,36.1,25.8,16.3,714.41,-4.5401,-1.4682,1.99,1.93,0.06,-0.02,2.55,2.17,3.18,3.19,2.42,1.34,1.23,83,79.47,89.51,98.73,105.94,117.11,109.74,126.59,-0.4994,0.1576,-0.1853,0.3423,0.1784,-0.0939,-0.466,0.0134,2.0425,2.8131,3.6805,2.0542,1.8785,4.1219,2.0704,28.9334,7.2645,5.6361,25.279,8.3922,8.6084,5.7227,8.4563,0.5423,0,0.5912,0.3026,0.3727,0.3296,0.6321,0,1.9281,1.1307,2.7842,2.7934,0.893,1.0346,0.8658,3.0024,3.5951,1.2297,1.1923,1.1731,3.6018,3.3822,3.8543,3.6562,10.1451,2.0226,2.05,2.0182,2.0363,2.0181,6.3437,12.5663,4.1714,4.1647,4.2302,10.5891,2.0639,2.2157,2.1306,2.067,2.1119,1.5523,1.375,1.4703,0.081,0.0209,0.0187,0.0113,1.63,1.5807,1.4351,0.0718,0.008,0.0168,0.0198,0.0112,2.7401,2.6852,0.9595,0.9622,0.7636,3.4023,4.5133,1.5368,1.5871,1.3894,-395.25,45.9
CBMURD,106.32,-24.14,203.14,3.12,6.78,9.67,35.3,25.7,16,706.96,-4.6542,-1.669,1.95,2.12,-0.12,1.39,2.56,2.18,3.1,3.25,2.44,1.34,1.23,81.23,76.62,87.16,95.16,112.47,116.75,109.24,125.67,-0.4802,0.1439,-0.1729,0.3285,-0.0942,0.1525,-0.4604,0.0228,1.7317,2.7602,3.793,1.8092,2.0351,4.1191,2.0555,28.8713,7.2786,5.7171,25.2666,8.6456,8.4224,5.735,8.4671,0.5511,0,0.6311,0.2937,0.2803,0.5403,0.2049,0,1.8646,1.1439,2.7826,2.7891,0.9025,0.9208,0.9657,3.0093,3.6038,1.248,1.1301,1.2256,3.611,3.438,3.8328,3.6357,10.1371,2.0263,2.0463,2.0149,2.0353,2.0142,6.3476,12.5333,4.1688,4.1596,4.2049,10.5991,2.0905,2.1796,2.1185,2.0908,2.1197,1.6065,1.5773,1.4582,0.0739,0.0185,0.0184,0.0102,1.5049,1.4894,1.4339,0.0755,0.0042,0.0162,0.0211,0.0093,2.7412,2.684,0.9667,0.9223,0.7951,3.4043,4.5019,1.6233,1.4813,1.3973,-414.89,45.9
DEKZID,89.98,-0.25,192.49,2.34,6.4,9.5,31.4,22.7,13.9,624.34,-4.7904,-2.539,1.97,1.93,-0.01,0.01,2.52,2.04,3.13,3.02,2.5,1.36,1.22,87.59,77.13,87.71,99.69,108.5,124,108.73,124.93,-0.4652,0.145,-0.1471,0.2802,0.1929,0.1614,-0.4489,0.051,2.0151,2.9159,3.6739,2.1322,2.0741,4.1103,2.097,28.8985,7.22,5.6711,25.3323,8.3565,8.4483,5.7305,8.4218,0.5238,0,0.5422,0.4413,0.3887,0.3969,0.4335,0,1.958,1.0979,2.7848,2.7794,0.9283,1.0387,0.8124,3.0068,3.6015,1.1717,1.258,1.1717,3.6198,3.4983,3.7989,3.6468,10.1387,2.0202,2.0518,2.0188,2.0295,2.0184,6.3254,12.5926,4.1825,4.1775,4.2326,10.5469,2.0596,2.1581,2.1508,2.0626,2.1158,1.3866,1.5621,1.443,0.0821,0.0183,0.0253,0.0091,1.4021,1.6214,1.4028,0.0814,0.0049,0.0197,0.0247,0.0093,2.74,2.6738,0.9808,0.9679,0.7251,3.3951,4.482,1.4962,1.637,1.3489,-423.55,45.9
EWINON,62.36,0.47,154.88,2.41,6.26,11.68,25.1,18.3,14.1,712.07,-5.05,-1.7091,2.04,2.18,0.05,-0.08,2.49,2.11,3.23,3,2.46,1.34,1.23,86.91,81.64,89.12,101.71,99.64,119.54,109.88,126.46,-0.4204,0.1469,-0.1643,0.3739,0.0594,0.0573,-0.4646,0.0155,1.8338,2.853,3.7412,1.9475,1.9389,4.0977,2.0747,28.9447,7.2862,5.656,25.2534,8.5123,8.5146,5.7128,8.4604,0.6164,0,0.5751,0.3547,0.3865,0.4626,0.2947,0,1.9268,1.1073,2.7879,2.7871,0.9249,1.0775,0.7847,3.0051,3.6033,1.202,1.2433,1.1579,3.6001,3.4938,3.7518,3.6243,10.1372,2.0244,2.0472,2.0247,2.0255,2.0154,6.362,12.5189,4.1842,4.1076,4.2271,10.5392,2.0658,2.1857,2.1119,2.0703,2.1055,1.4689,1.4666,1.5655,0.0694,0.0115,0.0117,0.0124,1.5096,1.5072,1.4767,0.0669,0.0104,0.0168,0.0162,0.0094,2.739,2.6828,0.9646,0.9311,0.7871,3.4008,4.513,1.5153,1.5667,1.431,-384.46,45.9
FIYRAH,92.05,2.7,193.81,1.79,8,7.64,31.3,21.7,14.3,649.4,-4.9055,-1.7481,1.96,1.96,-0.01,-0.03,2.55,2.14,3.28,3.07,2.44,1.34,1.23,83.92,82.24,88.89,102.96,100.39,117.44,110,126.35,-0.4403,0.1486,-0.1781,0.3376,0.0595,0.1433,-0.4664,0.0141,1.9248,2.8487,3.7933,2.0197,2.0361,4.0291,2.0696,28.8815,7.2831,5.6691,25.278,8.5013,8.4486,5.679,8.465,0.5334,0,0.6282,0.3398,0.3726,0.483,0.3547,0,1.899,1.0962,2.7875,2.7942,0.9318,1.0512,0.8112,3.0049,3.6025,1.1811,1.2272,1.1942,3.6182,3.5388,3.824,3.525,10.1389,2.0212,2.0524,2.0163,2.0263,2.0227,6.3214,12.5767,4.195,4.1641,4.2176,10.5419,2.097,2.1578,2.1318,2.084,2.0713,1.4992,1.6024,1.4143,0.0734,0.0151,0.025,0.008,1.383,1.6142,1.4372,0.0784,0.0065,0.0174,0.0226,0.0091,2.7383,2.6837,0.9779,0.9652,0.7406,3.4005,4.5145,1.5213,1.6115,1.3817,-381.71,45.9
IDIRAP,82.44,-0.16,212.34,2.7,9.78,6.78,41,32.9,18.4,688.29,-4.6888,-1.4825,1.97,2.27,-0.02,0,2.56,2.12,3.29,3.02,2.42,1.35,1.23,82.69,82.63,88.41,105.29,96.67,117.9,110.01,126.79,-0.4788,0.1538,-0.1912,0.3579,-0.09,0.1342,-0.4565,0.0229,2.0596,2.8787,3.8789,1.8502,3.0135,3.9422,2.0763,28.9959,7.2792,5.7112,25.2903,8.5977,7.1032,5.62,8.4627,0.5277,0,0.6603,0.3684,0.4087,0.6101,0.2667,0,1.8932,1.0628,2.7863,2.8005,0.9544,1.0283,0.8178,3.0003,3.5983,1.1663,1.2385,1.1935,3.6087,3.576,3.7825,3.5083,10.1486,2.0248,2.0529,2.0205,2.0248,2.0256,6.3403,12.5434,4.1681,4.1636,4.2117,10.5949,2.0953,2.1694,2.1675,2.0818,2.081,1.6558,1.5889,1.392,0.071,0.0141,0.0251,0.0081,1.1368,1.1978,1.292,0.3063,0.0617,0.0646,0.0504,0.0783,2.7356,2.6787,0.9751,0.9631,0.7405,3.3985,4.5077,1.5071,1.621,1.3796,-373.08,45.9
IQISAE02,61.64,0.69,185.28,2.57,10.17,8.26,30,26.4,25.4,885.18,-5.108,-1.7864,2.03,2.23,0.02,-0.07,2.48,2.11,3.23,2.99,2.47,1.35,1.23,87.8,81.31,89.14,101.39,100.57,120.86,109.79,126.2,-0.4303,0.1505,-0.1545,0.3658,0.0797,0.0503,-0.4613,0.0218,1.7854,2.8723,3.7543,1.9416,1.96,4.0835,2.0761,28.8959,7.2837,5.6609,25.2729,8.5006,8.4927,5.7077,8.4572,0.6144,0,0.5578,0.3712,0.3986,0.4048,0.2454,0,1.9234,1.1,2.7879,2.7821,0.9135,1.087,0.7816,3.0051,3.6005,1.2813,1.1371,1.1821,3.5991,3.5542,3.8125,3.5137,10.1356,2.021,2.048,2.0162,2.026,2.0244,6.3632,12.5145,4.1872,4.1196,4.2078,10.5523,2.0965,2.1656,2.0932,2.0738,2.1232,1.4544,1.4641,1.5677,0.072,0.0033,0.0196,0.0089,1.43,1.596,1.4731,0.067,0.0067,0.01,0.0233,0.0083,2.7393,2.6803,0.9758,0.9525,0.7521,3.3996,4.5077,1.6388,1.4834,1.3855,-392.88,45.9
KOXNOC01,85.1,-1.72,216.78,2.29,8.28,6.77,38.9,30,18.5,642.02,-5.0942,-1.8892,2.03,1.97,0.01,0,2.54,2.26,3.28,3.21,2.37,1.34,1.23,79.26,83.78,88.85,100.52,101.79,115.53,110.26,126.58,-0.4517,0.1518,-0.2142,0.4433,0.2578,0.1872,-0.4724,0.0154,2.1464,2.7708,3.7781,3.1858,3.1594,4.0863,2.0761,29.0681,7.2899,5.663,25.1813,7.1432,7.169,5.7052,8.4597,0.5814,0,0.6533,0.2339,0.3668,0.4725,0.5955,0,1.9277,1.1352,2.7832,2.8059,0.9024,1.079,0.8244,3.0048,3.599,1.2157,1.2232,1.16,3.5761,3.3604,3.8407,3.6048,10.1551,2.0211,2.0529,2.0233,2.0393,2.0185,6.3563,12.5985,4.1626,4.1958,4.24,10.4968,2.0518,2.16,2.1261,2.0529,2.1058,1.1924,1.1745,1.1639,0.2431,0.0348,0.0646,0.0293,1.1949,1.1336,1.2579,0.2377,0.0512,0.0304,0.0692,0.0362,2.7382,2.6877,0.9438,0.9623,0.7816,3.4012,4.5122,1.5089,1.5917,1.4116,-372.1,45.9
LABHIF01,62.33,0.23,155.21,3.23,10.07,10,26.8,22,16.8,750.71,-4.9656,-1.695,2.16,2.04,-0.08,0.06,2.49,2.11,3.23,3.03,2.45,1.34,1.23,86.79,81.56,89.24,101.79,100.13,118.76,109.93,126.53,-0.4289,0.1488,-0.1657,0.3682,0.0639,0.0621,-0.4634,0.0148,1.8183,2.8545,3.7518,1.9352,1.9689,4.0996,2.0737,28.9342,7.282,5.6622,25.2614,8.5154,8.505,5.7121,8.4618,0.6055,0,0.5799,0.3566,0.3893,0.3074,0.4381,0,1.9233,1.1068,2.7879,2.7877,0.8891,1.1149,0.7837,3.0036,3.6025,1.2722,1.156,1.1743,3.6011,3.4828,3.8423,3.5485,10.1382,2.018,2.0545,2.0155,2.0299,2.0203,6.3609,12.5218,4.1937,4.1131,4.215,10.546,2.0912,2.1826,2.1029,2.0627,2.1066,1.452,1.5771,1.4642,0.0678,0.0082,0.0249,0.0087,1.4548,1.477,1.5695,0.0701,0.0139,0.004,0.0193,0.0086,2.7388,2.6824,0.9697,0.9533,0.7594,3.4009,4.5136,1.6093,1.5038,1.4005,-383.24,45.9
LIXROA,62.43,0.09,155.48,2.97,9.79,10.29,26.7,21.9,16.7,753.06,-4.9786,-1.7092,2.15,2.04,-0.1,0.09,2.5,2.1,3.23,3.02,2.46,1.34,1.23,87.13,81.27,89.24,101.78,100.17,118.64,109.92,126.52,-0.4312,0.1487,-0.1633,0.3626,0.0649,0.0623,-0.4632,0.0153,1.833,2.861,3.7473,1.9405,1.9691,4.0976,2.0733,28.9389,7.2798,5.6585,25.2679,8.5112,8.5056,5.711,8.4614,0.6011,0,0.5762,0.3664,0.3873,0.3089,0.4436,0,1.9206,1.1047,2.788,2.7864,0.8858,1.1184,0.7822,3.003,3.6028,1.2642,1.1656,1.173,3.6031,3.4699,3.8473,3.5609,10.1374,2.0173,2.0551,2.0156,2.0306,2.0188,6.3583,12.525,4.1972,4.1102,4.2176,10.5477,2.0873,2.1873,2.1045,2.0644,2.1043,1.4524,1.5736,1.4665,0.0679,0.0085,0.0247,0.0087,1.4549,1.4776,1.5685,0.0702,0.0143,0.0043,0.0192,0.0085,2.7387,2.6823,0.9692,0.9529,0.7602,3.4008,4.5132,1.5955,1.5157,1.402,-386.31,45.9
PULBUU,64.59,-0.31,161.05,1.77,5.1,11.71,24.5,13.5,7.6,606.14,-4.8592,-2.8755,2.09,1.99,-0.04,0.05,2.5,1.97,3.05,2.92,2.54,1.36,1.22,90.78,74.55,87.83,98.49,109.3,127.39,108.88,124.6,-0.442,0.1431,-0.1294,0.2382,0.0578,0.0622,-0.4559,0.0624,1.9813,2.9653,3.6984,1.9681,1.9885,4.2107,2.0978,28.9385,7.1969,5.7023,25.3626,8.4937,8.4818,5.803,8.4007,0.5287,0,0.5136,0.486,0.3918,0.3318,0.4651,0,1.9569,1.1255,2.7844,2.7714,0.8976,1.0805,0.7933,3.0017,3.6001,1.1792,1.2107,1.2102,3.6324,3.5299,3.8625,3.5859,10.1341,2.0216,2.052,2.0111,2.0306,2.0188,6.3384,12.562,4.2284,4.1218,4.2118,10.5413,2.0846,2.1327,2.0813,2.1181,2.1246,1.4479,1.5868,1.4571,0.0686,0.012,0.0232,0.0084,1.4527,1.4539,1.5924,0.0715,0.0169,0.0057,0.0169,0.0086,2.7413,2.6765,0.9497,0.9587,0.768,3.3936,4.4717,1.4957,1.5993,1.3767,-431.46,45.9
RALNIC,62.37,0.25,155.07,2.48,6.15,9.64,25.2,17.1,11.9,607.62,-5.0055,-1.7727,2.04,2.17,0.05,-0.07,2.49,2.1,3.21,3.04,2.48,1.35,1.23,88.3,80.51,89.15,100.86,102.59,119.5,109.75,126.3,-0.4384,0.1457,-0.152,0.3488,0.0618,0.0411,-0.4623,0.0184,1.8367,2.8699,3.7357,1.9696,1.9541,4.1111,2.0749,28.9406,7.3002,5.6628,25.2774,8.5018,8.5099,5.7203,8.458,0.6091,0,0.5593,0.3663,0.3851,0.4637,0.2972,0,1.9265,1.1174,2.7885,2.7821,0.8863,1.1178,0.778,3.0062,3.6035,1.2547,1.1803,1.1685,3.6047,3.4615,3.8455,3.5848,10.1359,2.0171,2.0546,2.0161,2.0306,2.0176,6.3628,12.5288,4.2016,4.108,4.2192,10.5466,2.0835,2.1873,2.0969,2.0679,2.1111,1.4525,1.4769,1.5723,0.0703,0.0048,0.0182,0.0083,1.4593,1.5806,1.4709,0.0671,0.0066,0.0088,0.0243,0.0085,2.7401,2.6813,0.9747,0.9512,0.7555,3.4009,4.5099,1.5804,1.5347,1.3947,-386.55,45.9
SALPUR,93.85,-1.36,195.72,1.86,7.05,9.57,31.3,22.2,15,694.39,-4.996,-1.6434,1.98,1.94,-0.01,0.01,2.54,2.22,3.34,3.15,2.41,1.34,1.23,81.7,84.84,88.81,103.15,100.34,116.13,110.04,126.7,-0.4454,0.1458,-0.1912,0.3826,0.117,0.0794,-0.4716,0.0099,1.832,2.8022,3.7947,1.9127,2.0485,4.0696,2.0686,28.8715,7.2848,5.6718,25.2321,8.5718,8.4943,5.6909,8.4691,0.568,0,0.6495,0.2734,0.3859,0.3383,0.4924,0,1.912,1.1213,2.7871,2.7999,0.9,1.1032,0.7967,3.0094,3.6032,1.2229,1.2068,1.1735,3.5999,3.4729,3.836,3.5462,10.1438,2.0202,2.0545,2.0192,2.0308,2.0191,6.332,12.5791,4.1884,4.164,4.2267,10.5341,2.0802,2.1835,2.1243,2.0532,2.0928,1.4332,1.6042,1.424,0.0779,0.0156,0.0237,0.0093,1.4756,1.6068,1.418,0.076,0.0045,0.0177,0.0236,0.0086,2.7391,2.6875,0.9692,0.9568,0.7615,3.4016,4.5177,1.5531,1.563,1.4016,-374.93,45.9
TETROL06,62.25,0.6,154.1,2.37,3.16,9.01,23.8,12.1,6.2,524.08,-5.1196,-1.7623,2.2,2.04,-0.08,0.04,2.49,2.1,3.22,3.01,2.47,1.35,1.23,87.76,80.97,88.99,101.35,100.7,120,109.82,126.3,-0.412,0.1447,-0.1561,0.3617,0.0585,0.066,-0.4632,0.0189,1.8261,2.8569,3.7223,1.9358,1.9608,4.1002,2.078,28.9402,7.2906,5.6498,25.2648,8.4951,8.4925,5.7119,8.4562,0.6185,0,0.5619,0.3662,0.3803,0.2827,0.4675,0,1.9336,1.1037,2.7882,2.7833,0.8997,1.1038,0.7798,3.006,3.6048,1.2257,1.2095,1.1697,3.6047,3.4773,3.8254,3.5781,10.1342,2.0181,2.0526,2.0176,2.0292,2.0168,6.3592,12.5175,4.2003,4.098,4.2192,10.5351,2.0731,2.1865,2.1083,2.0727,2.0946,1.4825,1.5302,1.4735,0.0662,0.0112,0.0219,0.0082,1.4516,1.4774,1.5611,0.0693,0.0205,0.0083,0.0137,0.0097,2.7396,2.6815,0.974,0.9509,0.7566,3.4004,4.5098,1.5479,1.5649,1.397,-387.27,45.9
TUBRUD,62.45,0.51,160.95,2.76,7.52,11.31,28.5,21.3,14.6,716.3,-4.983,-1.7658,2.03,2.18,0.05,-0.09,2.48,2.11,3.24,2.99,2.47,1.34,1.23,87.51,81.71,88.93,101.73,99.45,120.01,109.78,126.4,-0.4358,0.1496,-0.1555,0.3677,0.064,0.054,-0.4629,0.017,1.8103,2.8543,3.7586,1.9542,1.9221,4.1006,2.0746,28.9188,7.2825,5.6663,25.2679,8.5128,8.5144,5.713,8.4608,0.6113,0,0.5657,0.3569,0.3919,0.4327,0.2932,0,1.9292,1.104,2.7884,2.7829,0.9514,1.0465,0.785,3.0046,3.602,1.2824,1.1329,1.1867,3.6001,3.6079,3.7761,3.4933,10.1361,2.0237,2.0422,2.0199,2.0221,2.0281,6.36,12.5196,4.1661,4.1475,4.206,10.556,2.0931,2.1486,2.1102,2.0762,2.1279,1.4743,1.4579,1.5656,0.0698,0.0036,0.0182,0.0087,1.4357,1.5958,1.4646,0.0664,0.0077,0.0115,0.0217,0.0083,2.7386,2.6818,0.9665,0.9613,0.754,3.4003,4.5119,1.6423,1.4802,1.3894,-385.74,45.9
UVUQOS,96.45,-2.47,198.88,1.7,9.23,10.75,30.9,21,13.4,747.52,-4.8963,-1.622,1.96,1.94,0,0.02,2.54,2.23,3.3,3.18,2.4,1.34,1.23,81.68,83.95,89.09,101.49,101.57,115.81,110.18,126.7,-0.4519,0.1459,-0.1953,0.3884,0.1085,0.0666,-0.4738,0.0041,1.8495,2.7867,3.735,1.9455,2.0278,4.0879,2.0653,28.8855,7.2892,5.6425,25.2305,8.5497,8.5075,5.6974,8.4722,0.5675,0,0.6379,0.2643,0.3661,0.3758,0.4949,0,1.9183,1.1317,2.7869,2.802,0.8964,1.0928,0.8128,3.0085,3.6038,1.2269,1.2032,1.1737,3.5967,3.4191,3.853,3.5772,10.1466,2.0194,2.0564,2.0192,2.0328,2.0188,6.3309,12.5821,4.1805,4.1755,4.2261,10.5386,2.0696,2.1847,2.1279,2.0499,2.1064,1.4341,1.6083,1.4235,0.0793,0.016,0.0238,0.0091,1.4846,1.6111,1.4163,0.0757,0.0045,0.0172,0.0241,0.0085,2.7392,2.6887,0.959,0.9634,0.7663,3.4026,4.5226,1.5438,1.5724,1.4064,-367.88,45.9
