Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
XAJXAL,Minimum,Minimum,Incorrect TS,Correct TS
XAJYEM,Not Minimum,Not Minimum,Incorrect TS,Correct TS
XAKDOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XAKJEZ,Minimum,Minimum,Incorrect TS,Incorrect TS
XAKKAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
XALDOG,Minimum,Minimum,Correct TS,Correct TS
XALDUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XALKUQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XALNAC,Minimum,Minimum,Correct TS,Correct TS
XALNEF,Minimum,Minimum,Correct TS,Correct TS
XALSAG,Minimum,Minimum,Correct TS,Correct TS
XALVIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XALVUB,Minimum,Minimum,Correct TS,Correct TS
XALWAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XALYIT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAMFUM,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
XAMJUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAMKOO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAMMEF,Minimum,Minimum,Correct TS,Correct TS
XAMMOP,Minimum,Minimum,Incorrect TS,Correct TS
XAMSAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAMWOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XANAZH01,Minimum,Minimum,Correct TS,Correct TS
XANBAQ,Not Minimum,Not Minimum,Incorrect TS,Calc Fail
XANGAU01,Not Minimum,Minimum,Correct TS,Correct TS
XANOPT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XANRUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XANTOS,Minimum,Minimum,Correct TS,Correct TS
XANXUH,Minimum,Minimum,Incorrect TS,Correct TS
XANYES,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XANYIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAPFAX,Minimum,Minimum,Correct TS,Correct TS
XAPHII,Not Minimum,Not Minimum,Incorrect TS,Correct TS
XAPHUU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAPKOQ,Minimum,Minimum,Correct TS,Correct TS
XAPMAC,Minimum,Minimum,Correct TS,Correct TS
XAPMIN,Minimum,Not Minimum,Incorrect TS,Correct TS
XAPPAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XAPPAI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAPPEM,Minimum,Minimum,Incorrect TS,Correct TS
XAPQUD,Minimum,Minimum,Incorrect TS,Correct TS
XAPTOY,Minimum,Minimum,Correct TS,Correct TS
XAPVES,Minimum,Minimum,Correct TS,Correct TS
XAPVOA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAPWAN,Minimum,Minimum,Correct TS,Correct TS
XAQDUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAQHON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAQJEE,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAQMUX,Minimum,Minimum,Incorrect TS,Correct TS
XAQNOT,Minimum,Minimum,Incorrect TS,Correct TS
XAQTUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAQVAN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAQVIV,Minimum,Minimum,Incorrect TS,Correct TS
XAQXOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XARZOH,Not Minimum,Minimum,Correct TS,Correct TS
XASFED,Minimum,Not Minimum,Correct TS,Correct TS
XASFON,Minimum,Minimum,Incorrect TS,Correct TS
XASLOS,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XASZUP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XATJIM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XATKAF,Minimum,Not Minimum,Incorrect TS,Correct TS
XATLEL,Not Minimum,Minimum,Incorrect TS,Correct TS
XATRUH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XATTES,Not Minimum,Not Minimum,Incorrect TS,Correct TS
XATWUK,Minimum,Minimum,Correct TS,Correct TS
XATYUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XATZUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAVFEG03,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAVHUZ,Minimum,Minimum,Incorrect TS,Correct TS
XAVLUC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAVNEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAVTAP,Not Minimum,Minimum,Correct TS,Correct TS
XAVTEW,Minimum,Minimum,Correct TS,Correct TS
XAVWOI,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XAVZUP,Not Minimum,Minimum,Incorrect TS,Correct TS
XAXGAH,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XAXLIU,Minimum,Minimum,Correct TS,Correct TS
XAYCAB,Minimum,Minimum,Incorrect TS,Calc Fail
XAYCEI,Not Minimum,Minimum,Incorrect TS,Correct TS
XAYLOZ,Minimum,Not Minimum,Incorrect TS,Correct TS
XAYMIT,Minimum,Minimum,Correct TS,Correct TS
XAYROG,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XAYSIZ,Not Minimum,Minimum,Correct TS,Correct TS
XAYVIC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAYWEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAYWIF,Minimum,Minimum,Correct TS,Correct TS
XAZGAH,Minimum,Minimum,Correct TS,Correct TS
XAZGEM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZHIS,Minimum,Not Minimum,Correct TS,Correct TS
XAZJOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZKOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZNES,Minimum,Minimum,Incorrect TS,Correct TS
XAZPOF,Minimum,Minimum,Correct TS,Correct TS
XAZQEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZRIC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZROI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZSUN,Minimum,Minimum,Incorrect TS,Correct TS
XAZSUO,Minimum,Not Minimum,Correct TS,Correct TS
XAZVEB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZWUS01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAZYAA,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XAZZUV,Not Minimum,Minimum,Correct TS,Correct TS
XBPINO,Not Minimum,Minimum,Correct TS,Correct TS
XEBBEN,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XEBMEX,Minimum,Minimum,Correct TS,Correct TS
XEBPEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEBPOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEBQAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEBRUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEBTIJ,Minimum,Minimum,Correct TS,Correct TS
XEBVEH,Minimum,Minimum,Correct TS,Correct TS
XEBWAE,Not Minimum,Minimum,Correct TS,Correct TS
XEBWOS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XEBZUB,Minimum,Minimum,Correct TS,Correct TS
XECHES,Not Minimum,Minimum,Correct TS,Correct TS
XECJEU03,Minimum,Minimum,Correct TS,Correct TS
XECJIY,Minimum,Minimum,Correct TS,Correct TS
XECLUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XECMIE,Minimum,Not Minimum,Incorrect TS,Correct TS
XECNUR,Not Minimum,Minimum,Incorrect TS,Correct TS
XECPED,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XECQAA,Minimum,Minimum,Incorrect TS,Correct TS
XECQII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XECTAD,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XECXOT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEDHUM,Minimum,Minimum,Correct TS,Correct TS
XEDJAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEDJOI,Minimum,Minimum,Correct TS,Correct TS
XEDLEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEDRII,Minimum,Not Minimum,Correct TS,Correct TS
XEFCOA,Minimum,Minimum,Correct TS,Correct TS
XEFLOJ,Minimum,Minimum,Incorrect TS,Correct TS
XEFLOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEFLUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEFMAW,Not Minimum,Minimum,Correct TS,Correct TS
XEFYIT,Not Minimum,Minimum,Incorrect TS,Correct TS
XEGHOI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEGJEY01,Minimum,Minimum,Incorrect TS,Correct TS
XEGJOI,Minimum,Minimum,Correct TS,Correct TS
XEGKAV,Not Minimum,Minimum,Correct TS,Calc Fail
XEGKUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEGLIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEGMAX01,Minimum,Minimum,Correct TS,Correct TS
XEGPII,Minimum,Minimum,Correct TS,Correct TS
XEGTEI,Minimum,Minimum,Incorrect TS,Correct TS
XEGVUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEGXOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEHTAH,Minimum,Minimum,Correct TS,Correct TS
XEHTEL,Minimum,Minimum,Correct TS,Correct TS
XEHVEO,Not Minimum,Minimum,Correct TS,Correct TS
XEHZAL,Minimum,Minimum,Correct TS,Correct TS
XEJLEE,Minimum,Minimum,Correct TS,Correct TS
XEJLON,Minimum,Minimum,Incorrect TS,Correct TS
XEJLUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEJREM,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XEJTIS,Minimum,Minimum,Correct TS,Correct TS
XEJVIU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XEJXIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEKLAB,Minimum,Minimum,Correct TS,Correct TS
XEKXER,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XEKYES,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XELJEE,Minimum,Minimum,Correct TS,Correct TS
XELKEE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XELSIT,Minimum,Minimum,Correct TS,Correct TS
XELYAQ,Minimum,Not Minimum,Correct TS,Correct TS
XELZAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEMBOI,Minimum,Not Minimum,Correct TS,Correct TS
XEMMIN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XEMNEK,Minimum,Minimum,Incorrect TS,Correct TS
XEMQOX,Not Minimum,Not Minimum,Correct TS,Correct TS
XEMVET,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEMWOB,Minimum,Not Minimum,Incorrect TS,Correct TS
XENFUR,Not Minimum,Minimum,Correct TS,Correct TS
XENJUX,Minimum,Minimum,Correct TS,Correct TS
XENLAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XENQEN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEPJOR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEPQEO,Minimum,Minimum,Incorrect TS,Correct TS
XEPSUG,Minimum,Minimum,Correct TS,Correct TS
XEQVAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEQYUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XERDAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XERPIU,Minimum,Minimum,Correct TS,Correct TS
XERPOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XESRIW,Minimum,Not Minimum,Incorrect TS,Correct TS
XESTUM,Minimum,Minimum,Incorrect TS,Correct TS
XESVAU,Minimum,Minimum,Correct TS,Correct TS
XESXEZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XESZUR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XETJIQ,Minimum,Minimum,Incorrect TS,Correct TS
XETKIR,Minimum,Minimum,Incorrect TS,Correct TS
XETSOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XETTEY,Minimum,Not Minimum,Incorrect TS,Correct TS
XETVOI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEVVOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEWPAQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XEWPEU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XEWXOO,Minimum,Minimum,Correct TS,Correct TS
XEXFEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEXFIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEXNAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEXNET,Minimum,Not Minimum,Incorrect TS,Correct TS
XEXNEU,Minimum,Minimum,Correct TS,Correct TS
XEXNIX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEXPAR01,Minimum,Minimum,Incorrect TS,Correct TS
XEXPIA,Minimum,Minimum,Correct TS,Correct TS
XEXQEW,Minimum,Minimum,Incorrect TS,Correct TS
XEXVEC,Minimum,Minimum,Incorrect TS,Correct TS
XEXXUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEYBAH,Minimum,Minimum,Incorrect TS,Correct TS
XEYGEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEYXUV,Minimum,Minimum,Correct TS,Correct TS
XEZBAG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEZBIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XEZBOW,Minimum,Minimum,Incorrect TS,Correct TS
XEZHAL,Minimum,Not Minimum,Incorrect TS,Correct TS
XEZLET,Minimum,Minimum,Correct TS,Correct TS
XEZSOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIBFIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XIBKUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIBLAW,Minimum,Minimum,Correct TS,Correct TS
XIBLAX,Minimum,Minimum,Correct TS,Correct TS
XIBSUX,Minimum,Minimum,Correct TS,Correct TS
XIBZOY,Minimum,Minimum,Correct TS,Correct TS
XICCIV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XICDEV,Minimum,Minimum,Incorrect TS,Correct TS
XICFAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XICJID,Minimum,Not Minimum,Correct TS,Correct TS
XICNAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XICPAC01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XICREI,Minimum,Minimum,Correct TS,Correct TS
XIDBAO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIDHAU,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
XIDQEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIDRAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIDREH,Minimum,Minimum,Incorrect TS,Correct TS
XIDSOU,Not Minimum,Minimum,Incorrect TS,Correct TS
XIDWUF,Minimum,Minimum,Incorrect TS,Correct TS
XIFGUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIFKON01,Minimum,Minimum,Correct TS,Correct TS
XIFLAA,Minimum,Minimum,Incorrect TS,Correct TS
XIFLUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIFMIJ01,Minimum,Minimum,Correct TS,Correct TS
XIFNIK02,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XIFNOQ01,Minimum,Minimum,Correct TS,Correct TS
XIFSEL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIFWEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIGCEV,Minimum,Minimum,Incorrect TS,Correct TS
XIGCOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIGQEK01,Minimum,Minimum,Incorrect TS,Correct TS
XIGRAJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
XIGTOZ,Minimum,Not Minimum,Correct TS,Correct TS
XIGTUF,Minimum,Minimum,Incorrect TS,Correct TS
XIGWAM,Minimum,Minimum,Incorrect TS,Correct TS
XIHJUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIHLIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIHSEM,Not Minimum,Not Minimum,Correct TS,Correct TS
XIJBOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIJCAW,Minimum,Minimum,Correct TS,Correct TS
XIJDOJ,Minimum,Minimum,Correct TS,Correct TS
XIJMAE,Minimum,Minimum,Incorrect TS,Correct TS
XIJMEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIJMIM,Minimum,Not Minimum,Incorrect TS,Correct TS
XIJMOS,Minimum,Minimum,Incorrect TS,Correct TS
XIJNEJ,Minimum,Not Minimum,Incorrect TS,Correct TS
XIJPUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XIJRAL,Minimum,Not Minimum,Correct TS,Correct TS
XIJREP,Minimum,Not Minimum,Correct TS,Correct TS
XIJTOZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XIJVAP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIKHAC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIKLOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIKMOV,Minimum,Minimum,Correct TS,Correct TS
XIKMOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIKNUA,Minimum,Minimum,Incorrect TS,Correct TS
XIKPUF,Minimum,Minimum,Correct TS,Correct TS
XIKYEX,Minimum,Minimum,Correct TS,Correct TS
XIKZUP,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XILFED,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XILKUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XILMAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XILMUA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XILVUK,Minimum,Not Minimum,Incorrect TS,Correct TS
XILYEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XILZAU,Minimum,Not Minimum,Incorrect TS,Correct TS
XIMBAZ,Not Minimum,Minimum,Correct TS,Correct TS
XIMCON,Minimum,Minimum,Correct TS,Correct TS
XIMMOV,Minimum,Minimum,Incorrect TS,Correct TS
XIMPAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIMXID,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIMZUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XINBOM,Minimum,Minimum,Calc Fail,Correct TS
XINBUU,Minimum,Minimum,Correct TS,Correct TS
XINFUV,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XINJAF,Minimum,Minimum,Correct TS,Correct TS
XINNEN,Minimum,Minimum,Correct TS,Calc Fail
XINRIV02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIPHAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIPNOC,Minimum,Minimum,Incorrect TS,Correct TS
XIPQEV,Minimum,Minimum,Correct TS,Correct TS
XIPRUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIPTUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIQBIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIQCEF,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XIQMIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XIQXEB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIRHEO,Minimum,Not Minimum,Incorrect TS,Correct TS
XISREW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XISVEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XISVIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XISVUT,Minimum,Minimum,Incorrect TS,Correct TS
XITCIM,Minimum,Minimum,Correct TS,Correct TS
XITCOS,Minimum,Minimum,Correct TS,Correct TS
XITCUY,Minimum,Minimum,Correct TS,Correct TS
XITDEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XITGEO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIVWUX,Minimum,Minimum,Correct TS,Correct TS
XIWVEH,Not Minimum,Not Minimum,Correct TS,Correct TS
XIXKEU,Minimum,Minimum,Incorrect TS,Incorrect TS
XIXLAT,Minimum,Minimum,Correct TS,Correct TS
XIXQUR,Minimum,Not Minimum,Correct TS,Correct TS
XIXSAZ,Not Minimum,Not Minimum,Incorrect TS,Correct TS
XIXTUU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIYPIH,Not Minimum,Minimum,Correct TS,Correct TS
XIYSII,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XIYVIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIZCEP01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIZDAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIZPEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XIZVAD,Minimum,Not Minimum,Correct TS,Correct TS
XIZXAI,Minimum,Minimum,Correct TS,Correct TS
XOBPAI,Minimum,Minimum,Incorrect TS,Correct TS
XOCFAW,Minimum,Minimum,Correct TS,Correct TS
XOCFEA,Minimum,Minimum,Correct TS,Correct TS
XOCFED,Minimum,Minimum,Incorrect TS,Correct TS
XOCFOK01,Minimum,Not Minimum,Incorrect TS,Correct TS
XOCJEE01,Minimum,Minimum,Correct TS,Correct TS
XOCVIW,Minimum,Minimum,Incorrect TS,Correct TS
XODBAU,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XODDAX,Not Minimum,Minimum,Incorrect TS,Correct TS
XODDIF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XODGEE,Minimum,Not Minimum,Incorrect TS,Correct TS
XODPUB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
XODZIZ,Minimum,Minimum,Correct TS,Correct TS
XODZOH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOFDEB,Minimum,Minimum,Incorrect TS,Correct TS
XOFFAB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOFSOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOFWIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XOFYAS,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XOGLEL,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOGNIS,Minimum,Not Minimum,Correct TS,Correct TS
XOGSIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOGWEX,Minimum,Minimum,Correct TS,Correct TS
XOHBII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOHBOO,Minimum,Not Minimum,Correct TS,Correct TS
XOHFEG,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
XOHKOU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOHMEM,Minimum,Minimum,Correct TS,Correct TS
XOHMUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOHRUH,Minimum,Minimum,Incorrect TS,Correct TS
XOHVEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOHWAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XOHYAW,Minimum,Not Minimum,Correct TS,Correct TS
XOJBOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XOJKAK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOJLUE,Minimum,Minimum,Incorrect TS,Correct TS
XOKFOS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOKTAU,Minimum,Minimum,Incorrect TS,Correct TS
XOKXUS,Minimum,Minimum,Correct TS,Correct TS
XOLHIQ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOLLEP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XOLZOP,Minimum,Minimum,Correct TS,Correct TS
XOMCAE,Minimum,Minimum,Correct TS,Correct TS
XOMKIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XONRIE,Minimum,Minimum,Incorrect TS,Correct TS
XONRUQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
