Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
WASPOV,91.78,2.3,17.7,-3.4735,-2.039,2.09,2.03,-0.03,-0.09,2.36,84.08,64.41,0.1148,-0.6595,-0.6051,2.2725,2.7747,1.4228,28.9376,7.1696,25.1983,8.4931,0.7546,0,0.3194,1.574,3.1942,3.6347,3.497,2.032,2.0214,6.2596,9.8659,1.705,0.3662,0.0758,2.7741,3.511,-370.85,1.26,128.22,41.2
AYEPEA,83.42,11.81,23.1,-3.0951,-2.2414,1.98,2.01,-0.06,-0.11,2.34,85.62,59.98,0.177,-0.7979,-0.6016,2.5325,2.7445,1.4194,28.9908,7.171,25.1695,8.4578,0.8129,0,0.6057,1.5991,3.1933,3.3999,3.6744,2.0277,2.0238,6.2747,9.7837,1.5861,0.4551,0.0856,2.7716,3.5115,-346.93,1.26,128.8,49.8
DUPHOL,64.03,-0.42,9.3,-3.6324,-3.5032,2.03,2.07,0.03,-0.02,2.35,83.42,64.33,0.1314,-0.5735,-0.5509,2.4367,2.7204,1.453,28.9815,7.1797,25.1653,8.4863,0.7801,0,0.4544,1.5699,3.1987,3.9018,3.6,2.0614,2.0327,6.2806,9.8201,1.6042,0.32,0.0622,2.775,3.5042,-359.57,1.27,128.56,43.1
OXOBUA,91.86,1.67,18.9,-3.3689,-2.4601,1.99,1.97,-0.01,-0.05,2.35,90.52,62.47,0.1601,-0.1861,-0.521,2.5413,2.7781,1.4904,28.9972,7.1691,25.1552,8.4718,0.8019,0,0.5464,1.5793,3.1965,3.6914,3.6189,2.0452,2.0262,6.2948,9.826,1.3888,0.3962,0.0692,2.7743,3.5215,-351.15,1.27,127.81,44
HUMQAK,79.14,0.63,22.3,-4.0105,-2.7625,2.14,2,-0.07,0.02,2.34,84.47,62.69,0.1488,-0.0552,-0.6971,2.4144,2.79,1.4605,28.9454,7.1591,25.1553,8.4616,0.7689,0,0.4211,1.5726,3.1919,3.524,3.6677,2.025,2.0191,6.2976,9.8419,1.3343,0.4689,0.0505,2.7733,3.5049,-372.05,1.26,128.2,35.5
ROKTAO,62.98,-0.02,7.1,-3.6189,-2.0964,2.22,2.01,-0.12,0.1,2.35,83.63,64.76,0.1267,-0.0446,-0.6247,2.212,2.7376,1.4885,28.9328,7.1882,25.1675,8.4901,0.7635,0,0.2408,1.5571,3.1921,3.8982,3.504,2.0593,2.0398,6.3021,9.8828,1.1537,0.3622,0.0437,2.7748,3.5153,-355.33,1.27,128.1,44.7
MAMVEE,64.69,-0.82,9,-3.2786,-2.0724,2.02,2.07,0.05,-0.01,2.37,83.28,64.39,0.1191,-0.5836,-0.5668,2.4003,2.7144,1.4553,29.0341,7.1589,25.1969,8.4564,0.729,0,0.4841,1.617,3.2024,3.7994,3.6376,2.0557,2.0293,6.2774,9.8502,1.5747,0.3344,0.0635,2.7809,3.5123,-306.95,1.28,127.36,46.4
BTYRSB10,59.02,-11.46,8.8,-3.7767,-2.0493,2.38,2.02,0.62,-0.12,2.34,81.89,63.66,0.1033,-0.6732,-0.5423,1.9512,2.7412,1.355,28.8704,7.1546,25.2154,8.5226,0.7828,0,0.1788,1.5412,3.1914,3.7883,3.6243,2.0578,2.0252,6.3116,9.861,1.5335,0.3356,0.0549,2.7746,3.4983,-403.68,1.26,128.59,48.7
ATUTOY,58.78,-11.25,8.8,-3.7788,-2.0549,2.4,2.01,0.61,-0.11,2.35,81.92,63.68,0.1023,-0.6731,-0.543,1.9449,2.7446,1.3556,28.8652,7.1548,25.2147,8.5225,0.7791,0,0.1692,1.5405,3.1918,3.8123,3.5806,2.0595,2.0286,6.3128,9.8601,1.5498,0.3367,0.0571,2.7746,3.4985,-402.28,1.26,128.61,48.2
UMAKIE,79.07,2.75,13.4,-3.8604,-3.1621,2.19,2.09,-0.13,-0.15,2.36,88.55,64.32,0.1361,-0.0602,-0.4796,2.4185,2.7978,1.4812,29.0236,7.1822,25.1453,8.4453,0.7539,0,0.3422,1.5799,3.1956,3.557,3.5221,2.0203,2.0292,6.3311,9.881,1.4824,0.0624,0.0076,2.773,3.511,-366.29,1.27,127.49,60.1
YORBOW,83.3,4.03,16.4,-3.9096,-2.3285,2.13,2,-0.06,-0.04,2.32,84.63,61.46,0.1416,-0.3743,-0.3311,2.2537,2.7467,1.4742,28.8658,7.178,25.1462,8.4786,0.7945,0,0.3021,1.5485,3.191,3.5691,3.6096,2.0332,2.0209,6.3391,9.8782,1.4239,0.066,0.0091,2.7732,3.517,-364.39,1.26,128.08,41.5
QOYGOB,91.04,8.3,16.7,-3.3732,-2.2587,1.99,2.01,-0.07,-0.12,2.33,95.07,62.39,0.1511,-0.1366,-0.6878,2.4452,2.7494,1.4717,28.9858,7.1774,25.1615,8.4923,0.7479,0,0.5076,1.5416,3.1945,3.4125,3.6286,2.0232,2.028,6.2979,9.8538,1.2914,0.3982,0.0543,2.7765,3.5259,-343.16,1.26,127.44,44.3
SEHGES,89.82,0.16,14,-3.5723,-2.0538,2.23,1.97,-0.05,-0.06,2.29,81.49,62.57,0.1462,-0.7102,-0.6128,2.1625,2.739,1.3864,28.8775,7.1696,25.2103,8.4972,0.7999,0,0.2346,1.5288,3.1903,3.9039,3.5275,2.0739,2.0321,6.2586,9.8662,1.5167,0.3786,0.0568,2.7735,3.5023,-418.21,1.26,128.4,49.1
BAWHIQ,82.55,13.78,15.7,-3.3173,-2.0717,2.11,1.98,-0.17,-0.1,2.39,88.08,65.61,0.1199,-0.5197,-0.6567,2.3707,2.7629,1.5142,28.9605,7.1863,25.1697,8.4881,0.7433,0,0.3575,1.5757,3.1983,3.492,3.6264,2.0298,2.0201,6.2711,9.8493,1.5103,0.4152,0.0643,2.7759,3.5165,-357.36,1.27,127.19,46.9
YERYEA,82.43,-0.93,11.5,-4.1081,-2.7581,2.07,1.99,0.05,-0.03,2.38,88.59,65.84,0.1441,-0.4854,-0.0569,2.4947,2.7801,1.5181,28.951,7.1813,25.131,8.4614,0.7512,0,0.3842,1.578,3.2007,3.6307,3.527,2.0319,2.0248,6.2899,9.8321,1.5595,0.0943,0.0193,2.7756,3.5091,-372.45,1.27,127.01,34.9
PEBWOI,87.12,-1.29,12.8,-4.2733,-3.4253,2.15,2,-0.11,0.1,2.35,83.13,64.34,0.1588,-0.3215,-0.5899,2.4966,2.7519,1.4892,28.962,7.1821,25.1236,8.4689,0.7603,0,0.3554,1.5689,3.1957,3.9107,3.4938,2.0591,2.0294,6.2756,9.8389,1.2145,0.402,0.0397,2.7738,3.5016,-367.56,1.27,128.4,33.8
JAPBUA,94.26,-1.7,14.6,-3.474,-1.9028,1.96,1.98,-0.02,0.01,2.31,95.46,73.31,0.1512,-0.1622,-0.417,2.053,2.602,1.5344,28.8804,7.2163,25.1472,8.4707,0.8549,0,0.5437,1.3816,3.2127,3.4037,3.6494,2.0263,2.0303,6.4115,9.884,1.3381,0.0633,0.0049,2.7848,3.5583,-305.43,1.24,127.65,48.2
RISFEF,86.13,0.23,11.3,-2.8882,-2.1426,1.93,1.99,-0.03,-0.02,2.37,87.06,62.92,0.1111,-0.5965,-0.7062,2.5351,2.7098,1.468,28.9593,7.1956,25.2094,8.4524,0.7352,0,0.5517,1.5687,3.1967,3.8149,3.683,2.0525,2.0355,6.2529,9.8276,1.5554,0.3912,0.0384,2.7754,3.5143,-336.62,1.27,128.96,45.8
KUTPOF,78.45,-4.88,17.7,-4.0649,-2.7738,2.25,1.98,-0.01,0.08,2.33,84.74,62.63,0.1853,-0.0782,-0.6008,2.334,2.788,1.493,28.922,7.1682,25.1338,8.4559,0.7841,0,0.2934,1.5612,3.1888,3.5979,3.4374,2.0275,2.0241,6.2835,9.8417,1.4301,0.4095,0.0593,2.7719,3.5049,-378.27,1.26,128.11,29.4
ACARBM02,69.92,-1.91,4.5,-2.5799,-1.8997,1.95,1.89,0.06,0.03,2.45,82.12,65.69,-0.0274,-0.6767,-0.4406,2.7685,2.722,1.3177,28.9895,7.153,25.3476,8.4324,0.5173,0,0.5418,1.6734,3.2217,3.9211,3.5089,2.0555,2.0663,6.2904,9.8038,1.4421,0.0602,0.0058,2.7881,3.5166,-247.14,1.28,126.92,51.4
ZIFKIK,82.99,-0.58,16,-4.93,-4.6773,1.78,2.03,0.11,-0.07,2.36,83.01,60.27,0.3654,-0.737,-0.0636,2.7444,2.8398,1.6455,28.6517,7.1671,24.9487,8.5099,0.7845,0,0.5979,1.6504,3.1897,3.3675,3.6079,2.0236,2.0256,6.2828,9.6321,1.6166,0.1057,0.0163,2.7672,3.4805,-365.75,1.27,129.96,46.6
IREPOM,78.05,-1.79,15,-4.5045,-4.3955,2.35,1.86,0.02,0.02,2.26,84.48,62.29,0.316,-0.0407,-0.4961,2.3464,2.7671,1.5851,28.7487,7.1838,24.9955,8.4657,0.8133,0,0.1189,1.58,3.1949,3.7448,3.4766,2.0494,2.0232,6.2795,9.7943,1.1995,0.445,0.0601,2.7706,3.4926,-347.69,1.26,128.9,30
IPODOI,91.5,2.42,18.3,-3.586,-2.5126,1.97,2,-0.05,-0.02,2.35,91.58,61.35,0.1541,-0.5271,-0.1581,2.4732,2.7531,1.5042,29.0026,7.1743,25.1514,8.4653,0.7783,0,0.4652,1.5981,3.1994,3.6827,3.6597,2.0383,2.0295,6.2955,9.8394,1.4791,0.0791,0.0122,2.7749,3.5221,-349.9,1.27,128.09,41.6
WUCBAA,88.76,-0.28,9.2,-3.133,-1.9894,1.99,1.99,-0.03,-0.03,2.37,86.84,64.02,0.1216,-0.5813,-0.5937,2.5256,2.7197,1.4977,29.0171,7.1901,25.19,8.4574,0.732,0,0.5307,1.5776,3.1997,3.7928,3.5015,2.0509,2.036,6.2515,9.8462,1.5309,0.3688,0.0399,2.7761,3.5145,-342.88,1.27,128.83,44.4
LETMAA,68.58,-0.3,21.8,-2.6801,-1.7761,1.96,1.94,0,0.01,2.33,100.05,71.93,0.1564,-0.2464,-0.2416,2.2024,2.6252,1.5735,29.0054,7.2013,25.1576,8.4896,0.8105,0,0.5049,1.4378,3.2113,3.5423,3.5255,2.0303,2.0509,6.4432,9.8537,1.4534,0.0761,0.0173,2.7845,3.5613,-275.8,1.24,127.5,47.3
TOWBEP,78.77,-2.72,17.8,-4.0599,-2.7047,2.26,1.98,-0.03,0.01,2.32,85.52,62.43,0.2201,-0.0754,-0.5993,2.3118,2.7812,1.5336,28.9338,7.1629,25.1171,8.4545,0.7789,0,0.2771,1.5696,3.1904,3.6011,3.3901,2.0276,2.0297,6.2876,9.8489,1.3836,0.3969,0.0641,2.7719,3.508,-374.39,1.26,128.13,30.1
PEMSOQ,58.73,-10.32,11.1,-3.6997,-2.0785,2.42,2.01,0.56,-0.11,2.35,82.38,63.67,0.1123,-0.6219,-0.528,1.978,2.7404,1.3768,28.8994,7.1624,25.2136,8.5154,0.7698,0,0.1712,1.5477,3.1922,3.7102,3.7079,2.0389,2.0248,6.3119,9.861,1.53,0.326,0.058,2.7746,3.5018,-383.15,1.26,128.6,49.6
GEMDOS,95.41,-0.31,23.6,-4.3093,-3.0037,2.14,1.96,-0.09,-0.02,2.36,84.98,64.78,0.1609,-0.447,-0.4972,2.424,2.8424,1.5044,28.9554,7.1637,25.1212,8.4814,0.7357,0,0.3056,1.6318,3.1972,3.6136,3.6507,2.0295,2.02,6.2579,9.8286,1.4935,0.4104,0.0345,2.7736,3.5054,-369.37,1.27,128.06,26.9
GATPOI,91.36,-4.94,19.3,-2.972,-2.0609,1.93,2.01,0.06,-0.08,2.36,83.88,64.49,0.149,-0.5232,-0.8251,2.6759,2.7561,1.3831,29.0668,7.156,25.2357,8.4429,0.7281,0,0.5255,1.6275,3.205,3.728,3.4728,2.0472,2.026,6.2294,9.8313,1.6012,0.4583,0.0788,2.7834,3.5052,-307.95,1.28,125.79,45.5
AMINER,65.17,-0.53,11.2,-3.2554,-2.2382,2.04,2.03,0,0.02,2.39,84.36,64.84,0.1229,-0.5342,-0.5584,2.4898,2.7149,1.4915,29.1005,7.1581,25.1919,8.446,0.6947,0,0.518,1.6294,3.2068,3.8605,3.6843,2.0505,2.0465,6.2825,9.8427,1.5152,0.3309,0.0614,2.7832,3.521,-299.04,1.28,126.97,46.9
EVOXOE,80.32,-0.06,14.7,-4.207,-2.8192,2.2,1.94,-0.1,0.03,2.33,83.55,63.11,0.162,-0.0148,-0.6127,2.4288,2.7943,1.4678,28.9105,7.17,25.1335,8.4642,0.7848,0,0.3338,1.5737,3.1918,3.6857,3.451,2.0369,2.0229,6.2852,9.8249,1.443,0.4231,0.0567,2.7723,3.4985,-372.51,1.27,127.99,33.1
SUMHUG,85.69,9.75,15.8,-3.3491,-2.0082,2.03,2,-0.12,-0.08,2.35,87.87,62.92,0.1358,-0.5123,-0.6736,2.3329,2.7411,1.5003,28.9613,7.177,25.1703,8.49,0.761,0,0.4064,1.5705,3.196,3.6685,3.6967,2.0322,2.038,6.2687,9.8531,1.5025,0.3907,0.0295,2.7752,3.522,-351.25,1.26,128.43,42.2
KUWVEF,65.38,-0.36,9.2,-4.1174,-4.0532,2.04,1.99,-0.02,0.03,2.3,84.47,62.7,0.2535,-0.5457,-0.5671,2.6752,2.7388,1.5466,29.002,7.1829,25.0524,8.4612,0.8137,0,0.5178,1.573,3.1974,3.836,3.6597,2.0456,2.0385,6.2702,9.7658,1.5385,0.3554,0.0624,2.7717,3.4967,-349.21,1.27,129.07,32.6
TULBAG,77.07,-1.36,18.1,-4.1095,-3.0885,2.32,1.96,-0.07,0,2.34,86.37,62.9,0.2357,-0.0771,-0.612,2.3199,2.803,1.5632,28.9293,7.1692,25.1019,8.454,0.7718,0,0.2336,1.5819,3.1919,3.632,3.3553,2.0232,2.0379,6.2914,9.8393,1.3959,0.4119,0.0779,2.7719,3.5074,-371.73,1.27,128.1,31.1
ZOQCIT,85.92,-0.35,16.4,-2.8978,-2.0388,1.98,1.92,-0.04,0.01,2.41,85.04,63.66,0.0787,-0.6517,-0.6745,2.5952,2.7191,1.4166,28.9392,7.1798,25.2494,8.4408,0.672,0,0.5082,1.5873,3.2078,3.707,3.6567,2.0485,2.0234,6.25,9.8086,1.5793,0.4328,0.0387,2.7826,3.5155,-290.88,1.27,127.12,46.1
CUYPIV,90.16,-1.31,19.9,-4.4525,-3.562,2,1.93,-0.08,0.05,2.38,85.94,64.1,0.1956,-0.5044,-0.5086,2.6389,2.7617,1.514,28.9577,7.1761,25.1008,8.4597,0.7533,0,0.4824,1.6048,3.1999,3.6898,3.4746,2.0381,2.0189,6.2487,9.7823,1.5232,0.4205,0.037,2.7743,3.4992,-370.52,1.27,128.29,31.5
KAFVIW,81.71,2.34,22.6,-4.2772,-2.2526,2.57,1.95,-0.06,-0.05,2.34,81.63,63.14,0.1801,0.9542,-0.603,2.3317,2.8066,1.4889,28.978,7.1711,25.1193,8.4612,0.7624,0,0.3206,1.5813,3.1914,3.6569,3.4692,2.0328,2.0199,6.3258,9.853,3.0201,0.4035,0.045,2.7719,3.5134,-375.87,1.27,127.86,45.4
PEHXIK,98.25,2.91,8.7,-2.853,-2.0918,1.94,1.96,-0.06,-0.05,2.48,89.76,67.5,0.0088,-0.1621,-0.7848,2.6654,2.737,1.3271,28.9814,7.1618,25.2998,8.4304,0.6131,0,0.5766,1.6124,3.2308,3.5269,3.6434,2.03,2.0209,6.3097,9.7955,1.2942,0.459,0.0474,2.7899,3.5311,-288.38,1.27,126.11,42.3
EYOMAG,69.92,-0.77,16.7,-2.4481,-1.7985,1.92,1.93,0.02,0.01,2.34,106.51,68.31,0.1359,-0.2969,-0.2952,2.2719,2.6395,1.6001,29.0261,7.1997,25.171,8.5011,0.8163,0,0.5543,1.481,3.2069,3.5494,3.5001,2.0425,2.0386,6.4584,9.8422,1.4833,0.0744,0.0181,2.7846,3.562,-252.36,1.24,127.96,43.6
YIJFED,85.76,-0.18,11.7,-4.0794,-3.2002,2.31,1.94,-0.19,0.09,2.35,82.6,63.99,0.1436,-0.1004,-0.5758,2.3685,2.7407,1.4695,28.9456,7.1834,25.1468,8.4793,0.7675,0,0.2824,1.5609,3.1944,3.8503,3.5435,2.0566,2.0247,6.2808,9.854,1.2295,0.3832,0.0449,2.774,3.5022,-364.61,1.27,128.41,26.2
HOWTEU,92.45,0.35,17.9,-4.1129,-3.0265,2.15,1.96,-0.08,-0.02,2.36,84.4,64.73,0.1517,-0.5171,-0.5693,2.4569,2.7712,1.502,28.9788,7.1771,25.1325,8.4598,0.7497,0,0.3335,1.5846,3.1966,3.6091,3.4977,2.0299,2.0194,6.2578,9.8322,1.6018,0.4343,0.0807,2.7737,3.509,-363.74,1.27,128.17,28
TOSCAH,94.54,3.51,15.3,-3.1946,-1.8946,2.06,2.02,-0.12,-0.07,2.31,87.59,60.68,0.1426,-0.1117,-0.4739,2.2339,2.721,1.4914,28.8967,7.1811,25.1607,8.4846,0.8081,0,0.4186,1.5424,3.1901,3.6127,3.6292,2.043,2.0273,6.3496,9.8938,1.3556,0.0816,0.0046,2.7743,3.5303,-339.73,1.26,128.23,44
JUCYAH,97.2,-1.68,22,-3.0901,-1.5915,1.94,1.99,-0.02,0.02,2.28,99.37,65.95,0.2229,-0.1661,-0.7588,2.1429,2.603,1.5267,28.9098,7.2257,25.1606,8.4761,0.7947,0,0.6589,1.4514,3.2007,3.7045,3.3531,2.0385,2.0499,6.381,9.8418,1.3768,0.4058,0.0448,2.7836,3.5617,-264.04,1.24,127.48,44.1
TAHPEZ,104.57,-2.17,18.7,-3.5893,-2.062,1.89,1.95,-0.03,0,2.3,88.1,72.87,0.213,-0.7384,-0.1682,2.1836,2.6206,1.4969,28.8658,7.1787,25.1558,8.537,0.7828,0,0.6602,1.4508,3.2081,3.5587,3.4802,2.0241,2.0357,6.3385,9.8473,1.5585,0.0885,0.0225,2.7792,3.5375,-364.1,1.24,126.67,45.3
TOSCEL,82.65,4.56,14.2,-4.0057,-2.42,2.28,1.97,-0.13,0.01,2.28,80.83,59.4,0.093,-0.0956,-0.4168,2.0436,2.7381,1.3074,28.7729,7.1578,25.206,8.5094,0.8309,0,0.231,1.5291,3.1877,3.8718,3.5001,2.0673,2.0276,6.3538,9.8555,1.0941,0.0854,0.033,2.7724,3.4953,-417.85,1.26,128.55,32.2
UJULEQ,86.5,0.81,9.2,-2.6159,-2.0167,1.87,1.94,0.01,-0.05,2.54,85.41,71.13,-0.0997,-0.8074,-0.456,2.8917,2.7118,1.1916,29.0053,7.2033,25.393,8.3996,0.4666,0,0.6751,1.6538,3.2407,3.5039,3.7256,2.0169,2.0179,6.3061,9.7367,1.7118,0.0608,0.0079,2.7937,3.521,-208.51,1.28,125.85,44.8
ZEYBEN,83.41,0.27,11.4,-3.1506,-1.9515,2.1,1.99,-0.03,-0.05,2.34,84.48,61.88,0.1038,-0.6477,-0.2128,2.3833,2.7079,1.4229,28.9739,7.1666,25.2159,8.4737,0.7701,0,0.4273,1.5655,3.1945,3.7252,3.629,2.0509,2.0257,6.298,9.8677,1.594,0.1039,0.0113,2.7777,3.5152,-320.8,1.26,127.83,45
BAYXIJ,83.64,-3.11,16.4,-3.9853,-3.0344,2.1,1.9,-0.01,0.09,2.56,84.52,75.76,0.0379,-0.0944,-0.6336,2.5323,2.7314,1.4059,28.8095,7.06,25.198,8.2719,0.7208,0,0.3193,1.7078,3.2073,3.5866,3.6666,2.0177,2.0164,6.288,9.7768,1.3997,0.4467,0.0948,2.7696,3.4716,-422.76,1.3,127.33,61.7
UPUSEE,80.18,1.78,17.8,-3.8491,-2.1332,2.23,1.97,-0.11,0.01,2.34,88.09,62.6,0.1491,-0.0785,-0.1712,2.3521,2.7901,1.4655,28.9772,7.1564,25.1704,8.4709,0.7388,0,0.3112,1.5805,3.1951,3.6316,3.4823,2.0335,2.028,6.3549,9.8651,1.3656,0.1156,0.0202,2.7761,3.5105,-366.9,1.26,127.94,44.6
CULBUG,83.49,0.17,16.2,-3.4452,-2.0043,2.08,1.95,-0.09,0,2.32,86.42,61.71,0.1507,-0.1314,-0.3883,2.3919,2.7526,1.4917,28.9985,7.1923,25.1516,8.4611,0.8156,0,0.3656,1.5522,3.1965,3.7105,3.6473,2.0434,2.0327,6.3448,9.8714,1.3041,0.0605,0.0113,2.7751,3.5198,-341.67,1.26,127.94,46
HUWYEF,89.06,0.01,16,-2.5623,-1.9453,1.99,1.95,-0.02,0.02,2.47,84.58,65.28,-0.0004,-0.8451,-0.8666,2.8038,2.7121,1.3528,28.9965,7.1453,25.3359,8.4115,0.5232,0,0.5637,1.6644,3.2259,3.7604,3.6481,2.0695,2.0271,6.2704,9.7668,1.7867,0.4309,0.0481,2.789,3.5238,-240.34,1.28,126.36,44
DACHEU01,92.21,-1.19,14.1,-2.5642,-2.0388,1.94,1.95,0,0.03,2.51,84.58,66.63,0.0022,-0.7052,-0.858,2.9369,2.7249,1.368,29.0581,7.1656,25.3178,8.4062,0.5323,0,0.5644,1.6723,3.2254,3.8013,3.6244,2.0707,2.0244,6.2644,9.7704,1.657,0.4384,0.0554,2.7903,3.5254,-235.01,1.29,125.97,57.8
KASWIN,87.57,-1.09,12.6,-2.7909,-2.037,1.99,1.92,-0.06,0.05,2.45,83.6,64.88,0.0173,-0.647,-0.7344,2.6952,2.727,1.3518,28.9676,7.1471,25.3096,8.4186,0.606,0,0.5018,1.6516,3.2197,3.7057,3.6697,2.0526,2.0215,6.2528,9.7882,1.597,0.4055,0.0383,2.7877,3.5135,-258.72,1.28,126.42,45.8
HAHPAK,77.47,2.5,11.3,-3.222,-1.981,2.14,1.99,-0.09,-0.04,2.34,92.19,62.63,0.1442,-0.6126,-0.3823,2.2201,2.7314,1.5234,28.9382,7.1873,25.1591,8.4804,0.7877,0,0.3224,1.5576,3.1918,3.5541,3.5711,2.0348,2.0233,6.3381,9.8599,1.5806,0.0835,0.0061,2.7761,3.5229,-338.03,1.26,127.44,47.1
AYAVIG,76.53,1.4,20.5,-4.2264,-3.1257,2.29,1.97,-0.01,-0.05,2.37,87.51,63.66,0.1746,-0.1607,0.1588,2.4172,2.7975,1.54,28.9822,7.1757,25.1085,8.4462,0.743,0,0.2267,1.6127,3.1978,3.7161,3.5846,2.0432,2.0236,6.3371,9.8448,1.3063,0.1285,0.0379,2.7736,3.511,-359.2,1.27,127.75,34.2
VAVTIV,106.14,-8.47,31.6,-3.1599,-2.3237,1.84,2.01,0.16,-0.11,2.33,85.93,61.49,0.1605,-0.5658,-0.8918,3.0098,2.7836,1.3772,29.3496,7.1418,25.1852,8.4458,0.8042,0,0.7567,1.6404,3.1939,3.6895,3.5724,2.0396,2.0196,6.2268,9.7756,1.5045,0.4378,0.0461,2.7762,3.5172,-335.7,1.27,126.37,64.2
RALQUR,93.37,-2.76,14.9,-2.5608,-1.7857,1.93,1.94,0.04,0.02,2.33,91.99,64.95,0.1548,-0.8487,-0.8395,2.1893,2.616,1.5816,28.9289,7.1811,25.1668,8.503,0.7432,0,0.6432,1.5687,3.209,3.3322,3.6919,2.0475,2.0274,6.3678,9.8284,1.7135,0.4156,0.0426,2.7865,3.5661,-272.7,1.25,128.89,49.5
ISOTEP,70.3,-6.54,13.3,-3.3298,-2.1772,1.9,1.94,0.17,0.12,2.38,82.47,64.25,0.1522,-0.5985,-0.5643,2.8151,2.7627,1.4697,29.3467,7.1422,25.1597,8.4604,0.7297,0,0.6083,1.6698,3.1997,3.9095,3.6596,2.0445,2.0541,6.2435,9.8528,1.489,0.3556,0.0684,2.7791,3.5284,-321.9,1.28,126.38,73.6
CIGSUJ01,79.81,0.81,16.7,-4.3464,-3.0302,2.29,1.97,-0.1,-0.01,2.36,85.42,65.08,0.1799,-0.0753,0.1915,2.4237,2.7925,1.5451,28.9899,7.1807,25.0873,8.4542,0.7842,0,0.2288,1.609,3.1979,3.7187,3.5484,2.0376,2.0245,6.3307,9.8487,1.2669,0.1315,0.0217,2.773,3.508,-363.76,1.27,127.57,33.2
KIGQAS,87.01,10.42,18,-3.8407,-3.1596,2.03,1.86,-0.14,-0.01,2.35,85.95,61.64,0.1816,-0.6631,-0.6341,2.6874,2.7263,1.4568,28.896,7.1785,25.1334,8.4559,0.7908,0,0.4774,1.5808,3.1995,3.7783,3.6006,2.0595,2.025,6.2552,9.7519,1.6038,0.4538,0.0935,2.7742,3.4955,-360.1,1.27,128.89,42.1
AMURID,89.45,-0.41,14.3,-2.5787,-1.9732,1.98,1.92,-0.05,0.03,2.48,84.2,65.28,-0.0145,-0.8047,-0.863,2.8339,2.7121,1.32,28.9786,7.1508,25.3464,8.416,0.5375,0,0.5545,1.6598,3.2249,3.6489,3.6778,2.0472,2.022,6.2697,9.756,1.763,0.4357,0.0376,2.7895,3.5206,-237.92,1.28,126.32,45.3
LIDJEP,71.97,-2.42,13.9,-2.6085,-1.773,1.9,1.87,0.04,0.06,2.37,94.06,66.01,0.1096,-0.3364,-0.3183,2.4128,2.6251,1.5626,29.0782,7.2102,25.2103,8.4856,0.6285,0,0.5803,1.5434,3.2107,3.786,3.5957,2.0844,2.0295,6.4617,9.8401,1.4457,0.0781,0.0193,2.7851,3.5621,-273.73,1.24,128.59,47.5
BOFHOT,64.4,-0.37,27.2,-4.3587,-3.7568,2.11,1.94,-0.02,0.03,2.35,85.4,62.9,0.2069,-0.0409,-0.0236,2.7213,2.7763,1.548,29.0721,7.1509,25.0776,8.4698,0.7422,0,0.405,1.5923,3.1969,3.5963,3.6849,2.0272,2.0254,6.3456,9.806,1.3282,0.1342,0.0296,2.7744,3.5148,-370.76,1.27,127.46,30.7
JEPBIP,86.38,-1.02,8.4,-2.8816,-1.9432,1.93,1.95,0.02,-0.04,2.36,86.96,62.34,0.1044,-0.4031,0.1784,2.7027,2.7045,1.4556,29.0643,7.1857,25.2033,8.4529,0.7341,0,0.5395,1.5884,3.1987,3.8983,3.4813,2.0621,2.0407,6.3287,9.8269,1.3804,0.1669,0.037,2.7781,3.521,-312.97,1.27,127.82,43.7
XIGTUE,90.92,-1.64,16.4,-2.5983,-1.9822,2.02,1.94,-0.03,0.04,2.45,83.37,65.3,0.0212,-0.8391,-0.8421,2.8026,2.7237,1.3495,29.0436,7.1423,25.3109,8.4276,0.5909,0,0.5096,1.6627,3.2197,3.7272,3.6533,2.0574,2.0261,6.2646,9.7882,1.6607,0.4312,0.0437,2.7863,3.5193,-260.11,1.28,126.22,46.4
KIBVAV,90.78,-0.39,12.4,-4.3963,-3.1748,2.44,1.9,0,0,2.34,82.61,63,0.1472,-0.097,-0.0691,2.3379,2.7509,1.4513,28.9052,7.166,25.1202,8.5039,0.7946,0,0.1084,1.5803,3.1961,3.8871,3.4607,2.0544,2.0289,6.3397,9.8391,1.1179,0.1259,0.0262,2.7745,3.499,-365.83,1.27,128.25,31.7
