Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
OFOZER,77.8,34.2,-3.6664,-2.2563,2.27,0.4809,-0.2288,-0.5535,1.9365,2.9086,28.6845,7.2477,0.5106,3.1785,6.2941,9.8257,1.9754,27.7
RICHAM,105.24,41.1,-3.2487,-1.9037,2.27,0.3976,-0.239,-0.85,1.7842,2.9418,28.8155,7.2499,0.6649,3.1624,6.4135,9.7839,1.902,44.2
UCOMOO,79.86,29.3,-3.3977,-0.9769,2.3,0.3778,-0.2558,-0.6628,1.6392,2.9498,28.8214,7.2726,0.6902,3.1601,6.4511,9.785,1.9399,46.1
KIFGUB,79.19,45.8,-3.4235,-0.9638,2.29,0.3197,-0.2541,-0.1979,1.7666,2.983,28.862,7.2523,0.6739,3.1643,6.448,9.8109,1.965,36.8
BIHXAU,79.42,34.7,-3.1976,-1.4673,2.31,0.3773,-0.2559,-0.8096,1.6493,2.9588,28.8217,7.2591,0.6773,3.1601,6.4498,9.7773,1.91,48.9
IZANEE,78.41,39.9,-4.1475,-2.7358,2.27,0.5322,-0.2177,-0.6439,2.2148,2.9456,28.7064,7.2151,0.4982,3.1776,6.2717,9.7738,1.9393,28.8
XOMVAZ,76.87,34.7,-3.8056,-2.3145,2.27,0.5077,-0.2255,-0.6528,2.0768,2.9106,28.6983,7.2403,0.4876,3.1802,6.2863,9.7989,1.9626,24.4
EHMHNO,80.73,32.5,-3.1682,-1.2744,2.32,0.3633,-0.2536,-0.8178,1.6974,2.9517,28.8612,7.2596,0.6753,3.1598,6.4589,9.7748,1.9513,41.2
IDIRAP,82.28,41.7,-2.8974,-0.8293,2.27,0.3017,-0.2524,-0.8744,1.6496,2.9581,28.7935,7.2796,0.6418,3.1634,6.4427,9.8197,1.9842,38.1
AGIREQ,77.03,35.5,-3.2639,-1.8169,2.26,0.4611,-0.23,-0.5792,1.8837,2.8829,28.7205,7.2374,0.4762,3.1843,6.2963,9.8485,1.9667,29.5
DUMJUQ01,80.71,30.9,-3.2576,-0.7031,2.34,0.3627,-0.2545,-0.8084,1.6355,2.9257,28.8705,7.2763,0.6743,3.1615,6.4634,9.7815,1.8824,44.9
MEGGOW,79.45,37.6,-3.2422,-1.5307,2.31,0.3782,-0.2524,-0.8176,1.6835,2.9938,28.84,7.2463,0.6773,3.1607,6.4404,9.7832,1.9639,45.7
PUQNOE01,81.96,51.9,-3.4288,-1.6736,2.26,0.3872,-0.214,-0.5089,1.9783,2.9557,28.8029,7.2338,0.5204,3.1695,6.2781,9.8674,1.9854,24.4
MIXTET,91.28,35.2,-3.8551,-2.2066,2.29,0.4772,-0.2202,-0.5514,2.1641,2.9259,28.8103,7.1718,0.4886,3.1769,6.2654,9.7994,1.9434,28.7
ZIBDAR,77.19,29.1,-3.9715,-2.9003,2.34,0.4912,-0.2224,-0.6249,2.1542,2.916,28.7216,7.2368,0.4849,3.1771,6.2904,9.7903,1.9403,29.1
YEJPAG,79.63,35.2,-3.2404,-0.9194,2.27,0.3611,-0.2536,-0.8503,1.6822,2.9815,28.8812,7.2614,0.6861,3.1607,6.4528,9.7803,1.8807,45.6
PABSOC,84.54,54.9,-5.0065,-1.8243,2.32,0.5669,-0.1558,-0.4993,3.3715,3.1703,29.4207,7.0482,0.7522,3.1368,6.2039,9.6864,1.7614,20.8
QIBRID,79.08,40.3,-3.2597,-1.7298,2.3,0.4049,-0.2527,-0.8358,1.7434,2.9601,28.866,7.2339,0.6756,3.1628,6.4285,9.771,1.955,42
CIDKUY,81.33,30.3,-4.2234,-2.6061,2.28,0.3667,-0.2238,-0.023,2.2673,2.992,28.8929,7.2123,0.6021,3.1657,6.3293,9.7929,1.9528,28.3
HOXMEN,82.64,32.8,-3.7734,-1.8711,2.18,0.3599,-0.2571,-0.6572,1.5229,2.9688,28.6725,7.2888,0.6795,3.1631,6.4084,9.8335,1.9329,36.3
BEDTAG,82.07,38.1,-3.8503,-2.0976,2.18,0.2577,-0.2628,-0.1679,1.6531,2.9834,28.7636,7.2719,0.6697,3.1685,6.463,9.8339,1.937,37
LEFYAY,77.69,32.7,-3.8652,-2.7688,2.27,0.5063,-0.2276,-0.5557,2.0403,2.9049,28.6887,7.2582,0.4974,3.1803,6.2889,9.8037,1.9796,30
WUGROI,78.33,38.6,-3.8393,-2.2905,2.34,0.2774,-0.2619,-0.1743,1.7899,2.9401,28.8074,7.2815,0.6753,3.1641,6.467,9.8225,1.9734,35.9
TOLPOB,78.38,40.3,-3.6865,-2.1044,2.24,0.362,-0.2399,-0.6225,1.5948,2.9976,28.7409,7.2858,0.7053,3.1567,6.4107,9.8243,1.9126,37.4
AGEQAE,79.01,34.6,-3.1795,-0.8437,2.29,0.3767,-0.2569,-0.8425,1.679,2.9633,28.8434,7.283,0.681,3.1602,6.4443,9.7811,1.8777,46.1
RUQSOM,87.83,37.8,-3.8053,-3.1717,2.28,0.4784,-0.2484,-0.55,1.9641,2.9826,28.774,7.2693,0.7083,3.1612,6.3721,9.7563,1.9296,42.2
VOQMUK,81.4,33.6,-3.8419,-2.2143,2.17,0.3716,-0.2581,-0.6572,1.5481,2.9702,28.6638,7.2961,0.6821,3.1627,6.4022,9.828,1.9652,37
FARXOO,81.47,37.7,-3.3125,-1.6256,2.3,0.3891,-0.2539,-0.7949,1.6943,2.9415,28.8376,7.2754,0.6837,3.1609,6.4325,9.7889,1.9208,47.1
SOGDEY,94.52,31.5,-3.8848,-2.2029,2.29,0.4686,-0.2168,-0.5153,2.1516,2.9845,28.8198,7.1633,0.569,3.1633,6.278,9.7965,1.907,25.4
BINGAI,82.43,32.6,-3.5463,-1.6388,2.16,0.3476,-0.2592,-0.7028,1.5806,2.9598,28.7184,7.2914,0.6757,3.1648,6.4167,9.8288,1.9181,40.3
FARWAZ,82.91,34.8,-3.8259,-1.9752,2.17,0.3629,-0.2567,-0.709,1.5093,2.9721,28.6584,7.29,0.6775,3.1632,6.404,9.8353,1.9636,34.6
PEDBIL,82.5,33.7,-3.7639,-1.7742,2.17,0.3607,-0.2548,-0.6582,1.5352,2.9833,28.6805,7.2877,0.6772,3.1629,6.4051,9.8354,1.9541,37.1
KINRII,93.98,34.9,-4.1119,-2.118,2.32,0.3406,-0.2445,-0.1511,1.7201,3.0149,28.8338,7.2611,0.7155,3.1625,6.4265,9.8216,1.9244,34.6
ROGTAJ,81.29,30,-3.2866,-1.2206,2.26,0.3731,-0.2543,-0.8121,1.6312,2.9469,28.8028,7.281,0.6823,3.16,6.4409,9.7945,1.9022,50.8
SOXPUS,80.76,38.5,-3.1862,-0.8665,2.26,0.367,-0.2547,-0.8468,1.6964,2.9314,28.8591,7.2697,0.662,3.1642,6.435,9.7915,1.9424,43.4
AYUHOS,85.61,36.2,-3.4112,-0.9915,2.22,0.349,-0.2575,0.1081,1.7791,2.9348,28.8594,7.2849,0.6727,3.1682,6.46,9.7893,1.9145,42.9
VISBOP,86.08,52.7,-2.5343,-0.1386,2.25,0.3511,-0.2372,-0.8506,1.7111,2.8926,28.7581,7.2675,0.6081,3.1643,6.3788,9.8251,1.9719,47
SARBUI,89.17,32.3,-3.4324,-0.7239,2.28,0.4067,-0.252,-0.589,1.6131,2.9262,28.746,7.2971,0.6672,3.1647,6.4026,9.8131,1.91,47.1
XEKLAB,90.28,42.9,-3.4598,-3.2057,2.28,0.3678,-0.2405,-0.8872,1.9396,2.9532,28.7462,7.2513,0.6703,3.1642,6.4366,9.7491,1.9788,42.5
BOMHUG,80.26,36.2,-3.8368,-2.3987,2.28,0.337,-0.2596,-0.1321,1.7577,2.961,28.8214,7.2915,0.6977,3.1636,6.4333,9.8158,1.9191,38.5
NUVXIM01,78.7,28.7,-3.729,-1.6653,2.23,0.3375,-0.2557,-0.6491,1.5191,2.9702,28.7045,7.2971,0.6809,3.1609,6.4281,9.8269,1.9061,36.5
MIRPAH,80.47,33.3,-3.2631,-1.0201,2.28,0.3685,-0.256,-0.7826,1.6642,2.9414,28.8482,7.2806,0.6792,3.1617,6.4499,9.7888,1.9117,55.7
BXCGPL,78.15,37.2,-3.3348,-0.8693,2.27,0.3118,-0.2615,-0.1814,1.6944,2.9345,28.878,7.2884,0.6678,3.1662,6.4722,9.8003,1.9678,42.4
EDENIL,79.07,28.9,-3.7628,-2.4454,2.24,0.3413,-0.2531,-0.6497,1.5364,2.9707,28.7061,7.2929,0.6771,3.1616,6.4247,9.8265,1.9115,35.6
BECXEO,75.24,39.3,-3.696,-2.7227,2.3,0.4474,-0.2374,-0.0463,1.9201,2.9865,28.7276,7.2429,0.6799,3.161,6.3405,9.7978,1.8909,32.4
SUTZEN,76.73,48.6,-2.9325,-1.0633,2.3,0.3778,-0.2502,-0.1335,1.7252,2.9312,28.8502,7.268,0.6744,3.1667,6.4214,9.8126,1.9084,39.3
SIVYUR,100.61,30.4,-3.8246,-2.9482,2.34,0.4895,-0.2128,-0.5554,2.2463,2.9684,28.7986,7.1544,0.5182,3.1682,6.2731,9.7745,1.8953,30.8
FOVLOS,80.91,34.4,-3.1497,-1.2949,2.28,0.3733,-0.2522,-0.7864,1.668,2.9452,28.8426,7.2728,0.6603,3.1631,6.4399,9.7876,1.8944,47.7
YOFWEX,80.33,33.2,-3.9815,-2.4064,2.15,0.3863,-0.2514,-0.5344,1.5354,3.0161,28.6512,7.2766,0.6803,3.1638,6.4038,9.8252,1.9508,35.2
ICIQOC,80.74,37.3,-3.1696,-0.8467,2.27,0.3678,-0.2534,-0.8361,1.7259,2.9334,28.8527,7.265,0.6624,3.1621,6.4385,9.7859,1.9194,47.6
TAHZAE,79.13,37.2,-3.8001,-1.8295,2.28,0.3388,-0.2595,-0.1119,1.7302,2.9486,28.8073,7.2917,0.7033,3.1635,6.4425,9.813,1.9385,36.9
XOZRAI,87.88,33.5,-3.7818,-3.0848,2.16,0.3728,-0.2554,-0.6306,1.6686,2.9802,28.6271,7.2774,0.6777,3.1637,6.3878,9.8033,1.9158,34
JEYFEY10,84.23,46.9,-2.6544,-1.1105,2.25,0.3205,-0.2482,-0.8898,1.6525,2.9394,28.7057,7.2451,0.6087,3.1643,6.4154,9.8202,1.9337,38.1
NOLPOW,79.69,31.9,-3.7669,-1.6766,2.29,0.3105,-0.2622,-0.1719,1.6866,2.9418,28.8156,7.3068,0.69,3.1641,6.4564,9.8163,1.9092,40.2
POMSOC,88.57,41.4,-4.2483,-3.1075,2.26,0.5493,-0.1975,-0.5803,2.407,3.0063,28.7467,7.1107,0.5165,3.1626,6.2465,9.7331,1.9743,24.8
DECKUR,84.47,33.8,-3.2445,-1.063,2.29,0.2898,-0.2604,-0.4697,1.8071,2.9665,28.9367,7.2811,0.6994,3.1631,6.4698,9.8096,1.9854,56.4
YEYLUL,81.77,35.9,-3.1794,-1.542,2.25,0.3724,-0.2513,-0.8076,1.6627,2.9317,28.8294,7.2728,0.6594,3.1612,6.4365,9.7863,1.8957,49.1
YEBZAH,83.61,39.8,-2.7697,0.3879,2.2,0.2842,-0.2599,-0.8577,1.6571,2.924,28.8102,7.2794,0.6358,3.163,6.4498,9.8058,1.9561,46.5
OGUSAN,84.76,35,-3.7842,-2.5116,2.17,0.3579,-0.2571,-0.6226,1.5334,2.9682,28.6703,7.2886,0.6792,3.1634,6.3999,9.8363,1.9231,35.6
NIXTAR,80.9,29.6,-4.1551,-1.9709,2.3,0.3808,-0.2442,-0.5568,1.5846,3.0001,28.7511,7.2766,0.6884,3.1611,6.4029,9.8355,1.9215,34.6
KUKMIO,79.49,39.9,-4.0467,-2.1459,2.28,0.3411,-0.2607,-0.0418,1.818,2.9455,28.8082,7.3332,0.7127,3.1641,6.4356,9.8061,1.9446,36.4
APIFAH,83.69,28.9,-3.9599,-2.9115,2.34,0.4355,-0.22,-0.5905,2.2603,2.9623,28.8238,7.1867,0.5161,3.1683,6.2794,9.8004,1.9753,25.5
ZARJEJ,82.93,36.9,-4.3206,-2.9407,2.29,0.448,-0.2204,0.1409,2.2831,2.9332,28.7829,7.214,0.4919,3.1805,6.3102,9.79,1.9308,21.8
EPUJUW,78.28,38,-4.1421,-1.5905,2.27,0.3901,-0.2517,-0.4839,1.5312,3.0184,28.6838,7.2707,0.6963,3.1647,6.4033,9.8326,1.9586,41.4
PICVAY,89.23,35,-3.928,-1.9641,2.18,0.372,-0.2562,-0.6335,1.5661,2.9673,28.6651,7.289,0.671,3.1647,6.3919,9.8334,1.9813,36.3
UWUSIQ,79.27,35.1,-3.3315,-1.6184,2.26,0.3707,-0.2522,-0.7962,1.7005,3.0012,28.8388,7.2443,0.685,3.1607,6.4339,9.7916,1.881,46.2
IPUMUC,80.55,30.1,-3.3592,0.1868,2.24,0.3886,-0.2558,-0.5604,1.5753,2.9218,28.7241,7.3014,0.66,3.1632,6.4231,9.8049,1.9475,43.7
MIRLIL,81.14,34.9,-3.237,-0.9715,2.27,0.3817,-0.2537,-0.7861,1.702,2.9379,28.8361,7.2747,0.6675,3.1622,6.4335,9.7918,1.8935,49.1
FAJDEC,83.16,49.8,-2.9461,-0.6011,2.25,0.2225,-0.2589,-0.2557,1.6916,2.9609,28.8285,7.2658,0.6199,3.1692,6.4693,9.8368,1.914,41.5
TACKIR,98.56,34.9,-3.3406,-0.5335,2.22,0.3882,-0.2376,-0.8506,1.6806,2.9512,28.7888,7.242,0.6501,3.1611,6.428,9.7849,1.91,42.7
RIRZAU,79.13,47.7,-3.4609,-2.5097,2.3,0.5506,-0.2239,-0.8031,2.4475,2.9581,28.7965,7.231,0.6701,3.1599,6.2935,9.6832,1.8347,45.7
HUHTOT,84.27,49.2,-2.8194,-0.7596,2.27,0.3138,-0.2506,-0.8885,1.7729,2.9292,28.8395,7.2439,0.634,3.1649,6.4156,9.8213,1.9621,42.1
BIHXAR,79.26,37.1,-3.1674,-0.7437,2.3,0.383,-0.2536,-0.8145,1.7185,2.9333,28.8484,7.2675,0.6639,3.1621,6.4388,9.7838,1.9411,44.2
KOVSOG,81.59,33.5,-3.1632,-0.8236,2.28,0.3632,-0.2545,-0.8467,1.6752,2.9265,28.8471,7.2619,0.6639,3.162,6.45,9.7824,1.9027,48
REGLUL,80.07,28.9,-4.0649,-1.9893,2.28,0.3696,-0.245,-0.5363,1.5738,2.9927,28.736,7.2793,0.6845,3.1617,6.4045,9.8374,1.9104,33.6
EDEPUZ,78.73,28.6,-4.1955,-2.8851,2.26,0.3865,-0.2413,-0.5361,1.5824,3.0064,28.7013,7.2794,0.6844,3.1621,6.3904,9.8372,1.9201,33.5
CIDSOX,79.95,33.8,-3.9365,-2.9745,2.35,0.4316,-0.2131,-0.5806,2.1872,3.02,28.826,7.2043,0.5699,3.1652,6.2939,9.8038,1.9791,21.8
AGIDOM,79.95,29.6,-3.9301,-2.4664,2.27,0.3367,-0.2639,-0.0545,1.7267,2.9464,28.7783,7.3098,0.7025,3.1662,6.4433,9.8091,1.9259,39.8
HEZXOA,81.88,29.6,-3.2094,-1.0094,2.24,0.3603,-0.2562,-0.7513,1.6514,2.9279,28.8209,7.2823,0.6613,3.1626,6.4463,9.7894,1.9038,47.4
JUYDUF,87.33,29.3,-4.3066,-3.2217,2.32,0.4788,-0.2069,-0.575,2.4385,3.003,28.7863,7.1502,0.5173,3.1634,6.2628,9.7589,1.982,20.2
SANPIJ,106.02,40,-3.9065,-2.5268,2.26,0.496,-0.2163,-0.569,2.2656,2.9322,28.806,7.156,0.4462,3.1791,6.2483,9.7978,1.9546,25.2
XATRUH,77.67,45.8,-4.18,-2.3625,2.29,0.4884,-0.2057,-0.3167,2.208,3.0631,28.8584,7.105,0.6729,3.1564,6.3062,9.7852,1.9684,27.3
INUSER,96.4,38.3,-4.1682,-2.6671,2.25,0.4937,-0.2134,-0.5469,2.1067,3.023,28.7943,7.1682,0.6467,3.1619,6.2895,9.7893,1.9175,26.3
MUDGEA,80.99,28.8,-4.0064,-0.577,2.27,0.361,-0.2461,-0.5736,1.4981,2.9891,28.7286,7.2859,0.6807,3.1623,6.4094,9.8509,1.9291,34.6
IDALEE,63.21,29.9,-3.9015,-1.9241,2.28,0.268,-0.2755,-0.1713,1.7749,2.9338,28.8042,7.319,0.7024,3.1666,6.4872,9.8179,1.9197,43.3
LEQPON,81.37,35,-4.0286,-2.4665,2.15,0.2767,-0.2623,-0.0624,1.667,2.9859,28.7289,7.282,0.6773,3.1689,6.4511,9.8354,1.9505,41.5
MEGHAJ,81.04,35.1,-3.142,-1.5235,2.27,0.3702,-0.2526,-0.8344,1.671,2.931,28.8364,7.2785,0.6568,3.1627,6.4415,9.7859,1.9385,50.1
AYANEV,100.1,30.4,-3.9003,-3.0003,2.31,0.4946,-0.214,-0.5356,2.2585,2.9615,28.7814,7.15,0.4991,3.17,6.2654,9.7736,1.9057,27.4
WUJGOZ,80.04,40.1,-3.2588,-1.7955,2.27,0.3882,-0.2484,-0.7837,1.734,2.9515,28.8791,7.2651,0.6932,3.162,6.4303,9.7846,1.8979,46.7
SOBXUE,86.86,34.8,-4.006,-2.9859,2.14,0.384,-0.2499,-0.6205,1.7591,3.0167,28.6762,7.2577,0.6799,3.1632,6.3819,9.8025,1.9559,33.7
AHUMEW,84.25,40.6,-4.1849,-1.7877,2.26,0.4798,-0.2333,-0.5912,1.9615,3.1081,28.8688,7.2107,0.7507,3.1569,6.3482,9.7856,1.9509,27.6
NAMYIJ,80.08,38.8,-3.0394,-0.7256,2.27,0.323,-0.2504,-0.1552,1.6847,2.9491,28.8793,7.2506,0.66,3.166,6.4623,9.803,1.9582,38.1
NOLPUC,79.44,32,-3.7537,-1.7061,2.27,0.3115,-0.2623,-0.1716,1.6867,2.9387,28.8118,7.3087,0.6872,3.1642,6.4536,9.8175,1.9125,41
BOZHII,84.52,27.9,-3.6697,-3.5452,2.32,0.4652,-0.2131,-0.5248,2.1891,2.9619,28.8403,7.1802,0.5094,3.1686,6.2607,9.8174,1.9435,25.8
XABMIX,79.13,33.5,-3.5471,-1.0305,2.24,0.3129,-0.2602,-0.1651,1.6572,2.9386,28.8323,7.2973,0.6736,3.1673,6.4656,9.8114,1.9041,43.3
GIGJEL,96.6,41.1,-2.5256,0.3235,2.2,0.2606,-0.2473,-0.8665,1.7402,2.9571,28.8895,7.2408,0.6084,3.1659,6.4493,9.8144,1.9752,62.3
JOFHOB,102.85,53.6,-4.2629,-0.6675,2.28,0.511,-0.1939,-0.6455,2.9773,3.0023,29.1737,7.0868,0.5402,3.1588,6.2191,9.7624,1.9346,18.4
MUFSUE,79.14,28.8,-3.8509,-2.4057,2.23,0.3517,-0.2483,-0.62,1.5402,2.9829,28.6999,7.2866,0.6735,3.1618,6.4113,9.8319,1.9155,35
WIVGIU,81.45,40.1,-3.911,-2.1873,2.15,0.279,-0.2682,-0.1801,1.6869,2.9795,28.7427,7.2793,0.6795,3.1696,6.4428,9.8364,1.9393,40.8
IKAXAW,78.2,34.3,-3.5978,-2.5685,2.24,0.491,-0.2314,-0.5604,1.9958,2.8949,28.6946,7.2569,0.4889,3.1826,6.2936,9.8158,1.9791,27.3
XUVGUS,78.68,31.2,-3.8355,-2.3064,2.24,0.3534,-0.2498,-0.6263,1.5414,2.979,28.7121,7.2826,0.6725,3.1616,6.4163,9.8296,1.9182,36.6
NURQIA,83.82,38.5,-1.6416,0.9079,2.29,0.3105,-0.2363,-0.7387,1.9753,2.9261,29.0319,7.2799,0.671,3.162,6.4084,9.777,1.9482,44.3
PAZDAW,78.56,28.7,-3.77,-0.9037,2.22,0.3393,-0.2513,-0.6089,1.5177,2.9715,28.7205,7.2896,0.6751,3.162,6.4231,9.8372,1.9296,35.4
AZALIX,78.56,28.9,-3.7806,-1.9465,2.23,0.3458,-0.2516,-0.6353,1.5415,2.9758,28.717,7.2936,0.6808,3.1618,6.4219,9.8305,1.9397,36
ONOHEF,80.02,30.6,-4.1208,-3.2991,2.26,0.3681,-0.2632,-0.1087,1.8058,2.9693,28.7536,7.3164,0.7144,3.165,6.4261,9.7928,1.9422,36
KOYMAO,79.81,43.6,-3.9853,-1.7115,2.24,0.4029,-0.2515,-0.481,1.6158,3.003,28.7123,7.2789,0.6959,3.1648,6.3819,9.8332,1.9766,32.5
JUGXIU,81.18,35,-4.0409,-2.5645,2.14,0.2825,-0.2612,-0.0657,1.6672,2.9835,28.7239,7.2805,0.675,3.1697,6.4486,9.8368,1.9274,34.8
FOVWAP,78.64,28.9,-3.7955,-1.8742,2.23,0.3452,-0.251,-0.6326,1.5471,2.9742,28.7219,7.2884,0.6765,3.1618,6.4205,9.8309,1.9075,35.5
WAPREL01,80.18,39.3,-3.336,-1.1169,2.25,0.2879,-0.2631,-0.2221,1.6664,2.9402,28.8526,7.2833,0.6513,3.1686,6.4629,9.8205,1.9397,41.6
REBPET,84.05,49.2,-2.7771,-0.9317,2.23,0.4048,-0.2367,-0.7917,1.9807,2.9592,28.9313,7.2748,0.69,3.1577,6.3465,9.8141,1.9264,77.2
KIKLAS,78.14,41.3,-3.0654,-2.2274,2.29,0.4528,-0.2096,-0.0483,2.4906,3.027,28.9232,7.123,0.6188,3.1617,6.3063,9.746,1.9056,29.5
HIRBAM,78.63,29,-3.7994,-1.8807,2.23,0.3458,-0.2503,-0.6362,1.5451,2.9761,28.7219,7.287,0.6746,3.162,6.4196,9.8317,1.9104,35.5
SUMMOD,93.25,32,-4.0636,-2.5382,2.23,0.471,-0.2207,-0.5004,2.1075,3.0066,28.8344,7.1855,0.621,3.1645,6.2935,9.794,1.8932,25.9
GUNFAY,89.29,44.3,-4.6211,-2.918,2.25,0.4644,-0.2457,0.0039,2.4258,3.0771,28.8088,7.2411,0.732,3.1604,6.3191,9.7501,1.9973,26.8
GEQWIL,85.21,28.3,-3.5432,-2.5288,2.29,0.4561,-0.2179,-0.5429,2.1378,2.9473,28.8321,7.1756,0.5053,3.1699,6.2655,9.8199,1.948,20.9
WUJGIT,80.02,40.6,-3.1721,-1.7819,2.25,0.3839,-0.2483,-0.8192,1.7152,2.9511,28.8826,7.2668,0.6902,3.1628,6.4307,9.7853,1.8999,46.7
SIKBOE,105.13,36.5,-2.9522,-1.2277,2.25,0.3661,-0.2339,-0.8649,1.7052,2.9554,28.8527,7.2418,0.6572,3.1619,6.4275,9.7942,1.9769,31.3
TIZFAJ,84.35,30.3,-4.4874,-3.6764,2.36,0.5528,-0.191,-0.5586,2.4618,3.0378,28.7367,7.123,0.5228,3.1598,6.2487,9.7255,1.9487,26.3
DEWMAW,78.61,29.3,-3.8053,-1.3246,2.22,0.3433,-0.2502,-0.6798,1.5171,2.9781,28.7185,7.2854,0.6755,3.1615,6.42,9.8355,1.9119,35.7
HAGSUF,89.47,45.4,-3.7921,-2.1108,2.15,0.2717,-0.2592,-0.1691,1.694,2.9799,28.7577,7.2641,0.6711,3.1679,6.4223,9.85,1.94,36.3
MURBAC,76.58,37.4,-3.8036,-2.5318,2.24,0.5169,-0.2314,-0.7346,2.0782,2.9003,28.7101,7.2486,0.4727,3.1849,6.2869,9.7976,1.9404,28.8
KUVSUR,78.98,38.8,-3.2216,-1.254,2.27,0.3938,-0.2482,-0.844,1.7081,2.954,28.8553,7.2574,0.6783,3.1611,6.4269,9.7807,1.9107,45.7
GABOBU10,90.2,33.7,-3.3568,0.0567,2.22,0.3862,-0.2436,-0.5839,1.5658,2.9775,28.7399,7.2597,0.6485,3.1651,6.3998,9.8175,1.947,42.9
NIQPOT,78.61,28.9,-3.7998,-1.8737,2.23,0.3459,-0.2506,-0.6319,1.5474,2.9748,28.723,7.2884,0.6755,3.162,6.4193,9.832,1.9115,35.4
FORHAV,79.18,38.6,-4.2279,-1.9426,2.26,0.2225,-0.2454,1.0095,2.0407,3.0415,28.9823,7.2379,0.6898,3.1663,6.464,9.8292,1.9589,32.9
AZOROX,80.91,32.2,-4.1306,-2.7002,2.31,0.5196,-0.2204,-0.622,2.2107,2.9062,28.7214,7.2368,0.4749,3.1809,6.2847,9.7752,1.9109,29.6
FIMREB,80.8,34.4,-3.1476,-1.0946,2.22,0.3691,-0.2545,-0.8168,1.7162,2.9588,28.8533,7.2795,0.6795,3.1611,6.4322,9.7868,1.8773,44.6
VEXQAQ01,81.29,38.5,-3.798,-2.2489,2.13,0.2792,-0.2622,-0.1355,1.6395,2.9685,28.7395,7.2749,0.6667,3.1704,6.4443,9.84,1.95,38.5
DISXUY,80.12,32.9,-4.0609,-2.5578,2.26,0.3515,-0.2656,-0.0271,1.7908,2.9503,28.7632,7.3116,0.6956,3.1655,6.4252,9.8077,1.9167,36.1
QUCKUV,78.66,29,-3.8284,-2.0636,2.23,0.3496,-0.2501,-0.6201,1.5526,2.9779,28.7195,7.2881,0.6774,3.1618,6.4171,9.8314,1.911,35.5
NIQPIN,78.79,28.7,-3.7852,-1.0886,2.22,0.3411,-0.2499,-0.6025,1.5278,2.9772,28.7293,7.2908,0.6745,3.1621,6.4196,9.8391,1.9369,35.3
FELLUE,95.39,32.8,-3.026,-0.7298,2.2,0.3738,-0.2453,-0.8161,1.7236,2.9189,28.8214,7.2647,0.6513,3.1637,6.4298,9.7792,1.9251,55.3
DUZGEK,77.98,33.8,-3.8243,-2.4314,2.24,0.5035,-0.2262,-0.6342,2.1528,2.8997,28.7477,7.242,0.4832,3.1807,6.284,9.7994,1.951,27.7
PUBDIZ,91.95,33.7,-3.4234,-0.8149,2.2,0.3729,-0.2477,-0.9335,1.6951,2.9415,28.8251,7.2589,0.6565,3.1612,6.4348,9.7831,1.888,43.4
SOXMAW,79.62,35,-3.4015,-1.1746,2.23,0.3789,-0.2573,-0.8375,1.629,2.9501,28.8225,7.2997,0.688,3.1616,6.4355,9.7962,1.9095,42.3
XIHXOC,77.82,34.7,-4.1097,-3.135,2.24,0.5576,-0.2143,-0.683,2.2712,2.9242,28.6953,7.2284,0.4833,3.1784,6.276,9.7486,1.8912,31.7
PECZEE,78.86,28.7,-3.7792,-1.1105,2.22,0.3409,-0.25,-0.6022,1.5274,2.9738,28.7256,7.2903,0.6738,3.1622,6.4183,9.8396,1.9359,34.9
JEMGIS,86.71,38.1,-4.2972,-3.2535,2.28,0.3953,-0.213,-0.0602,2.3573,3.0345,28.9187,7.1537,0.5987,3.1657,6.2962,9.8097,1.9774,33
REMWOV,65.02,33.4,-3.053,-0.4659,2.14,0.2065,-0.2683,-0.2407,1.7763,2.9309,28.8626,7.3104,0.6593,3.1633,6.4804,9.8338,1.9126,48.1
FOVVUI,78.26,30.1,-3.8606,-2.004,2.22,0.3553,-0.2465,-0.6156,1.5059,2.9816,28.7016,7.2817,0.6701,3.1626,6.4056,9.8451,1.9374,35.1
UWUJAZ,79.1,28.6,-3.7567,-0.8215,2.22,0.3372,-0.2548,-0.6012,1.5305,2.9684,28.7304,7.3047,0.6826,3.1614,6.4232,9.838,1.9127,37.8
KIFJAK,84.48,36.1,-3.6874,-1.3617,2.15,0.2279,-0.2628,-0.1667,1.6626,2.969,28.7875,7.2763,0.661,3.1681,6.4619,9.8428,1.9349,37
GEQWUX,85.37,28.5,-3.5934,-2.606,2.27,0.461,-0.2157,-0.5437,2.1678,2.9509,28.8321,7.1702,0.5071,3.1689,6.2618,9.8153,1.9513,20.3
FAQSEV,79.54,29.6,-3.8987,-2.2505,2.24,0.3285,-0.2634,-0.0544,1.7133,2.9457,28.7768,7.3156,0.694,3.1656,6.4364,9.8176,1.9265,39
IKABIG,79.73,37.2,-3.7669,-1.752,2.22,0.2466,-0.2599,-0.1824,1.6435,2.9726,28.7705,7.2807,0.6643,3.1658,6.4556,9.8451,1.9156,36.1
